query,elapsed_ms,total_records,node_pruned,cluster_pruned,local_vq_pruned,record_pruned,exact_evaluated,node_mbr_us,cluster_bound_us,local_vq_us,record_bound_us,exact_distance_us,other_us
0,2923.153000,100000000,42076379,1193671,0,56729868,82,15342,46829,0,2840097,11252,9633
1,2563.911000,100000000,44111832,3875754,0,52012341,73,13907,42944,0,2497973,35,9052
2,970.656000,100000000,77279482,2922042,0,19798422,54,5258,15385,0,946299,22,3692
3,1326.018000,100000000,69539595,3607148,0,26853202,55,8041,21505,0,1291251,24,5197
4,1848.152000,100000000,62023560,935092,0,37041097,251,11402,31113,0,1798929,105,6603
5,4360.298000,100000000,15036957,1724616,0,83237873,554,22558,69923,0,4253410,210,14197
6,3266.058000,100000000,32508196,3125638,0,64365839,327,16155,51793,0,3187038,137,10935
7,510.149000,100000000,87883632,1924108,0,10192210,50,3555,6530,0,497659,26,2379
8,4152.896000,100000000,13485376,4610625,0,81903576,423,23258,68833,0,4046372,186,14247
9,1326.637000,100000000,72366519,1173060,0,26460313,108,6160,19439,0,1296389,69,4580
10,2717.709000,100000000,43818101,2167786,0,54014017,96,15765,43299,0,2649306,54,9285
11,2971.362000,100000000,39243428,2189717,0,58566479,376,16107,48281,0,2896755,156,10063
12,1589.639000,100000000,66445307,2069068,0,31485398,227,8641,26043,0,1548973,110,5872
13,1780.671000,100000000,63191817,1381298,0,35426794,91,8163,26887,0,1739531,43,6047
14,2809.407000,100000000,42747150,1936551,0,55316242,57,16003,46121,0,2737705,31,9547
15,3435.666000,100000000,38482791,1809072,0,59707786,351,18888,57879,0,3347079,211,11609
16,1329.259000,100000000,73680138,824371,0,25495021,470,6600,20838,0,1297016,223,4582
17,3276.809000,100000000,33520446,2259594,0,64219677,283,18012,51716,0,3195673,148,11260
18,1432.035000,100000000,70591121,1099779,0,28309009,91,7778,23552,0,1395868,61,4776
19,470.843000,100000000,88612282,1977676,0,9409998,44,2460,6898,0,459682,15,1788
20,2600.086000,100000000,47760542,1503816,0,50735536,106,13395,40290,0,2537685,77,8639
21,57.050000,100000000,98742913,141240,0,1115813,34,444,958,0,55283,18,347
22,530.561000,100000000,88449134,1153188,0,10397571,107,3803,8843,0,515789,64,2062
23,907.270000,100000000,80843134,1330711,0,17826148,7,5644,16459,0,881451,0,3716
24,1371.681000,100000000,67944828,5014437,0,27040669,66,8905,22408,0,1334452,47,5869
