query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
0,100000000,91337,5678440,17219,42076382,38609,82432,2164195,132468,41733793,6818378,190162,48941045,48940112,4827815,1835,28,426,905,13893,475067
1,100000000,30336,1873510,17540,44570994,13803,79136,6780884,101743,34566228,10711822,137725,37936300,37936036,1262844,526,14,112,250,3305,353978
2,100000000,13766,798065,7084,77279477,4355,32208,3962161,37556,12440139,2683285,44243,16075077,16074930,573423,293,8,33,139,1248,137207
3,100000000,16697,996715,15100,71466378,11382,39280,5243518,43444,16088323,4657646,55321,18632458,18632107,638332,691,15,150,336,6827,241259
4,100000000,22098,1337372,15371,63178108,13044,51440,2091576,66384,26091374,7593737,87779,27136579,27135464,862970,2083,142,258,973,17043,289894
5,100000000,55021,3311575,22003,15073518,19259,121680,3454643,172161,58489564,10382085,200328,71089754,71087997,2371973,3346,157,601,1600,44917,502336
6,100000000,40612,2517020,20556,32508193,17507,94432,4798191,128777,44498153,6914748,146638,55778868,55777064,1755782,3486,82,404,1722,37688,430224
7,100000000,6550,334379,9627,88419961,5214,14064,2917424,12526,5863649,1295088,18686,7367527,7367375,197849,297,6,49,146,637,99418
8,100000000,47232,2912096,21267,13485375,18360,124144,7249989,164355,56329254,13920071,186448,65344565,65343947,2050127,1155,72,233,546,6045,486528
9,100000000,15148,894376,11004,72538919,7529,37024,2071392,47891,18955697,2558978,61208,22830711,22830076,563864,1230,42,211,593,12790,200883
10,100000000,28006,1724572,17996,45002444,15276,74608,4532972,92781,37076910,12431878,123080,38032706,38032443,1107032,512,20,105,243,3421,382877
11,100000000,34342,2071314,19083,39373232,17009,85744,4032144,113824,41789933,9333668,135547,47260956,47259214,1370577,3238,206,392,1536,24342,409623
12,100000000,16519,969023,10828,66896817,8399,47280,3623574,59532,21451232,4982276,69955,24497333,24496872,617629,896,24,121,437,5203,208184
13,100000000,19859,1197398,16132,63196305,12234,52320,2802974,68462,24815840,6243398,80563,27757323,27756379,735876,1863,16,222,928,12370,287671
14,100000000,30099,1841795,19579,43444900,16999,79632,3608108,102713,38796127,12676354,127407,40270638,40270128,1194192,987,33,164,477,8563,391757
15,100000000,32506,1968373,15828,38532717,13396,86896,3360353,113651,42888966,8674829,137451,49432101,49431563,1333800,1070,10,177,528,3501,366397
16,100000000,16001,916708,9156,73834657,6653,36720,1455285,48820,18183438,2936239,59043,21773819,21772811,608899,1929,75,216,933,16325,176752
17,100000000,34202,2107606,19523,33520448,16419,93248,4321456,121562,44677117,11446686,146030,50711410,50710320,1374339,2095,71,288,1019,18635,430333
