query_id,mode,rank,squared_l2,index_position,query_time_ms,sax_scans,exact_distance_computations,recall_at_k
0,exact,1,63.4757538,66143124,828.887292,75209209,75216503,
1,exact,1,15.6197891,87014856,232.271013,9186721,5395963,
2,exact,1,22.8773899,84668280,438.770094,27149077,22236180,
3,exact,1,1.37970185,50307688,148.297004,3093230,284353,
4,exact,1,63.1044922,32836847,729.019161,69005608,69003019,
5,exact,1,5.83389902,61276340,301.562958,9857982,4981028,
6,exact,1,4.49572611,35901031,220.232056,5299051,1158420,
7,exact,1,36.5869789,19886269,468.928279,33685322,33651355,
8,exact,1,13.8345299,51229166,313.153712,12261215,9665246,
9,exact,1,22.1279984,75940512,486.159349,29141198,28141551,
10,exact,1,58.9021301,57459077,660.437426,56203525,56198927,
11,exact,1,17.2102337,11197053,315.859549,9543346,9039541,
12,exact,1,40.7410278,94475286,454.653285,26913684,26561967,
13,exact,1,31.8803654,10429279,456.862019,30126491,29715078,
14,exact,1,10.4456377,43436109,331.287356,13632477,9612820,
15,exact,1,71.5351562,27274691,675.527281,63960236,63969404,
16,exact,1,23.2471962,89669655,451.326515,23717584,22498899,
17,exact,1,26.0517921,37109476,353.245775,16524593,16053550,
18,exact,1,5.06696701,27184820,165.709064,4937045,535282,
19,exact,1,30.5777702,86575572,414.182012,24597422,24407224,
20,exact,1,41.077858,84452698,533.447248,35976115,35792276,
21,exact,1,29.3877125,35392087,518.700564,39248402,38747756,
22,exact,1,32.0419846,32708346,474.682603,32771743,32616746,
23,exact,1,66.8677673,79349774,749.411347,68717416,68714738,
24,exact,1,29.5152969,31628497,386.280157,23931502,23626201,
25,exact,1,22.8784103,23504581,519.515485,33145537,32445791,
26,exact,1,31.2109337,13689200,440.480242,26325861,26138164,
27,exact,1,19.4228783,32561746,469.66236,25052083,22853645,
28,exact,1,37.9279022,20918824,464.006327,31876249,31371875,
29,exact,1,30.0856705,91839790,348.11764,20594310,16479645,
30,exact,1,33.5024948,72016882,590.491455,32771171,31829717,
31,exact,1,26.4506664,10830798,667.373746,47198786,46481228,
32,exact,1,27.6911602,43964908,602.667999,50260320,49336516,
33,exact,1,37.3754654,33907202,536.963642,36693387,36651336,
34,exact,1,28.3649406,91456612,410.485801,23280945,23030407,
35,exact,1,45.7969398,97913763,685.205932,61523608,60905416,
36,exact,1,38.4918289,25635309,575.784924,39425385,39368076,
37,exact,1,19.8855515,4193729,357.009589,13655225,11691407,
38,exact,1,23.2947063,50232522,406.073307,21349061,20966932,
39,exact,1,20.266819,85964113,397.720869,19558504,18529149,
40,exact,1,9.90722752,49296622,340.64741,15866104,6846107,
41,exact,1,8.54413605,47754441,230.816473,5154822,4025341,
42,exact,1,26.8064556,82148000,352.091911,15532691,15399396,
43,exact,1,19.6441078,20264166,278.947697,13408241,7480272,
44,exact,1,18.1452827,85652201,423.323609,23803241,21927491,
45,exact,1,8.48100376,39426388,273.327177,8089166,6150867,
46,exact,1,23.6592255,19985963,341.834601,15429499,14669216,
47,exact,1,24.4640656,38485337,519.312501,34004692,33159277,
48,exact,1,20.257473,42257708,315.995834,13409708,12498544,
49,exact,1,35.0074577,86210404,445.342625,39965723,18744874,
50,exact,1,1.42092955,46010524,216.514212,4441113,680324,
51,exact,1,12.3150339,53580679,286.021896,10248967,8593522,
52,exact,1,43.7111855,94206328,602.015998,48582284,48417994,
53,exact,1,7.71897888,60662851,276.578687,6610436,4171496,
54,exact,1,11.1610498,10280268,195.785912,10182224,1493597,
55,exact,1,10.7719173,20742887,243.543169,6098814,4163385,
56,exact,1,23.4501801,72151254,492.632037,33748358,31931078,
57,exact,1,20.4672565,11385202,273.227257,8124972,7517153,
58,exact,1,40.8541679,53953827,488.768213,33593066,33397013,
59,exact,1,44.8946419,27021801,599.125081,46780709,46201760,
60,exact,1,27.167593,93696911,447.329422,25112740,24288070,
61,exact,1,43.7019463,3646620,631.969667,48987627,48980762,
62,exact,1,10.0621271,24300302,386.964411,16479438,6990456,
63,exact,1,11.2561474,79258054,318.762294,12615139,7462659,
64,exact,1,17.0820351,21230313,425.73421,23585623,22166553,
65,exact,1,60.7641602,95622091,631.577235,51418682,51199275,
66,exact,1,20.6673241,93159900,439.935508,23490149,22429826,
67,exact,1,8.75650406,30641265,281.478222,9162471,4452710,
68,exact,1,27.9805183,11096627,475.306077,31265435,30981462,
69,exact,1,25.7376137,31543983,417.162986,24175433,23737186,
70,exact,1,66.5710983,64235438,760.081337,71560266,71571035,
71,exact,1,45.8839531,28313274,595.4264,49638381,47400887,
72,exact,1,8.09309959,77178867,323.712065,10793816,3940315,
73,exact,1,25.1534882,42785592,482.923173,33959404,32744820,
74,exact,1,15.3163233,92561811,332.360635,15353728,11416729,
75,exact,1,23.9121838,33193894,299.582729,11266386,10888321,
76,exact,1,55.5808868,31559297,659.540362,52411896,52410841,
77,exact,1,11.1378384,81067497,357.013261,10172441,7175132,
78,exact,1,14.2598724,88193185,234.952263,10122501,1085586,
79,exact,1,9.6530056,19948781,359.380686,11016145,7240912,
80,exact,1,20.5892124,83160540,722.362065,29622439,26981049,
81,exact,1,51.1412811,13867718,903.852174,80609339,80618232,
82,exact,1,33.6872101,29337667,525.180868,28338733,28057931,
83,exact,1,56.2234192,23720590,766.93431,62618840,62625704,
84,exact,1,27.3225327,42840916,633.217275,29874552,28649822,
85,exact,1,33.7811089,2656060,536.542202,30671547,30557898,
86,exact,1,5.91304684,74348929,247.217661,4104283,751157,
87,exact,1,64.8815155,36359409,749.420749,62238466,62242607,
88,exact,1,34.1762428,46251043,523.466461,29722018,28488974,
89,exact,1,40.506691,89428193,670.08688,51144839,50920603,
90,exact,1,17.2920303,40296051,423.342723,15842269,11520254,
91,exact,1,3.74451804,11885625,276.866315,5524433,1450084,
92,exact,1,32.2771225,92023120,427.374216,21640903,20769560,
93,exact,1,48.0027275,77365981,578.30347,38105550,38093963,
94,exact,1,16.4591808,73408148,484.600452,21464238,19709795,
95,exact,1,19.8037777,36204064,551.975947,24540926,23570892,
96,exact,1,12.8616114,50343400,598.834042,22130582,17708815,
97,exact,1,12.2989655,24586517,309.461687,10068013,5238942,
98,exact,1,42.0862503,36367896,595.53729,43594443,43578002,
99,exact,1,20.3500099,64037120,382.571614,12180316,10402674,
