# query,time in ms,distance, total
0.0,581.6708939722222,2026.2873215315776,20940.215031
1.0,581.6708939722222,1031.1315142000094,20940.215031
2.0,581.6708939722222,1029.1223567178386,20940.215031
3.0,581.6708939722222,1027.4601935432438,20940.215031
4.0,581.6708939722222,1026.0950646512356,20940.215031
5.0,581.6708939722222,1025.036394914845,20940.215031
6.0,581.6708939722222,1024.2531894768035,20940.215031
7.0,581.6708939722222,1023.651640960612,20940.215031
8.0,581.6708939722222,1023.2666108526209,20940.215031
9.0,581.6708939722222,1023.0821149635631,20940.215031
10.0,581.6708939722222,1023.1854647782311,20940.215031
11.0,581.6708939722222,1023.5492439515983,20940.215031
12.0,581.6708939722222,1024.1626041108393,20940.215031
13.0,581.6708939722222,1025.0205178071192,20940.215031
14.0,581.6708939722222,1026.1080173752853,20940.215031
15.0,581.6708939722222,1027.448455044083,20940.215031
16.0,581.6708939722222,1029.0462407211307,20940.215031
17.0,581.6708939722222,1030.9539046116552,20940.215031
18.0,581.6708939722222,1033.1342932727566,20940.215031
19.0,581.6708939722222,1035.6427707337425,20940.215031
20.0,581.6708939722222,1038.4588858196512,20940.215031
21.0,581.6708939722222,1041.577230335737,20940.215031
22.0,581.6708939722222,1044.98410101411,20940.215031
23.0,581.6708939722222,1048.6265335441713,20940.215031
24.0,581.6708939722222,1052.5611715871491,20940.215031
25.0,581.6708939722222,1056.7340642362833,20940.215031
26.0,581.6708939722222,1061.1639776561788,20940.215031
27.0,581.6708939722222,1065.8387719551101,20940.215031
28.0,581.6708939722222,1070.7747285976657,20940.215031
29.0,581.6708939722222,1075.876235656673,20940.215031
30.0,581.6708939722222,1081.2274272120703,20940.215031
31.0,581.6708939722222,1086.8758460960962,20940.215031
32.0,581.6708939722222,1092.8181602098048,20940.215031
33.0,581.6708939722222,1099.0515913153067,20940.215031
34.0,581.6708939722222,1105.559709550711,20940.215031
35.0,581.6708939722222,1112.1951732788148,20940.215031
36.0,585.4843161666666,1119.1034050136805,42021.587406
37.0,585.4843161666666,1126.1935523012653,42021.587406
38.0,585.4843161666666,1133.4196151397773,42021.587406
39.0,585.4843161666666,1140.8648844146082,42021.587406
40.0,585.4843161666666,1148.460955682458,42021.587406
41.0,585.4843161666666,1156.2529282621254,42021.587406
42.0,585.4843161666666,1164.2511212835088,42021.587406
43.0,585.4843161666666,1172.3993971716263,42021.587406
44.0,585.4843161666666,1180.7027056075312,42021.587406
45.0,585.4843161666666,1189.09108729125,42021.587406
46.0,585.4843161666666,1197.6308757607476,42021.587406
47.0,585.4843161666666,1206.3549086845014,42021.587406
48.0,585.4843161666666,1215.2842718626052,42021.587406
49.0,585.4843161666666,1224.4507833134994,42021.587406
50.0,585.4843161666666,1233.7924233938102,42021.587406
51.0,585.4843161666666,1243.3196705952432,42021.587406
52.0,585.4843161666666,1252.987532484709,42021.587406
53.0,585.4843161666666,1262.8064327599132,42021.587406
54.0,585.4843161666666,1272.780965165235,42021.587406
55.0,585.4843161666666,1282.8794462441,42021.587406
56.0,585.4843161666666,1293.138544098474,42021.587406
57.0,585.4843161666666,1303.4203200694756,42021.587406
58.0,585.4843161666666,1313.7394912876189,42021.587406
59.0,585.4843161666666,1324.186524049379,42021.587406
60.0,585.4843161666666,1334.7841934869066,42021.587406
61.0,585.4843161666666,1345.5763421962038,42021.587406
62.0,585.4843161666666,1356.5586234285147,42021.587406
63.0,585.4843161666666,1367.4664788884693,42021.587406
64.0,585.4843161666666,1378.4987424232677,42021.587406
65.0,585.4843161666666,1389.7112766584032,42021.587406
66.0,585.4843161666666,1401.0997331049875,42021.587406
67.0,585.4843161666666,1412.5263471210055,42021.587406
68.0,585.4843161666666,1424.1093475120724,42021.587406
69.0,585.4843161666666,1435.820591024254,42021.587406
70.0,585.4843161666666,1447.616076329272,42021.587406
71.0,585.4843161666666,1459.5111127500568,42021.587406
72.0,735.6461651428572,1471.5578382300591,62623.965894
73.0,735.6461651428572,1483.617342473066,62623.965894
74.0,735.6461651428572,1495.693897655292,62623.965894
75.0,735.6461651428572,1507.8890255950537,62623.965894
76.0,735.6461651428572,1520.1604399835342,62623.965894
77.0,735.6461651428572,1532.4161780262366,62623.965894
78.0,735.6461651428572,1544.714824617855,62623.965894
79.0,735.6461651428572,1557.0764749879017,62623.965894
80.0,735.6461651428572,1569.553282361725,62623.965894
81.0,735.6461651428572,1581.929061592804,62623.965894
82.0,735.6461651428572,1594.3680629355513,62623.965894
83.0,735.6461651428572,1606.8979826948053,62623.965894
84.0,735.6461651428572,1619.4889194911812,62623.965894
85.0,735.6461651428572,1632.1943367284402,62623.965894
86.0,735.6461651428572,1644.8810145445314,62623.965894
87.0,735.6461651428572,1657.592578583295,62623.965894
88.0,735.6461651428572,1670.3175244416489,62623.965894
89.0,735.6461651428572,1683.108028939474,62623.965894
90.0,735.6461651428572,1695.9636567222333,62623.965894
91.0,735.6461651428572,1708.8618859835115,62623.965894
92.0,735.6461651428572,1721.69279409945,62623.965894
93.0,735.6461651428572,1734.5872621573508,62623.965894
94.0,735.6461651428572,1747.5712980516837,62623.965894
95.0,735.6461651428572,1760.6418432983482,62623.965894
96.0,735.6461651428572,1773.794824378696,62623.965894
97.0,735.6461651428572,1786.8493658588848,62623.965894
98.0,735.6461651428572,1799.955977808917,62623.965894
99.0,735.6461651428572,1813.0559062134125,62623.965894
