# query,time in ms,distance, total
0.0,571.0496764444445,148270.00311019365,20557.809256
1.0,571.0496764444445,134157.99711284135,20557.809256
2.0,571.0496764444445,155674.99082494155,20557.809256
3.0,571.0496764444445,90889.00097107887,20557.809256
4.0,571.0496764444445,7899.99974684068,20557.809256
5.0,571.0496764444445,110859.00276137888,20557.809256
6.0,571.0496764444445,154811.00502484382,20557.809256
7.0,571.0496764444445,50974.00336423889,20557.809256
8.0,571.0496764444445,33943.00211120024,20557.809256
9.0,571.0496764444445,115100.00471025705,20557.809256
10.0,571.0496764444445,180508.98927573953,20557.809256
11.0,571.0496764444445,245778.98582388554,20557.809256
12.0,571.0496764444445,83558.99907204881,20557.809256
13.0,571.0496764444445,156323.00745809916,20557.809256
14.0,571.0496764444445,148993.0079495916,20557.809256
15.0,571.0496764444445,382851.0337831415,20557.809256
16.0,571.0496764444445,198353.99761928618,20557.809256
17.0,571.0496764444445,148212.00559486542,20557.809256
18.0,571.0496764444445,60479.002055555815,20557.809256
19.0,571.0496764444445,142272.9885981083,20557.809256
20.0,571.0496764444445,180065.00228496734,20557.809256
21.0,571.0496764444445,99218.00183238089,20557.809256
22.0,571.0496764444445,99545.00643499289,20557.809256
23.0,571.0496764444445,54167.00102012628,20557.809256
24.0,571.0496764444445,186911.98796931282,20557.809256
25.0,571.0496764444445,178418.9962607026,20557.809256
26.0,571.0496764444445,157103.99587586895,20557.809256
27.0,571.0496764444445,147355.00167534128,20557.809256
28.0,571.0496764444445,138050.00572514627,20557.809256
29.0,571.0496764444445,132791.00313533936,20557.809256
30.0,571.0496764444445,264108.9810435511,20557.809256
31.0,571.0496764444445,165356.9950106144,20557.809256
32.0,571.0496764444445,143307.99522830546,20557.809256
33.0,571.0496764444445,171634.01128298044,20557.809256
34.0,571.0496764444445,185468.01246884838,20557.809256
35.0,571.0496764444445,160818.98969990108,20557.809256
36.0,569.90976525,261356.99781791214,41079.323362
37.0,569.90976525,252815.0088789463,41079.323362
38.0,569.90976525,191839.0008870596,41079.323362
39.0,569.90976525,101789.00009477511,41079.323362
40.0,569.90976525,169151.01147312298,41079.323362
41.0,569.90976525,167067.0075066099,41079.323362
42.0,569.90976525,186609.99928603414,41079.323362
43.0,569.90976525,183141.99654871225,41079.323362
44.0,569.90976525,107704.99200645462,41079.323362
45.0,569.90976525,161760.9957528198,41079.323362
46.0,569.90976525,136449.00546775106,41079.323362
47.0,569.90976525,156641.01027045026,41079.323362
48.0,569.90976525,173451.98994094972,41079.323362
49.0,569.90976525,46746.99794069771,41079.323362
50.0,569.90976525,173524.0113068968,41079.323362
51.0,569.90976525,80456.00328360591,41079.323362
52.0,569.90976525,191943.00654490385,41079.323362
53.0,569.90976525,138518.99188905954,41079.323362
54.0,569.90976525,104087.9933500886,41079.323362
55.0,569.90976525,63386.99791166023,41079.323362
56.0,569.90976525,165258.9977082694,41079.323362
57.0,569.90976525,248571.99134267867,41079.323362
58.0,569.90976525,68222.00286555663,41079.323362
59.0,569.90976525,219038.9965945864,41079.323362
60.0,569.90976525,102367.99078308139,41079.323362
61.0,569.90976525,121014.99853593204,41079.323362
62.0,569.90976525,385230.01544058695,41079.323362
63.0,569.90976525,129124.00475815777,41079.323362
64.0,569.90976525,9078.999294974841,41079.323362
65.0,569.90976525,88966.00582663808,41079.323362
66.0,569.90976525,168311.99856083933,41079.323362
67.0,569.90976525,208796.00653590262,41079.323362
68.0,569.90976525,58961.00018735253,41079.323362
69.0,569.90976525,129275.00868439674,41079.323362
70.0,569.90976525,71345.99985350762,41079.323362
71.0,569.90976525,319327.0143744387,41079.323362
72.0,685.6984429642856,121555.0094586648,60287.788183
73.0,685.6984429642856,80179.00006269012,60287.788183
74.0,685.6984429642856,202687.99221911374,60287.788183
75.0,685.6984429642856,189179.999929131,60287.788183
76.0,685.6984429642856,129434.993960917,60287.788183
77.0,685.6984429642856,112991.99696069956,60287.788183
78.0,685.6984429642856,129390.99253834784,60287.788183
79.0,685.6984429642856,102322.00704399124,60287.788183
80.0,685.6984429642856,108555.00633344427,60287.788183
81.0,685.6984429642856,73497.99316965882,60287.788183
82.0,685.6984429642856,97607.00846717134,60287.788183
83.0,685.6984429642856,215730.99293524027,60287.788183
84.0,685.6984429642856,210619.0070634717,60287.788183
85.0,685.6984429642856,131197.00642835442,60287.788183
86.0,685.6984429642856,50175.00195808802,60287.788183
87.0,685.6984429642856,105016.00942669902,60287.788183
88.0,685.6984429642856,188174.0098014474,60287.788183
89.0,685.6984429642856,158798.99080041423,60287.788183
90.0,685.6984429642856,198644.01235067192,60287.788183
91.0,685.6984429642856,145509.0010446459,60287.788183
92.0,685.6984429642856,86372.00440338347,60287.788183
93.0,685.6984429642856,182902.00582614634,60287.788183
94.0,685.6984429642856,215390.0053764144,60287.788183
95.0,685.6984429642856,111631.99059769604,60287.788183
96.0,685.6984429642856,103879.99683403969,60287.788183
97.0,685.6984429642856,159547.0007801652,60287.788183
98.0,685.6984429642856,142186.00211308245,60287.788183
99.0,685.6984429642856,123257.99267365038,60287.788183
