query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
0,100000000,1731,10292,283,99995553,96,16,0,16,4447,4431,13,16,15,19,17,0,1,1,0,10147
1,100000000,4682,198394,4123,99502381,9264,688,1,1613,426806,72169,4111,425449,425371,37306,167,3,24,75,2082,143994
2,100000000,4539,195490,4123,99536791,9093,640,1,1239,388547,58760,3366,404448,404372,34867,162,4,24,72,23,146878
3,100000000,3987,159395,4123,99470808,8153,752,0,1448,470824,74222,3726,454970,454891,35257,167,5,25,74,22,110764
4,100000000,4051,158135,4115,99508127,7821,752,9268,1342,429953,65920,3169,416685,416608,32039,165,4,23,73,19,113722
5,100000000,3417,117010,4115,99505946,6398,736,734,1259,444039,68783,2596,424537,424458,25319,169,4,12,75,19,81407
6,100000000,3484,119371,4115,99474113,5780,736,4,1007,460408,84071,2439,441812,441734,25024,167,4,15,74,10,85096
7,100000000,3238,114739,4123,99494454,5957,704,4767,924,441783,70015,2372,430764,430687,23236,167,2,9,75,14,82227
8,100000000,2877,94634,4131,99485641,4314,752,4,769,447958,83055,1958,431300,431218,20225,175,4,8,78,15,67345
9,100000000,2703,91075,4139,99499440,3970,768,0,656,435367,73236,1731,427324,427242,17425,177,2,12,80,19,67262
10,100000000,2882,90471,4139,99499030,3961,720,5117,618,415897,67038,1567,428815,428732,16871,179,1,17,82,12,67425
11,100000000,2523,76509,4139,99426609,3599,816,18738,605,489848,85870,1570,468783,468693,15657,187,7,14,83,12,55052
12,100000000,2592,82758,4155,99482396,3502,752,14213,568,439291,65375,1405,438016,437929,14772,187,1,7,86,17,62487
13,100000000,2517,78969,4155,99427913,3148,848,21744,577,470380,80736,1337,469607,469514,14726,198,2,14,91,15,59152
14,100000000,2601,80273,4155,99314790,3107,1024,70953,644,546623,116864,1624,497393,497300,15468,197,3,10,90,9,59411
15,100000000,2576,83128,4163,99342437,3143,976,78898,596,481368,126335,1441,452330,452243,13986,188,0,6,87,13,63943
16,100000000,2479,76668,4179,99314984,3045,1008,78589,652,521386,115754,1544,490673,490577,14990,203,3,7,93,13,56417
17,100000000,2708,77512,4219,99185009,3140,1168,138964,672,568327,155774,1669,520253,520157,15660,200,6,4,90,488,55879
18,100000000,2598,83444,4243,99192473,3175,1184,90894,755,611991,150118,1772,566515,566406,16598,225,7,21,102,19,61104
19,100000000,2701,78628,4283,99104852,3065,1328,156061,799,628317,183561,1797,555526,555420,16904,224,2,16,104,500,55547
20,100000000,2890,86775,4323,99015704,3226,1456,162306,854,696324,212148,2165,609842,609728,18157,234,7,9,107,487,61877
21,100000000,2597,84064,4355,98923633,3258,1552,196613,936,731548,257271,2168,622483,622371,18334,234,3,13,109,12,59343
22,100000000,2692,86709,4387,98850433,3246,1696,199151,993,802035,251827,2348,698589,698474,20257,238,5,17,110,12,59836
23,100000000,2608,82720,4427,98835039,3249,1744,221573,1019,789609,274996,2328,668392,668256,19675,274,11,17,125,493,55939
24,100000000,2733,85517,4443,98742120,3205,1840,196368,1104,886059,317441,2504,744071,743934,21342,274,13,19,124,14,57329
25,100000000,2804,91587,4467,98531436,3271,2128,294134,1249,969666,324790,2776,849640,849489,23866,305,11,27,140,932,59466
26,100000000,2865,89468,4467,98394961,3268,2320,360211,1348,1012462,348837,2942,895991,895837,25088,315,8,18,146,474,56330
27,100000000,2974,98116,4467,98180081,3534,2608,426790,1460,1107924,449573,3133,943556,943404,26063,309,10,15,142,38,63873
28,100000000,3063,103678,4547,97922834,3435,3088,510219,1816,1259056,498320,3654,1068627,1068471,29374,311,16,22,140,18,65359
29,100000000,3238,120413,4603,97562607,3519,3600,415202,2267,1667342,428940,4863,1593251,1593067,47272,368,15,29,169,43,62420
30,100000000,3177,110484,4635,97499704,3578,3712,626712,2183,1505492,619824,4498,1253760,1253580,35378,359,16,31,164,945,63871
31,100000000,3510,136406,4683,97266195,3644,4176,507161,2636,1836192,544166,5359,1682478,1682256,49991,433,26,34,196,529,74213
