query,elapsed_ms,total_records,node_pruned,cluster_pruned,local_vq_pruned,record_pruned,exact_evaluated,node_mbr_us,cluster_bound_us,local_vq_us,record_bound_us,exact_distance_us,other_us
89,1496.866000,100000000,70943747,175528,0,28876005,4720,7884,21777,0,1459742,1427,6036
90,1527.738000,100000000,70456865,179804,0,29358376,4955,7979,22274,0,1489768,1490,6227
91,1559.480000,100000000,69810112,196702,0,29987966,5220,8025,22583,0,1520873,1593,6406
92,1592.913000,100000000,69177021,243634,0,30573842,5503,8227,23135,0,1553337,1653,6561
93,1624.242000,100000000,68585760,236243,0,31172214,5783,8228,23291,0,1584196,1792,6735
94,1666.343000,100000000,67903190,244491,0,31846243,6076,8510,23968,0,1625007,1875,6983
95,1698.923000,100000000,67185863,287949,0,32519788,6400,8760,24563,0,1656603,1984,7013
96,1897.692000,100000000,66480112,313835,0,33199325,6728,10257,29885,0,1847527,2066,7957
97,1906.203000,100000000,65677057,368276,0,33947576,7091,10661,31190,0,1851649,2535,10168
98,1875.802000,100000000,64807799,458671,0,34726086,7444,9533,28599,0,1826702,2208,8760
99,1871.591000,100000000,63986490,506408,0,35499252,7850,9555,27088,0,1824707,2276,7965
