query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
84,4999932,2623,27839,388,4336448,176,832,69659,632,447031,187866,1785,405959,396630,15937,11048,7599,349,1730,627,8333
85,4999932,1280,6981,276,4907205,44,112,17093,37,55689,26925,152,48709,48510,1320,319,90,14,109,43,5371
86,4999932,34662,1299250,1091,96682,942,6384,48705,6783,4014372,1483680,17269,3370865,1447098,254972,3520785,302649,88700,1621118,675507,255077
87,4999932,2373,10081,292,4801581,105,224,53617,92,114599,41993,385,102741,100760,3923,2349,1612,62,369,106,5408
88,4999932,2800,16582,300,4708268,75,368,26551,213,208890,86500,678,178613,147572,9002,35175,26896,483,4145,1159,4972
89,4999932,29733,1316925,1091,112718,1072,6352,105622,6700,3946132,1421827,15259,3359765,892564,251480,4149236,759294,95795,1707907,678920,267699
90,4999932,29653,1166895,1091,157679,1089,6352,301500,6191,3745162,1235240,14477,3305513,1688927,223944,3085508,126355,81515,1490231,605868,233811
91,4999932,1076,6235,268,4927259,71,80,39961,21,14866,8016,62,24696,24674,569,50,5,5,17,5,5502
92,4999932,1531,10208,268,4828271,71,208,27853,145,110669,35139,405,108669,104286,4401,5172,3597,140,786,241,4805
93,4999932,35258,1320693,1091,113199,1346,6352,103945,7298,3947809,1431610,15877,3351178,991365,252407,4027132,666916,95070,1692897,686544,262151
94,4999932,33290,1457860,1091,47200,1103,6480,41912,6874,4053558,1499309,16484,3411511,1224891,266439,3909325,437123,99281,1749497,779945,287734
95,4999932,1903,8964,284,4818636,113,192,6447,130,130882,41991,488,132858,132834,3375,42,6,6,18,3,4849
96,4999932,1586,10160,308,4737259,87,336,55284,152,147183,74861,487,132528,132511,3441,25,3,3,14,5,5985
97,4999932,1443,10270,324,4635851,79,464,124766,285,189691,79501,681,159814,159798,4036,43,3,0,13,5,5184
98,4999932,2062,45928,724,2909396,355,2800,570930,1543,1208772,86943,3848,1432663,1432642,27223,40,1,4,20,10,12945
99,4999932,1175,6965,276,4919968,38,80,26616,27,29507,19647,111,33701,33681,794,34,3,1,17,5,5989
