query,elapsed_ms,total_records,node_pruned,cluster_pruned,local_vq_pruned,record_pruned,exact_evaluated,node_mbr_us,cluster_bound_us,local_vq_us,record_bound_us,exact_distance_us,other_us
0,2110.467000,4999932,0,19919,0,833176,4146837,1574,4065,0,629464,1056561,418803
1,2.291000,4999932,4934228,20812,0,44887,5,38,23,0,2148,1,81
2,1878.937000,4999932,56421,42860,0,1199068,3701583,1595,4084,0,583970,918107,371181
3,1.999000,4999932,4941007,20572,0,38352,1,27,35,0,1853,0,84
4,738.116000,4999932,976852,299341,0,2461190,1262549,1150,3107,0,329354,270532,133973
5,524.542000,4999932,1218642,264491,0,2813880,702919,1014,2910,0,298272,144966,77380
6,2.387000,4999932,4942245,12927,0,44744,16,35,32,0,2217,5,98
7,1.917000,4999932,4961814,1262,0,36854,2,18,17,0,1809,0,73
8,2.022000,4999932,4954220,7568,0,38106,38,21,19,0,1890,13,79
9,822.718000,4999932,111838,4985,0,3686662,1196447,1537,5925,0,446429,241939,126888
10,2.392000,4999932,4919435,15113,0,65382,2,33,23,0,2239,1,96
11,1.732000,4999932,4962540,6111,0,31278,3,15,15,0,1616,1,85
12,1959.320000,4999932,2133,22520,0,1181113,3794166,1513,8919,0,612966,962588,373334
13,4.902000,4999932,4877103,11407,0,111411,11,29,50,0,4732,3,88
14,10.066000,4999932,4705056,52820,0,242050,6,64,141,0,9750,2,109
15,7.981000,4999932,4724500,89797,0,185621,14,79,112,0,7677,4,109
16,88.031000,4999932,2782089,376332,0,1841427,84,506,1355,0,85796,27,347
17,22.213000,4999932,4419491,116245,0,464175,21,128,285,0,21610,8,182
18,755.285000,4999932,111838,6320,0,3808845,1072929,1490,3679,0,382461,258259,109396
19,4.651000,4999932,4875288,22706,0,101937,1,60,87,0,4395,0,109
20,3.712000,4999932,4889630,27396,0,82888,18,44,50,0,3525,6,87
21,328.593000,4999932,1455416,410650,0,2835591,298275,994,2541,0,233740,57916,33402
22,1955.394000,4999932,0,6641,0,1052924,3940367,1617,4034,0,559316,1006636,383791
23,1.584000,4999932,4961486,4603,0,33824,19,19,13,0,1461,7,84
24,143.003000,4999932,3841553,49065,0,911297,198017,339,791,0,74257,47966,19650
25,2.343000,4999932,4922393,29956,0,47560,23,28,36,0,2172,4,103
26,4.431000,4999932,4843406,43433,0,113087,6,70,69,0,4188,3,101
27,1.455000,4999932,4939898,19002,0,40913,119,20,21,0,1305,26,83
28,1.131000,4999932,4958737,17723,0,23468,4,21,22,0,1021,0,67
29,1709.261000,4999932,0,6593,0,1768477,3224862,1679,4034,0,567425,820099,316024
30,52.206000,4999932,4421973,15665,0,524572,37722,194,338,0,37989,9627,4058
31,59.389000,4999932,3637654,115463,0,1241470,5345,357,904,0,55902,1385,841
32,111.366000,4999932,1959021,360095,0,2680786,30,675,1912,0,108347,10,422
33,4.800000,4999932,4888424,15479,0,95281,748,59,78,0,4253,208,202
34,90.952000,4999932,4057578,5943,0,839670,96741,298,690,0,56066,24090,9808
35,52.679000,4999932,4209178,108254,0,644126,38374,194,440,0,37445,10138,4462
36,3.994000,4999932,4895662,15424,0,88454,392,43,38,0,3648,97,168
37,130.493000,4999932,3975949,38159,0,815582,170242,310,677,0,69129,43358,17019
38,2.905000,4999932,4925172,6010,0,68649,101,30,28,0,2727,29,91
39,7.540000,4999932,4775919,51810,0,172162,41,80,134,0,7207,12,107
40,2330.792000,4999932,0,250,0,67,4999615,1700,4133,0,574953,1265195,484811
41,47.494000,4999932,4163174,37357,0,794475,4926,248,525,0,44673,1316,732
42,166.859000,4999932,2623579,146968,0,2145174,84211,636,1562,0,134714,21104,8843
43,47.989000,4999932,4472825,61813,0,410434,54860,185,296,0,27837,14126,5545
44,1359.958000,4999932,0,65450,0,2467980,2466502,1469,3784,0,480133,633026,241546
45,2088.973000,4999932,0,10858,0,695337,4293737,1655,4130,0,569996,1094393,418799
46,1303.924000,4999932,96949,134988,0,2847679,1920316,2043,5108,0,512823,516799,267151
47,388.470000,4999932,832390,254341,0,3882237,30964,1634,4190,0,367751,8934,5961
48,2371.452000,4999932,0,8422,0,17,4991493,1621,4505,0,595282,1286715,483329
49,1287.963000,4999932,33290,65850,0,2471236,2429556,1539,4043,0,461637,582316,238428
50,2089.915000,4999932,0,6955,0,667652,4325325,1660,4115,0,555029,1111027,418084
51,1759.513000,4999932,2153,25757,0,1429725,3542297,1662,4101,0,531925,877841,343984
52,1815.551000,4999932,3896,32358,0,1341102,3622576,1734,4151,0,538993,915539,355134
53,1308.542000,4999932,65404,39358,0,2467341,2427829,1601,3894,0,445704,619777,237566
54,1.922000,4999932,4947106,17595,0,35229,2,24,31,0,1763,1,103
55,517.450000,4999932,1363327,143674,0,2872158,620773,1060,2677,0,297364,154747,61602
56,728.322000,4999932,711335,368365,0,2607440,1312792,1362,3336,0,316774,272094,134756
57,164.865000,4999932,1640648,584828,0,2750541,23915,895,2161,0,153580,4790,3439
58,1323.442000,4999932,84925,125648,0,2292673,2496686,1590,3921,0,436961,635480,245490
59,462.189000,4999932,1257322,625349,0,2438721,678540,1110,2895,0,250802,136693,70689
60,674.984000,4999932,624243,46366,0,3288243,1041080,1323,3355,0,337829,226210,106267
61,5.985000,4999932,4883825,10833,0,102968,2306,33,44,0,4945,581,382
62,2.617000,4999932,4922444,18906,0,58518,64,19,29,0,2458,20,91
63,122.354000,4999932,1995952,94580,0,2907685,1715,725,2055,0,118438,443,693
64,1.925000,4999932,4924249,35612,0,40067,4,38,23,0,1769,1,94
65,1.886000,4999932,4938818,18261,0,42839,14,28,43,0,1740,7,68
66,1.188000,4999932,4959521,16925,0,23448,38,18,27,0,1048,11,84
67,2.117000,4999932,4935071,16489,0,48368,4,36,23,0,1981,2,75
68,2.188000,4999932,4946149,7418,0,46339,26,15,22,0,2056,8,87
69,2.199000,4999932,4942897,12033,0,44965,37,19,21,0,2048,7,104
70,2307.378000,4999932,0,12626,0,0,4987306,1621,3998,0,551327,1268732,481700
71,4.237000,4999932,4921312,2794,0,73833,1993,25,29,0,3344,479,360
72,2259.444000,4999932,0,255,0,233243,4766434,1748,4121,0,555870,1232146,465559
73,51.838000,4999932,3198084,523038,0,1278805,5,371,971,0,50205,2,289
74,4.853000,4999932,4837332,49771,0,112825,4,81,112,0,4557,1,102
75,22.588000,4999932,4324564,92480,0,582877,11,185,393,0,21859,3,148
76,14.927000,4999932,4588543,46729,0,364653,7,140,276,0,14394,1,116
77,32.485000,4999932,3651646,543531,0,804745,10,250,629,0,31407,3,196
78,1.077000,4999932,4964097,14393,0,21441,1,17,19,0,964,0,77
79,1.653000,4999932,4946991,17852,0,35069,20,20,20,0,1527,5,81
80,1.505000,4999932,4944913,22961,0,32050,8,23,11,0,1393,2,76
81,1.787000,4999932,4956109,3943,0,39862,18,26,23,0,1655,6,77
82,208.872000,4999932,3558886,39751,0,1088696,312599,407,1033,0,97776,78828,30828
83,4.338000,4999932,4869274,31423,0,99204,31,52,46,0,4130,12,98
84,33.733000,4999932,4342171,58493,0,591971,7297,211,402,0,30250,1897,973
85,2.330000,4999932,4908455,18998,0,72396,83,34,36,0,2157,25,78
86,1229.837000,4999932,67264,35918,0,2699976,2196774,1587,3859,0,449555,557246,217590
87,9.174000,4999932,4801581,32840,0,163644,1867,62,80,0,8230,492,310
88,29.882000,4999932,4708268,26282,0,227521,37861,79,153,0,15817,9730,4103
89,1405.473000,4999932,111838,5298,0,2059802,2822994,1568,3890,0,441277,682431,276307
90,924.228000,4999932,162655,205786,0,3054451,1577040,1451,3640,0,364231,394691,160215
91,1.717000,4999932,4927259,33429,0,39240,4,16,22,0,1590,1,88
92,9.545000,4999932,4828271,21004,0,146548,4109,70,104,0,7763,1072,536
93,1424.802000,4999932,101532,9427,0,2110815,2778158,1611,3918,0,454033,693767,271473
94,1748.316000,4999932,0,12156,0,1633191,3354585,1578,3977,0,546251,869165,327345
95,7.518000,4999932,4818636,4718,0,176395,183,71,96,0,7166,37,148
96,8.777000,4999932,4737259,47103,0,215567,3,75,125,0,8483,2,92
97,10.924000,4999932,4635851,97638,0,266421,22,95,189,0,10519,5,116
98,63.460000,4999932,2955403,467989,0,1576525,15,393,1154,0,61572,7,334
99,2.460000,4999932,4919968,21971,0,57989,4,31,25,0,2332,1,71
