query_id,mode,rank,squared_l2,index_position,query_time_ms,sax_scans,exact_distance_computations,recall_at_k
0,exact,1,0,39321469,72.410302,480051,139735,
1,exact,1,34.5497932,28455996,715.041458,84456790,52540006,
2,exact,1,0,37782083,53.846657,438673,36458,
3,exact,1,38.919632,96893790,659.205077,87476962,37216411,
4,exact,1,0,84946517,129.037231,799732,205327,
5,exact,1,0,45918015,71.265762,499664,135028,
6,exact,1,15.6901102,59772214,157.552674,27327699,314807,
7,exact,1,0,69620258,111.530749,612381,182930,
8,exact,1,42.8997231,7490643,695.26335,93133963,47984677,
9,exact,1,35.1663055,89048958,745.645472,86984209,51853868,
10,exact,1,36.6196404,98732729,816.49999,89986166,72119708,
11,exact,1,11.1095047,7396325,127.213673,19767632,150806,
12,exact,1,15.1647892,53409270,174.091502,23752868,537867,
13,exact,1,37.9221954,71654425,921.535068,92189956,83958248,
14,exact,1,13.4024115,28513507,144.392752,18550806,189560,
15,exact,1,51.7797928,59236934,974.423534,96780368,90199443,
16,exact,1,10.2434807,26426945,111.261457,8008389,111948,
17,exact,1,55.7595596,80194887,1058.71475,97689303,97111552,
18,exact,1,30.0693989,55147659,467.79154,79092243,9901016,
19,exact,1,16.3148823,40640274,196.380684,28319904,1325306,
20,exact,1,28.2632427,74257811,487.604732,74707655,21534147,
21,exact,1,22.6420155,72547579,340.309604,70814311,4920728,
22,exact,1,16.8340912,2299177,169.717976,33121430,865555,
23,exact,1,32.4031029,79364192,747.095197,85019924,66820134,
24,exact,1,15.549283,52037838,444.02277,58251757,4934200,
25,exact,1,16.1413345,41048235,531.370208,67345221,6771500,
26,exact,1,24.506609,84947411,458.426852,73894857,4975549,
27,exact,1,41.2480431,22943901,838.836221,90912241,84447767,
28,exact,1,14.5761032,62753777,269.089928,41493537,1597893,
29,exact,1,40.8109703,80331582,899.358126,94950691,58870119,
30,exact,1,3.42404056,19825323,64.925179,1830286,33377,
31,exact,1,0,4208831,51.152977,702678,60257,
32,exact,1,0,19831447,47.787301,478465,87111,
33,exact,1,30.1821194,21770454,584.848248,79242553,38795870,
34,exact,1,31.2177029,56104453,627.60931,76387070,41837567,
35,exact,1,13.7183609,77152863,228.130976,32875953,700933,
36,exact,1,42.4140167,87084749,845.372134,90043744,86911999,
37,exact,1,26.1256943,57355662,352.255631,84356982,5836091,
38,exact,1,44.3602295,97764596,860.515244,93970757,76488984,
39,exact,1,46.4391975,79056056,840.269645,90533613,77624190,
40,exact,1,0,49745292,123.495855,508220,237787,
41,exact,1,17.2505188,47165907,254.160835,44955926,3633696,
42,exact,1,33.5622749,7272243,818.543287,93849324,75655953,
43,exact,1,38.4704475,6885527,830.667226,90375115,70855393,
44,exact,1,10.7292395,21369373,200.537556,49579446,859223,
45,exact,1,20.7267494,67263792,266.809849,37155211,3268126,
46,exact,1,0,18013583,70.168608,435612,91238,
47,exact,1,0,37786009,53.356151,421992,99864,
48,exact,1,38.5842094,49693753,718.381107,91448832,55098517,
49,exact,1,31.1551247,54582630,544.002078,84169029,25315265,
50,exact,1,37.9520378,46773121,697.725903,89474194,48757500,
51,exact,1,23.3125534,83311018,805.787101,92665868,63618789,
52,exact,1,49.3138351,49560279,975.737806,95050239,82567616,
53,exact,1,16.1067257,3939850,218.99827,39043352,2086615,
54,exact,1,33.292778,14054667,752.529366,85969848,40765519,
55,exact,1,50.207592,63489777,992.480487,96083164,91565774,
56,exact,1,27.8025303,27066997,320.358335,59447762,2267429,
57,exact,1,41.4099579,57349163,991.591424,95167447,91422074,
58,exact,1,27.1411972,4988345,369.623399,70072674,8858233,
59,exact,1,25.002037,33863678,362.67945,59984814,7445666,
60,exact,1,36.4054756,43294433,629.50543,84669571,38692272,
61,exact,1,21.107111,31667614,511.681333,62886728,21512905,
62,exact,1,51.1401978,55533692,925.042025,94988987,88971769,
63,exact,1,38.3148918,87185238,1064.17703,95500981,79097254,
64,exact,1,0,28679415,87.577023,496515,116290,
65,exact,1,0,88020848,105.569674,407124,239501,
66,exact,1,14.0400438,30542818,178.767452,40355940,492645,
67,exact,1,42.4692192,28798864,811.394172,93174337,69993588,
68,exact,1,43.0523186,83735788,888.903728,91226268,85223138,
69,exact,1,18.2981739,85998596,277.883005,47772330,2360497,
70,exact,1,0,31437360,82.192039,429389,133734,
71,exact,1,29.1772919,34554257,643.878679,79215525,46119302,
72,exact,1,20.0119419,3155737,200.284166,44514515,1707191,
73,exact,1,0,4113044,49.446114,432874,27628,
74,exact,1,47.8562202,82877994,953.85725,94309342,92531894,
