query_id,mode,rank,squared_l2,index_position,query_time_ms,sax_scans,exact_distance_computations,recall_at_k
0,exact,1,78.2101898,19200416,2277.50005,21735898,1871632,
1,exact,1,206.411514,12389149,8345.92426,28470368,18722861,
2,exact,1,171.56662,23343518,8684.2047,28269633,17659524,
3,exact,1,256,4679778,10091.6171,29004442,24256330,
4,exact,1,155.947876,17127730,5647.28147,22513655,9669777,
5,exact,1,121.478035,18884855,5333.04325,27908719,9646715,
6,exact,1,182.87381,14733544,8329.16131,28374634,19115404,
7,exact,1,9.06329441,1317562,529.584989,20673242,82728,
8,exact,1,219.588608,15939807,8353.74027,28653581,19208132,
9,exact,1,185.919205,29866151,6539.29678,22548095,13343335,
10,exact,1,128.844193,28928627,6221.88521,27963526,10950032,
11,exact,1,237.750687,14920294,9124.30669,28892562,21989281,
12,exact,1,141.374176,27107447,8105.00071,27877731,14993444,
13,exact,1,219.835861,16500488,8654.38795,28657272,19554180,
14,exact,1,205.275513,13714752,8458.98652,28535277,20042455,
15,exact,1,43.8008194,28844537,900.001284,21566893,436931,
16,exact,1,149.911194,20336102,7323.15756,28130909,15648155,
17,exact,1,138.869049,17269464,5766.7082,22389303,7611035,
18,exact,1,144.602386,26261180,6663.29061,28098468,13166798,
19,exact,1,162.322815,20866244,8200.89004,28201735,18281058,
20,exact,1,169.900986,1736293,5648.62435,22376301,9563506,
21,exact,1,86.9382477,23474086,3363.80373,27608769,3963218,
22,exact,1,183.295761,20866244,6761.95261,22853515,16278006,
23,exact,1,194.510422,20348364,8390.88124,28686076,17485465,
24,exact,1,100.896454,4590117,623.055548,21711903,243496,
25,exact,1,19.3594303,15978309,1162.79484,21574672,518262,
26,exact,1,233.221313,28499722,10520.8244,28637091,24830917,
27,exact,1,218.898804,13232214,8927.85611,28664565,21103054,
28,exact,1,185.422897,20789608,7171.07611,22653600,14651060,
29,exact,1,205.612717,19339937,9200.01813,28625769,19210118,
30,exact,1,76.8683395,16421075,5356.4219,27561259,10484781,
31,exact,1,145.756653,24558809,7691.33148,28116809,16598369,
32,exact,1,191.364471,26202068,9319.86012,28448495,21235571,
33,exact,1,181.738907,23096861,8735.72343,28367799,19549883,
34,exact,1,222.015686,24977442,9569.61173,28706574,22538157,
35,exact,1,256,4679778,10308.4276,29155793,24811036,
36,exact,1,235.551437,15595649,9469.09212,28843676,22947119,
37,exact,1,183.87291,29150225,8572.25143,28385992,19167668,
38,exact,1,139.074951,12139440,6850.01125,28077670,14402733,
39,exact,1,163.390518,3147721,5565.27729,22909887,9019274,
40,exact,1,219.444748,24032084,8498.9872,28679292,19765207,
41,exact,1,195.208633,15006687,8726.74447,28421617,19333238,
42,exact,1,251.223892,21119732,9770.58666,28966491,23620412,
43,exact,1,148.66864,1500346,5660.84591,22486787,8084645,
44,exact,1,224.02066,20866244,9153.321,28732716,21439979,
45,exact,1,14.1722164,23171580,1702.65624,22308230,1517123,
