# query,time in ms,distance, total
0.0,181.18292696875,249.85823912818978,11595.728605
1.0,181.18292696875,270.0767326460664,11595.728605
2.0,181.18292696875,263.4107182067273,11595.728605
3.0,181.18292696875,258.18751453474397,11595.728605
4.0,181.18292696875,278.8378531610979,11595.728605
5.0,181.18292696875,276.15944643972034,11595.728605
6.0,181.18292696875,271.3796982548811,11595.728605
7.0,181.18292696875,245.32022162210433,11595.728605
8.0,181.18292696875,253.98174632246173,11595.728605
9.0,181.18292696875,259.5539980265894,11595.728605
10.0,181.18292696875,251.41745222402187,11595.728605
11.0,181.18292696875,265.9946179019753,11595.728605
12.0,181.18292696875,269.77539948132835,11595.728605
13.0,181.18292696875,267.2289028475061,11595.728605
14.0,181.18292696875,270.5433534139047,11595.728605
15.0,181.18292696875,264.2687150947895,11595.728605
16.0,181.18292696875,258.5755373365828,11595.728605
17.0,181.18292696875,253.198866767867,11595.728605
18.0,181.18292696875,251.01066435330813,11595.728605
19.0,181.18292696875,245.6547477454742,11595.728605
20.0,181.18292696875,250.6504655630206,11595.728605
21.0,181.18292696875,286.7137185968786,11595.728605
22.0,181.18292696875,282.10476717934944,11595.728605
23.0,181.18292696875,256.7655861791136,11595.728605
24.0,181.18292696875,263.5395734163467,11595.728605
25.0,181.18292696875,260.08476907672593,11595.728605
26.0,181.18292696875,267.7892458775059,11595.728605
27.0,181.18292696875,257.8370852803673,11595.728605
28.0,181.18292696875,256.66278194548795,11595.728605
29.0,181.18292696875,255.1761095117481,11595.728605
30.0,181.18292696875,266.00569232286944,11595.728605
31.0,181.18292696875,266.3775657602855,11595.728605
32.0,181.18292696875,257.5851488746448,11595.728605
33.0,181.18292696875,289.8712000111118,11595.728605
34.0,181.18292696875,264.0315684794077,11595.728605
35.0,181.18292696875,271.4868541339856,11595.728605
36.0,181.18292696875,264.3799161538518,11595.728605
37.0,181.18292696875,261.7056979238441,11595.728605
38.0,181.18292696875,260.9121957060743,11595.728605
39.0,181.18292696875,313.5195700095537,11595.728605
40.0,181.18292696875,290.5652545450721,11595.728605
41.0,181.18292696875,271.84819752421754,11595.728605
42.0,181.18292696875,260.5246395695758,11595.728605
43.0,181.18292696875,276.2483303156332,11595.728605
44.0,181.18292696875,273.5378754504236,11595.728605
45.0,181.18292696875,242.03310240127394,11595.728605
46.0,181.18292696875,278.24849874434585,11595.728605
47.0,181.18292696875,268.25288755269503,11595.728605
48.0,181.18292696875,267.19379566939097,11595.728605
49.0,181.18292696875,260.15404540243617,11595.728605
50.0,181.18292696875,294.17757486648406,11595.728605
51.0,181.18292696875,265.58428038565035,11595.728605
52.0,181.18292696875,263.84793827137037,11595.728605
53.0,181.18292696875,273.31445204839474,11595.728605
54.0,181.18292696875,268.82162028167295,11595.728605
55.0,181.18292696875,267.966998559481,11595.728605
56.0,181.18292696875,241.8419840335846,11595.728605
57.0,181.18292696875,269.87221136974404,11595.728605
58.0,181.18292696875,268.8089863523819,11595.728605
59.0,181.18292696875,275.9490857654928,11595.728605
60.0,181.18292696875,266.7472068220377,11595.728605
61.0,181.18292696875,290.53872485551983,11595.728605
62.0,181.18292696875,267.663537235876,11595.728605
63.0,181.18292696875,256.47427952435464,11595.728605
64.0,220.57337197222222,254.96887486882406,19537.143627
65.0,220.57337197222222,253.2398411391805,19537.143627
66.0,220.57337197222222,277.49967121986265,19537.143627
67.0,220.57337197222222,276.6645375494991,19537.143627
68.0,220.57337197222222,265.68357067183024,19537.143627
69.0,220.57337197222222,263.46811401670857,19537.143627
70.0,220.57337197222222,241.2084993834369,19537.143627
71.0,220.57337197222222,270.9818669156848,19537.143627
72.0,220.57337197222222,251.61083419598071,19537.143627
73.0,220.57337197222222,275.2744955295966,19537.143627
74.0,220.57337197222222,276.18150757953117,19537.143627
75.0,220.57337197222222,269.4923322327086,19537.143627
76.0,220.57337197222222,282.98714480741546,19537.143627
77.0,220.57337197222222,243.83345973192263,19537.143627
78.0,220.57337197222222,262.3171844770113,19537.143627
79.0,220.57337197222222,258.9402178617056,19537.143627
80.0,220.57337197222222,262.5915137137381,19537.143627
81.0,220.57337197222222,257.6134962873912,19537.143627
82.0,220.57337197222222,280.42022125158474,19537.143627
83.0,220.57337197222222,280.1018699776032,19537.143627
84.0,220.57337197222222,259.16628548884546,19537.143627
85.0,220.57337197222222,260.17761129961946,19537.143627
86.0,220.57337197222222,241.28010305026328,19537.143627
87.0,220.57337197222222,257.2383102683816,19537.143627
88.0,220.57337197222222,268.783844465539,19537.143627
89.0,220.57337197222222,270.1955447355431,19537.143627
90.0,220.57337197222222,278.1622838812509,19537.143627
91.0,220.57337197222222,270.22119151181323,19537.143627
92.0,220.57337197222222,262.5279707802147,19537.143627
93.0,220.57337197222222,259.15031875856585,19537.143627
94.0,220.57337197222222,253.16381354827263,19537.143627
95.0,220.57337197222222,267.2696250742629,19537.143627
96.0,220.57337197222222,263.2648111728631,19537.143627
97.0,220.57337197222222,260.3890752847983,19537.143627
98.0,220.57337197222222,282.4378453283316,19537.143627
99.0,220.57337197222222,270.04871059494326,19537.143627
