# query,time in ms,distance, total
0.0,1562.0361337777779,217.2684647973083,14058.418318
1.0,1562.0361337777779,147.6399183070498,14058.418318
2.0,1562.0361337777779,124.486534918914,14058.418318
3.0,1562.0361337777779,184.1550896505396,14058.418318
4.0,1562.0361337777779,120.84498033166255,14058.418318
5.0,1562.0361337777779,127.04584404878551,14058.418318
6.0,1562.0361337777779,167.25103330041838,14058.418318
7.0,1562.0361337777779,154.67489572713384,14058.418318
8.0,1562.0361337777779,162.52242526062764,14058.418318
0.0,1638.110378777778,41.25696698692991,28801.809263
1.0,1638.110378777778,165.8620748109106,28801.809263
2.0,1638.110378777778,184.29776089447932,28801.809263
3.0,1638.110378777778,157.93117665964473,28801.809263
4.0,1638.110378777778,130.27490121894516,28801.809263
5.0,1638.110378777778,127.06970862276285,28801.809263
6.0,1638.110378777778,179.54889757152705,28801.809263
7.0,1638.110378777778,170.97395036212765,28801.809263
8.0,1638.110378777778,248.86776366177946,28801.809263
0.0,1633.7984583333334,143.3852628912291,43506.296787
1.0,1633.7984583333334,205.41299707176313,43506.296787
2.0,1633.7984583333334,182.77762207390333,43506.296787
3.0,1633.7984583333334,190.04741338128588,43506.296787
4.0,1633.7984583333334,175.20159405679442,43506.296787
5.0,1633.7984583333334,141.1639973187639,43506.296787
6.0,1633.7984583333334,171.0769178498922,43506.296787
7.0,1633.7984583333334,201.52441514357724,43506.296787
8.0,1633.7984583333334,162.94530680695607,43506.296787
0.0,1561.7126602222222,194.48118333059483,57562.0236
1.0,1561.7126602222222,209.98256324041085,57562.0236
2.0,1561.7126602222222,157.1644294635953,57562.0236
3.0,1561.7126602222222,131.958103252583,57562.0236
4.0,1561.7126602222222,176.38922036497752,57562.0236
5.0,1561.7126602222222,175.43007249412858,57562.0236
6.0,1561.7126602222222,191.2127946552946,57562.0236
7.0,1561.7126602222222,163.35793811974236,57562.0236
8.0,1561.7126602222222,183.86505061207572,57562.0236
0.0,1643.1183505555555,154.89380288022312,72350.662637
1.0,1643.1183505555555,174.73517507319139,72350.662637
2.0,1643.1183505555555,174.50117827532176,72350.662637
3.0,1643.1183505555555,190.39357712447327,72350.662637
4.0,1643.1183505555555,106.78198903315297,72350.662637
5.0,1643.1183505555555,163.52989784920737,72350.662637
6.0,1643.1183505555555,140.18226134800352,72350.662637
7.0,1643.1183505555555,119.88359522002065,72350.662637
8.0,1643.1183505555555,136.43285563245536,72350.662637
0.0,1620.542009222222,206.9493038990513,86935.850192
1.0,1620.542009222222,175.12672129567727,86935.850192
2.0,1620.542009222222,155.38554878336436,86935.850192
3.0,1620.542009222222,109.06246029597332,86935.850192
4.0,1620.542009222222,107.2669031468431,86935.850192
5.0,1620.542009222222,167.96456731046874,86935.850192
6.0,1620.542009222222,176.33331750566958,86935.850192
7.0,1620.542009222222,192.75252830946647,86935.850192
8.0,1620.542009222222,209.43668969908322,86935.850192
0.0,1632.6108092222223,125.74709568318578,101629.735796
1.0,1632.6108092222223,209.59524379057348,101629.735796
2.0,1632.6108092222223,115.33454655615151,101629.735796
3.0,1632.6108092222223,186.99086753396932,101629.735796
4.0,1632.6108092222223,136.31524952711425,101629.735796
5.0,1632.6108092222223,224.67161724940885,101629.735796
6.0,1632.6108092222223,180.2470184334461,101629.735796
7.0,1632.6108092222223,118.5555325190071,101629.735796
8.0,1632.6108092222223,138.26111349692746,101629.735796
0.0,1632.8002644444446,188.2584793501337,116325.244247
1.0,1632.8002644444446,187.00106572069126,116325.244247
2.0,1632.8002644444446,114.89483179932358,116325.244247
3.0,1632.8002644444446,221.5029620645155,116325.244247
4.0,1632.8002644444446,107.9972557838928,116325.244247
5.0,1632.8002644444446,123.0357645759077,116325.244247
6.0,1632.8002644444446,167.87667642336692,116325.244247
7.0,1632.8002644444446,186.17255638601273,116325.244247
8.0,1632.8002644444446,191.37131344299996,116325.244247
0.0,1631.5902666666668,151.14388177155433,131009.866943
1.0,1631.5902666666668,130.2671294085385,131009.866943
2.0,1631.5902666666668,169.75243783235783,131009.866943
3.0,1631.5902666666668,164.24501561769284,131009.866943
4.0,1631.5902666666668,219.0171691740543,131009.866943
5.0,1631.5902666666668,176.77224227620536,131009.866943
6.0,1631.5902666666668,195.02655652294925,131009.866943
7.0,1631.5902666666668,158.85646705741328,131009.866943
8.0,1631.5902666666668,179.05250204267213,131009.866943
0.0,1669.5153010000001,158.95591161356515,146035.818252
1.0,1669.5153010000001,171.77950869553024,146035.818252
2.0,1669.5153010000001,179.8450030621325,146035.818252
3.0,1669.5153010000001,202.07981315987217,146035.818252
4.0,1669.5153010000001,146.6979447810445,146035.818252
5.0,1669.5153010000001,76.43956593186977,146035.818252
6.0,1669.5153010000001,174.93506848139896,146035.818252
7.0,1669.5153010000001,165.8603553173898,146035.818252
8.0,1669.5153010000001,184.34589998250885,146035.818252
0.0,1618.421415888889,133.94302513742878,160601.926657
1.0,1618.421415888889,168.29619403276956,160601.926657
2.0,1618.421415888889,158.66266850211923,160601.926657
3.0,1618.421415888889,158.2849767553207,160601.926657
4.0,1618.421415888889,206.13704166826574,160601.926657
5.0,1618.421415888889,151.09759687853602,160601.926657
6.0,1618.421415888889,43.72498850600118,160601.926657
7.0,1618.421415888889,172.80964103254155,160601.926657
8.0,1618.421415888889,202.94170412323092,160601.926657
0.0,16634.849443,136.34375544149316,177237.094328
