query,elapsed_ms,total_records,node_pruned,cluster_pruned,local_vq_pruned,record_pruned,exact_evaluated,node_mbr_us,cluster_bound_us,local_vq_us,record_bound_us,exact_distance_us,other_us
0,87.233000,578853,0,39,0,524330,54484,109,704,0,57625,17522,11273
1,234.212000,578853,0,19,0,123056,455778,96,599,0,73575,115947,43995
2,79.398000,578853,0,26,0,499567,79260,81,575,0,49706,19589,9447
3,51.572000,578853,0,39,0,546192,32622,73,569,0,39945,6475,4510
4,57.812000,578853,0,19,0,538319,40515,81,566,0,42081,9833,5251
5,43.736000,578853,0,42,0,565423,13388,77,553,0,38551,2699,1856
6,215.029000,578853,0,19,0,158466,420368,81,577,0,72529,101265,40577
7,180.632000,578853,0,35,0,250320,328498,76,587,0,66558,81325,32086
8,42.722000,578853,0,42,0,571801,7010,80,557,0,39211,1690,1184
9,50.926000,578853,0,26,0,555803,23024,81,570,0,41447,5637,3191
10,245.189000,578853,0,19,0,73184,505650,87,586,0,73731,122298,48487
11,46.747000,578853,0,4645,0,560886,13322,77,560,0,40781,3296,2033
12,148.489000,578853,0,26,0,339176,239651,89,579,0,63065,60283,24473
13,270.296000,578853,0,16,0,0,578837,80,584,0,74431,140185,55016
14,102.803000,578853,0,26,0,454872,123955,83,581,0,57017,31080,14042
15,152.989000,578853,0,19,0,324558,254276,82,576,0,64572,62281,25478
16,32.871000,578853,0,4645,0,573386,822,77,545,0,31763,214,272
17,49.451000,578853,0,26,0,558809,20018,71,555,0,41121,4929,2775
18,36.702000,578853,0,12536,0,560292,6025,75,541,0,33611,1557,918
19,75.622000,578853,0,19,0,510188,68646,79,565,0,49331,17316,8331
20,49.681000,578853,0,26,0,562191,16636,83,564,0,42624,4092,2318
21,44.360000,578853,0,23,0,566422,12408,82,562,0,39130,2786,1800
22,49.746000,578853,0,33,0,557323,21497,78,563,0,40888,5181,3036
23,36.656000,578853,0,42,0,574267,4544,75,550,0,34214,1127,690
24,268.753000,578853,0,19,0,47,578787,89,596,0,73340,139554,55174
25,122.455000,578853,0,19,0,411554,167280,86,564,0,63296,40787,17722
26,33.424000,578853,0,1834,0,576488,531,68,556,0,32454,147,199
27,74.216000,578853,0,26,0,517826,61001,75,570,0,50721,14978,7872
