query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
0,578853,14405,178236,64,0,103,896,85,3852,553861,87261,6128,491507,425922,98132,122486,7988,10733,57597,26860,32428
1,578853,17018,259376,64,0,131,896,64,2946,553882,49969,4812,528820,5691,97764,701161,341821,24078,181308,78144,51501
2,578853,9279,124605,64,0,89,896,75,1908,553871,79770,3348,499008,390735,58353,193433,21901,8813,86372,29192,22902
3,578853,5726,49925,64,0,63,896,131,1283,553815,110071,2271,468651,434492,30795,59275,8832,1929,25327,5100,8484
4,578853,5379,60364,64,0,62,896,87,1255,553859,88746,2158,490020,442299,35298,84399,10644,2746,37077,8742,10103
5,578853,3655,40785,64,0,66,896,96,1206,553850,90972,2163,487785,468948,30949,19633,18045,447,792,237,5717
6,578853,13331,162777,64,0,71,896,55,1384,553891,41054,2472,537744,21903,50274,701146,327047,13162,188794,65278,30136
7,578853,11876,134459,64,0,129,896,92,1371,553854,66792,2448,511969,161391,47815,497010,201629,10503,148949,47150,25043
8,578853,3508,36713,64,0,69,896,109,1185,553837,108082,2177,470662,463500,27363,7414,6911,252,251,68,5599
9,578853,3587,44896,64,0,65,896,87,1246,553859,90566,2127,488200,461547,34284,28264,25041,662,1612,429,6083
10,578853,13283,163656,64,0,59,896,53,1361,553893,41788,2429,537012,11216,50258,717087,330884,13550,194912,66709,29290
11,578853,4021,49385,64,0,66,896,97,1260,553849,83713,2152,495043,461999,35662,41190,24799,1161,8245,2183,6901
12,578853,12745,147207,64,0,69,896,60,1313,553886,49347,2363,529446,75117,49228,624311,281232,12224,173097,54798,27212
13,578853,15699,204664,64,0,78,896,0,1719,553946,27817,2838,551036,0,51998,797247,299868,17324,251168,87787,42920
14,578853,9512,95620,64,0,69,896,91,1326,553855,82180,2405,496582,373405,42459,216004,29031,6622,94146,25921,16818
15,578853,12025,148930,64,0,72,896,68,1393,553878,48982,2445,529803,87381,50848,609599,272216,12139,170206,54622,27411
16,578853,2761,28430,64,0,75,896,9749,1180,544197,114838,2073,454266,452923,19828,1542,1142,85,201,52,5137
17,578853,3969,46563,64,0,63,896,80,1248,553866,73804,2078,504969,471314,35451,36353,30902,874,2753,764,6085
18,578853,4112,41547,64,0,56,896,100,1192,553846,97035,2031,481718,464847,30219,18934,14792,448,2079,524,7077
19,578853,8537,81876,64,0,68,896,81,1287,553865,80519,2249,498253,418319,40338,148509,10424,5000,69510,18808,14126
20,578853,3478,45211,64,0,72,896,81,1239,553865,85352,2137,493420,467917,35061,26889,24093,605,1410,385,5712
21,578853,3889,41041,64,0,64,896,89,1230,553857,96131,2007,482633,463885,31289,19537,17955,407,793,202,5842
22,578853,4990,66622,64,0,58,896,76,1243,553870,66320,2141,512457,458390,41372,87161,20524,2803,33543,9079,9926
23,578853,3576,37608,64,0,60,896,93,1213,553853,98995,2075,479765,468480,28370,11748,10831,282,454,121,5487
24,578853,13916,164460,64,0,72,896,54,1394,553892,54055,2406,524744,376,49818,707985,337320,13345,187048,61128,36297
25,578853,9795,108906,64,0,71,896,66,1331,553880,75204,2367,503583,337031,46921,273034,58386,7742,108166,31385,19089
26,578853,2623,32140,64,0,71,896,1385,1187,552561,106807,2133,470661,467061,23189,3988,3216,196,384,114,5250
27,578853,7692,75888,64,0,68,896,96,1321,553850,78885,2169,499872,433298,40293,125129,7307,4239,59267,14863,12935
28,578853,6024,69790,64,0,68,896,100,1285,553846,96877,2258,481876,428228,38454,102893,3832,3556,49816,12715,11454
29,578853,3287,36548,64,0,65,896,132,1194,553814,101508,2109,477213,467603,27235,10240,8980,287,630,167,5491
30,578853,3520,41473,64,0,69,896,275,1207,553671,112175,2165,466403,465370,32086,1202,871,52,162,39,5855
31,578853,3766,40344,64,0,62,896,112,1249,553834,105016,2044,473725,450962,30134,24669,20851,570,1912,482,5803
32,578853,5446,60756,64,0,62,896,80,1298,553866,75394,2176,503379,459844,43607,59456,27458,1687,16077,4042,7884
33,578853,10027,99585,64,0,53,896,110,1314,553836,92617,2266,486126,332635,43442,250274,55290,6947,98201,28006,17557
34,578853,2398,17905,64,174945,36,640,8899,792,382551,20728,1507,374281,373965,10895,425,198,9,118,29,4637
35,578853,1921,8514,64,434139,27,224,21714,216,115261,20288,433,102712,100725,3388,2350,1614,86,373,98,4266
36,578853,2285,27385,64,0,64,896,25804,1138,528142,93668,1985,459381,459076,18883,424,183,41,122,30,5244
37,578853,12627,146148,64,0,60,896,67,1356,553879,57277,2403,521509,12840,49444,676492,337809,12181,170860,53638,27066
38,578853,7677,78307,64,0,63,896,69,1255,553877,75949,2351,502835,431147,40666,133575,8968,4647,62720,16523,12802
39,578853,2006,18301,64,148598,46,688,19819,818,397972,19066,1498,391370,391213,11260,213,93,14,64,20,4645
40,578853,2981,36903,64,0,67,896,116,1161,553830,102079,2090,476658,468624,27705,8256,7823,249,211,62,5569
41,578853,3439,44417,64,0,62,896,82,1256,553864,83366,2014,495405,471472,34029,25228,22627,638,1306,398,6020
42,578853,8944,134683,64,0,58,896,67,1305,553879,50951,2408,527835,247608,49462,422708,135175,10709,145052,46406,24335
43,578853,4820,52799,64,0,62,896,82,1241,553864,80738,2276,498033,457420,35281,57356,23692,1702,16921,4417,7820
44,578853,3815,28341,64,131948,42,720,11692,926,422764,19309,1541,415904,394652,18482,27132,15281,516,5971,1476,5358
45,578853,14776,196003,64,0,72,896,9,1404,553937,28300,2641,550544,0,50410,791262,305032,16696,245512,83648,41132
46,578853,8563,119015,64,0,77,896,78,1338,553868,62419,2511,516356,263161,47412,378917,125385,9267,127810,36944,21466
47,578853,11641,137956,64,0,77,896,52,1388,553894,48139,2454,530662,184413,49195,498732,191060,11028,155189,48761,25053
48,578853,9736,139660,64,0,66,896,84,1375,553862,57404,2452,521365,63596,48281,619041,293598,11549,164171,49515,26422
49,578853,12583,184315,64,0,65,896,0,1400,553946,34898,2712,543955,0,50664,775197,308125,16553,235830,77838,35083
50,578853,12060,187760,64,0,78,896,31,1395,553915,31760,2653,547062,144,50552,779104,310223,16341,236695,81366,35375
51,578853,11063,169705,64,0,70,896,24,1373,553922,45499,2601,533330,70,50242,733384,329339,14363,203921,69615,31441
52,578853,10190,163183,64,0,71,896,58,1385,553888,35441,2652,543354,47657,50699,693770,293911,14071,201786,62933,31372
53,578853,9412,167966,64,0,71,896,54,1357,553892,36868,2657,541931,58933,51018,685201,277012,14508,205986,66189,32166
54,578853,10086,157858,64,0,69,896,60,1388,553886,42967,2594,535826,109851,49883,611716,236809,13413,189166,60107,30404
55,578853,6583,56509,64,86974,57,784,10075,1082,464636,26037,1809,455767,368111,28849,133046,41676,3061,45980,11406,10245
56,578853,7641,97542,64,72356,52,800,51,1159,489278,13947,1987,492499,309024,38500,288764,76538,7307,106937,30519,18018
57,578853,12107,189547,64,0,61,896,21,1316,553925,25095,2586,553737,61,50530,791537,311033,16495,242643,81605,36954
58,578853,6151,54051,64,144713,54,672,5269,883,411718,10601,1636,418270,313980,25087,152321,55559,3220,48731,13125,10046
59,578853,2978,12978,64,368029,25,336,11639,389,191431,15232,671,183953,181368,7446,3164,2009,87,576,132,4228
60,578853,3957,20820,64,260187,38,480,10699,596,295509,14890,1065,293077,276636,12912,19981,12838,322,3603,868,5019
61,578853,3391,44372,64,51071,62,832,34900,1091,467975,36869,1807,456013,414069,27293,63283,20354,1659,21590,4828,7632
62,578853,11303,176102,64,0,59,896,59,1389,553887,36234,2457,542560,1159,49927,757215,321421,14974,219980,74250,33046
63,578853,5425,19628,64,388113,30,304,8883,341,174103,14238,642,167619,121922,8235,60785,30429,905,15268,4025,5450
64,578853,9090,128721,64,0,63,896,66,1336,553880,49767,2553,529020,302991,49047,362814,86896,9877,139133,42120,23725
65,578853,6025,26008,64,361783,31,352,7570,413,201746,12266,755,197234,140995,11095,76651,35565,1390,20674,5572,6752
66,578853,10950,169800,64,0,70,896,59,1374,553887,40022,2508,538772,1790,49987,748036,321838,14890,215144,68363,32608
67,578853,7016,89942,64,72355,61,800,52,1138,489293,19355,2077,487091,323882,37634,252372,72705,6121,90504,26491,16420
68,578853,1789,6057,64,551204,9,32,1796,34,25853,10551,95,15302,14940,561,477,246,15,116,33,5310
69,578853,8928,160390,64,0,68,896,82,1386,553864,44380,2570,534391,52334,47960,677547,282915,13753,199142,63687,30966
70,578853,5531,72183,64,72356,52,800,13519,1263,475810,10289,1900,482689,358908,32341,190795,55838,4559,67943,19078,12990
71,578853,2440,7007,64,522293,17,80,5074,71,51486,7059,170,44427,42999,1437,1747,1101,30,327,80,5202
72,578853,3152,34965,64,0,59,896,125,1308,553821,107839,2217,470889,469994,25941,981,819,79,76,23,5338
73,578853,1486,13149,64,123355,42,720,55536,766,382809,33221,1336,366741,366665,6540,140,21,11,55,21,4433
74,578853,2496,30951,64,0,65,896,112,1157,553834,98915,1991,479826,479083,22150,911,585,98,158,59,5431
75,578853,1752,17883,64,12706,56,880,67811,1075,473429,60692,1769,437644,437589,9976,83,21,8,34,9,4990
76,578853,2874,29234,64,0,60,896,6603,1129,547343,106834,1961,465416,464971,20668,611,290,66,155,55,5295
77,578853,2000,24945,64,0,62,896,10782,1104,543164,101814,2034,466257,465819,16403,573,311,25,127,39,5278
78,578853,2137,24068,64,12706,62,880,24480,1125,516760,87462,1933,454205,454147,15670,90,28,13,30,3,5262
79,578853,1883,20473,64,0,66,896,55903,1051,498043,79648,1862,443302,443250,12521,80,23,4,29,7,4962
80,578853,1264,8912,64,168482,38,640,114172,559,283756,10627,1014,285572,285559,3372,23,0,3,13,2,3924
81,578853,1652,16491,64,87172,51,784,18057,924,456471,48908,1624,424716,424662,9390,95,24,3,30,7,4492
82,578853,1575,17121,64,72355,38,800,18317,932,471028,63876,1699,424305,424282,9528,50,6,1,17,5,4918
83,578853,1902,21467,64,72355,48,800,2028,1025,487317,63703,1720,440767,440704,13874,88,49,4,14,4,4792
84,578853,1747,19110,64,38141,57,848,26293,993,489512,73307,1867,441112,441030,11155,125,34,12,48,17,5009
85,578853,1367,10170,64,125482,49,720,106380,667,332193,14101,1186,332890,332870,4069,32,2,4,18,6,4189
