query,elapsed_ms,total_records,node_pruned,cluster_pruned,local_vq_pruned,record_pruned,exact_evaluated,node_mbr_us,cluster_bound_us,local_vq_us,record_bound_us,exact_distance_us,other_us
0,333.197000,37345260,27480791,7420956,0,2290460,153053,4623,9080,0,249055,46603,23836
1,201.946000,37345260,28596666,6709524,0,1949330,89740,3443,7073,0,149166,28189,14075
2,11.063000,37345260,36618477,565604,0,155899,5280,228,435,0,8521,1044,835
3,10.855000,37345260,36589725,572469,0,177642,5424,218,423,0,8532,870,812
4,179.436000,37345260,28903011,6491047,0,1905833,45369,3341,6434,0,147628,13623,8410
5,57.485000,37345260,35007079,1716145,0,581031,41005,910,1427,0,41056,8395,5697
6,22.618000,37345260,36032287,1000166,0,302897,9910,425,800,0,17787,2118,1488
7,23.769000,37345260,36460813,619064,0,245513,19870,313,533,0,16348,3923,2652
8,204.919000,37345260,28595033,6780574,0,1962613,7040,3460,6783,0,189369,2145,3162
9,59.535000,37345260,34976973,1727131,0,616864,24292,982,1524,0,47758,5140,4131
10,45.294000,37345260,35222940,1606737,0,491171,24412,704,1321,0,34378,5437,3454
11,170.117000,37345260,29103298,6355006,0,1811131,75825,3122,6356,0,128706,19737,12196
12,271.168000,37345260,27482402,7496709,0,2303650,62499,4217,8314,0,229098,18595,10944
13,41.630000,37345260,34946585,1753757,0,632991,11927,670,1083,0,35755,2373,1749
14,262.232000,37345260,27341181,7592555,0,2314027,97497,3272,6404,0,214740,25855,11961
15,5.207000,37345260,37117331,145416,0,81378,1135,66,110,0,4552,224,255
16,6.069000,37345260,36979862,286169,0,75678,3551,97,183,0,4741,618,430
17,240.172000,37345260,27634922,7458397,0,2168221,83720,3042,5769,0,199200,21677,10484
18,227.837000,37345260,27536240,7475444,0,2284545,49031,3114,5987,0,198846,12573,7317
19,195.314000,37345260,27534226,7467700,0,2232684,110650,3037,5400,0,144896,29155,12826
20,133.590000,37345260,29320972,6174443,0,1791600,58245,2231,4257,0,105490,14077,7535
21,220.938000,37345260,27954567,7180767,0,2159754,50172,2965,5715,0,192176,12965,7117
22,153.855000,37345260,28472998,6815654,0,2006787,49821,2563,5170,0,126242,12819,7061
23,175.159000,37345260,28570067,6707512,0,1973063,94618,2588,5130,0,131338,25055,11048
24,185.836000,37345260,28593109,6747716,0,1973157,31278,2563,4872,0,165658,7646,5097
25,217.291000,37345260,27982306,7184529,0,2089512,88913,2788,5731,0,175343,23136,10293
26,8.455000,37345260,36600148,592438,0,149716,2958,153,311,0,7034,523,434
27,248.539000,37345260,27207932,7687130,0,2354343,95855,3323,6451,0,207516,19607,11642
28,12.001000,37345260,36691206,476953,0,172258,4843,170,322,0,9877,965,667
29,99.246000,37345260,29775680,5894745,0,1668606,6229,2033,3928,0,89646,1607,2032
30,52.555000,37345260,33428334,3167358,0,724570,24998,1143,1852,0,41473,4786,3301
31,10.229000,37345260,36823059,360090,0,158256,3855,127,233,0,8637,739,493
32,14.269000,37345260,36481762,653493,0,201955,8050,231,364,0,11443,1335,896
33,27.504000,37345260,36426537,615172,0,275355,28196,333,412,0,18898,4821,3040
34,22.596000,37345260,35695656,1255738,0,385761,8105,362,719,0,19062,1465,988
35,190.520000,37345260,28712176,6646956,0,1871943,114185,2551,5074,0,140249,30165,12481
36,13.603000,37345260,36497544,658704,0,181795,7217,238,383,0,10698,1415,869
37,100.272000,37345260,30213248,5568424,0,1538458,25130,1934,3666,0,84749,5788,4135
38,77.866000,37345260,31236807,4770277,0,1329975,8201,1518,2821,0,69628,1968,1931
39,56.221000,37345260,34507451,2131408,0,668147,38254,724,1446,0,42966,6714,4371
