query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
0,37345260,20605,1191498,5660,18445520,11052,31200,3950233,84479,11657105,2945586,112203,12003921,12003769,747301,297,0,91,152,131,236241
1,37345260,11768,673798,5644,23438396,7385,24304,1991533,42003,9392894,1681357,57228,10233974,10233795,402439,370,0,94,179,119,164530
2,37345260,1769,14452,288,37124193,113,288,38756,315,182311,95829,820,86482,86461,3723,52,0,2,21,5,9474
3,37345260,1434,12722,328,37129863,62,320,13871,299,181701,88419,648,113107,113096,3764,25,0,0,11,7,7942
4,37345260,8594,486243,4704,21854084,3581,26016,3150488,27817,9640367,1864965,38531,10475723,10475643,315432,156,0,46,80,59,100777
5,37345260,1939,40969,800,36094666,281,1888,180945,1423,915280,421034,2923,648615,648598,24468,34,0,4,17,7,11863
6,37345260,1645,23808,464,36512558,132,1136,233389,715,536348,270387,1663,328926,328897,12352,56,0,4,29,6,8936
7,37345260,1349,11788,424,37001621,98,608,83783,366,222785,108345,724,151511,151484,4279,54,0,3,27,10,6308
8,37345260,4574,201609,3592,31609233,1679,9680,193403,7764,4716193,1179788,13080,4362836,4362663,116066,341,0,52,173,111,62857
9,37345260,2742,69607,720,35494530,293,2560,119119,1755,1449309,702561,3979,1029050,1029026,45715,54,0,1,24,8,17856
10,37345260,1820,41214,680,36106797,198,2016,168447,1254,881801,417115,2661,652901,652892,24858,21,0,4,9,12,12227
11,37345260,7146,388037,5256,25303919,2756,20880,1016885,17608,8834974,1574522,25828,9449934,9449732,249032,413,0,80,202,898,91835
12,37345260,7619,412247,4520,23722713,2379,23568,1277490,19644,9810240,2100120,28814,10244937,10244827,272968,223,0,41,110,60,88341
13,37345260,1852,43009,656,35719087,268,2752,242990,1990,1174263,542993,3552,840190,840183,23280,13,0,2,7,6,13911
14,37345260,6802,380270,4948,24336370,2626,22384,1462214,18392,9128259,1863874,26922,9682802,9682707,247519,201,0,49,95,57,84705
15,37345260,1291,8573,312,37151504,81,304,79992,167,106065,67234,341,46530,46520,1661,22,0,2,10,6,6315
16,37345260,1264,7918,320,37236874,56,160,37229,53,69001,48233,157,22924,22897,887,54,0,3,27,10,6752
17,37345260,7627,424923,4508,20725635,2412,25968,2581813,19591,11143457,4027755,31515,10010057,10009953,277038,226,0,51,104,690,93626
18,37345260,6653,348463,5740,25816248,3227,19744,1487937,15945,8131053,1637857,23745,8403218,8402913,204992,607,0,99,305,782,99673
19,37345260,5712,291252,3448,24750500,1869,19856,2490758,13885,8118025,3466143,23474,6637859,6637774,182018,169,0,39,85,59,69908
20,37345260,2455,81064,1208,34693124,512,4208,337617,3515,1695794,646717,4996,1667802,1667773,51102,57,0,9,29,21,20909
21,37345260,6213,314720,3944,26724971,1917,18784,1114321,16637,7814057,1318201,22626,8187767,8187692,195349,164,0,33,75,595,77563
22,37345260,6839,372945,5060,25254134,2833,20896,1331280,16837,8476540,1219618,24648,9540228,9540011,233703,448,0,84,217,143,94697
23,37345260,7557,417266,5104,21969035,2681,26384,2780020,21033,10068064,2116402,29993,10479803,10479698,267221,224,0,56,105,75,96207
24,37345260,4249,191611,4168,30413281,2299,12272,1898975,8874,3896777,602063,11823,4430941,4430789,101474,302,0,67,152,108,66966
25,37345260,7507,396370,4772,23106420,2418,24480,1885619,19886,9871399,1816420,28826,10536801,10536519,256260,570,0,93,282,166,88721
26,37345260,1458,10149,320,37105479,84,352,60109,196,179672,111743,439,67929,67916,2950,24,0,1,13,5,6474
27,37345260,8298,453861,4460,21356885,2257,27152,3422838,20691,9904636,1688204,29505,10877333,10877250,311475,175,0,36,83,1339,88558
28,37345260,1819,43015,544,36052828,187,1760,99436,1225,1004439,473785,2754,719211,719191,26417,54,0,8,20,18,12406
29,37345260,6214,342574,5536,26051280,3011,19792,1478919,15069,7648599,1154518,22470,8660543,8660250,203463,594,0,119,293,1406,97036
30,37345260,2943,88197,848,34552558,359,4160,332188,3196,1946409,998467,5577,1462047,1462020,58533,50,0,8,27,14,20510
31,37345260,1325,12107,368,36993050,83,560,92434,341,246805,111455,704,148321,148304,4122,31,0,2,17,7,6848
32,37345260,1346,13460,416,36981310,86,592,108795,339,213983,132336,620,122819,122800,4274,37,0,2,19,8,8131
33,37345260,1445,11243,456,37166872,102,320,22957,184,136548,51216,399,104215,104203,2569,38,0,1,12,3,7985
34,37345260,1207,9008,480,37119050,83,384,77007,190,125110,52543,383,96660,96634,2344,65,0,4,26,9,5995
35,37345260,7493,427880,5076,21858951,2532,25472,1149712,21399,11751833,3877519,33179,10459078,10458886,272964,400,0,93,192,135,97578
36,37345260,2305,61144,680,35426556,291,2624,220741,1866,1411729,662794,3866,1035169,1035144,40477,46,0,5,25,22,14617
37,37345260,7016,384426,5364,25410125,2905,20624,863390,17441,8830764,1587219,25589,9484526,9484262,238134,521,0,109,264,1344,98904
38,37345260,3282,132789,2808,31948737,1340,8768,1548817,5539,2916391,412072,8301,3435634,3435585,72155,110,0,26,49,30,45398
39,37345260,1421,11692,616,36945284,148,592,145991,403,214946,66804,667,187181,187150,3965,62,0,2,31,10,6497
40,37345260,4329,218160,3712,28642657,1826,15184,2288073,9964,5061212,624562,14595,5789968,5789841,123859,248,0,50,127,75,67791
41,37345260,9624,541060,5556,18362296,2788,31024,2457087,25102,13190554,3476630,38016,13049247,13048909,370429,655,0,98,338,831,103796
42,37345260,1615,10730,328,37031642,78,320,92949,178,189269,102746,467,117923,117908,3197,30,0,2,15,5,6803
43,37345260,5371,283992,4256,25729954,2265,18464,3056291,12947,6580938,1736327,19562,6822688,6822609,168754,158,0,36,79,53,80375
44,37345260,4491,210711,3152,29255461,1531,13920,1683508,10282,5321972,718151,15567,5688140,5688081,129885,130,0,26,59,600,52820
45,37345260,8679,477883,4876,18932210,2720,29872,3374250,23064,11951720,3435080,34408,11603720,11603610,322334,233,0,51,110,74,95232
46,37345260,2165,43620,448,36255389,171,1504,69892,1145,841197,315687,2341,704292,704279,25232,23,0,5,13,9,14717
47,37345260,1574,18522,432,36721002,120,736,170784,418,426097,236661,1052,216813,216801,8809,25,0,3,12,4,8116
48,37345260,1394,13228,352,36957985,60,544,57730,331,311589,123989,753,205556,205531,5599,65,0,1,25,9,6475
