Method,Dataset,Pruning Power
isax,ArrowHead,0.8568253968253968
isax,Beef,0.9055555555555556
isax,BeetleFly,0.6625
isax,BirdChicken,0.8925
isax,BME,0.8982222222222223
isax,Car,0.9230555555555555
isax,CBF,0.6872592592592592
isax,Chinatown,0.8743440233236152
isax,ChlorineConcentration,0.9146318477872948
isax,CinCECGTorso,0.6921195652173913
isax,Coffee,0.6186224489795918
isax,Computers,0.699568
isax,CricketX,0.8404339250493097
isax,CricketY,0.8919921104536489
isax,CricketZ,0.8394280078895463
isax,Crop,0.9920885003306879
isax,DiatomSizeReduction,0.8086192810457516
isax,DistalPhalanxOutlineAgeGroup,0.9187589928057553
isax,DistalPhalanxOutlineCorrect,0.9415519323671497
isax,DistalPhalanxTW,0.9156834532374101
isax,DodgerLoopDay,0.3142628205128205
isax,DodgerLoopGame,0.23695652173913043
isax,DodgerLoopWeekend,0.32463768115942027
isax,Earthquakes,0.0
isax,ECG200,0.883
isax,ECG5000,0.9311746666666667
isax,ECGFiveDays,0.6061707822047164
isax,EOGHorizontalSignal,0.9656909129757943
isax,EOGVerticalSignal,0.9464836238210067
isax,EthanolLevel,0.8581507936507936
isax,FaceAll,0.4925803043110735
isax,FaceFour,0.19460227272727273
isax,FacesUCR,0.4839439024390244
isax,FiftyWords,0.9777582417582418
isax,Fish,0.9186285714285715
isax,FordA,0.0
isax,FordB,0.0
isax,FreezerRegularTrain,0.9380304093567251
isax,FreezerSmallTrain,0.8718421052631579
isax,Fungi,0.9080047789725209
isax,GestureMidAirD1,0.9809171597633136
isax,GestureMidAirD2,0.9613165680473372
isax,GestureMidAirD3,0.9832470414201183
isax,GesturePebbleZ1,0.5433403805496829
isax,GesturePebbleZ2,0.5374978324952315
isax,GunPoint,0.9513333333333334
isax,GunPointAgeSpan,0.9812939521800281
isax,GunPointMaleVersusFemale,0.9806844819503048
isax,GunPointOldVersusYoung,0.9802054154995331
isax,Ham,0.3411970292704238
isax,HandOutlines,0.9720351351351352
isax,Haptics,0.9026392961876832
isax,Herring,0.820556640625
isax,HouseTwenty,0.30399159663865544
isax,InlineSkate,0.9761818181818182
isax,InsectEPGRegularTrain,0.9117761368052857
isax,InsectEPGSmallTrain,0.8367587999055044
isax,InsectWingbeatSound,0.940016069788797
isax,ItalyPowerDemand,0.9444613666362067
isax,LargeKitchenAppliances,0.31401955555555555
isax,Lightning2,0.503551912568306
isax,Lightning7,0.589041095890411
isax,Mallat,0.7903392130257801
isax,Meat,0.5438888888888889
isax,MedicalImages,0.9507735875120873
isax,MiddlePhalanxOutlineAgeGroup,0.9237012987012987
isax,MiddlePhalanxOutlineCorrect,0.9377777777777778
isax,MiddlePhalanxTW,0.9072844448784299
isax,MixedShapesRegularTrain,0.9875298969072165
isax,MixedShapesSmallTrain,0.9662020618556701
isax,MoteStrain,0.6317891373801917
isax,NonInvasiveFetalECGThorax1,0.957459711620017
isax,NonInvasiveFetalECGThorax2,0.973626802374894
isax,OliveOil,0.12444444444444444
isax,OSULeaf,0.9450826446280992
isax,PhalangesOutlinesCorrect,0.9678619528619529
isax,Phoneme,0.009035253756062936
isax,PickupGestureWiimoteZ,0.8436
isax,PigAirwayPressure,0.9393028846153846
isax,PigArtPressure,0.26322115384615385
isax,PigCVP,0.479844674556213
isax,PLAID,0.6663857765571195
isax,Plane,0.9518367346938775
isax,PowerCons,0.8494444444444444
isax,ProximalPhalanxOutlineAgeGroup,0.8984878048780488
isax,ProximalPhalanxOutlineCorrect,0.9093356242840779
isax,ProximalPhalanxTW,0.8947804878048781
isax,RefrigerationDevices,0.0078008888888888885
isax,Rock,0.889
isax,ScreenType,0.7694151111111112
isax,SemgHandGenderCh2,0.005472222222222222
isax,SemgHandMovementCh2,0.0072
isax,SemgHandSubjectCh2,0.007160493827160494
isax,ShakeGestureWiimoteZ,0.6248
isax,ShapeletSim,0.0
isax,ShapesAll,0.9879638888888889
isax,SmallKitchenAppliances,0.008945777777777778
isax,SonyAIBORobotSurface1,0.5113976705490848
isax,SonyAIBORobotSurface2,0.5612296451750807
isax,StarLightCurves,0.9767875182127246
isax,Strawberry,0.9691592081477889
isax,SwedishLeaf,0.9317696
isax,Symbols,0.8971658291457286
isax,SyntheticControl,0.6777111111111112
isax,ToeSegmentation1,0.8131578947368421
isax,ToeSegmentation2,0.8754273504273504
isax,Trace,0.9355
isax,TwoLeadECG,0.873878688399435
isax,TwoPatterns,0.94883475
isax,UMD,0.9106867283950617
isax,UWaveGestureLibraryAll,0.955712341469251
isax,UWaveGestureLibraryX,0.9901123923187365
isax,UWaveGestureLibraryY,0.9921725442689638
isax,Wafer,0.9767978585334198
isax,Wine,0.583170890188434
isax,WordSynonyms,0.9653646108508565
isax,Worms,0.7739829231541939
isax,WormsTwoClass,0.7739829231541939
isax,Yoga,0.9869155555555555
sfa_equi-width_True,ArrowHead,0.8342857142857143
sfa_equi-width_True,Beef,0.9666666666666667
sfa_equi-width_True,BeetleFly,0.9
sfa_equi-width_True,BirdChicken,0.95
sfa_equi-width_True,BME,0.92
sfa_equi-width_True,Car,0.9333333333333333
sfa_equi-width_True,CBF,0.5844444444444444
sfa_equi-width_True,Chinatown,0.9825072886297376
sfa_equi-width_True,ChlorineConcentration,0.94453125
sfa_equi-width_True,CinCECGTorso,0.6246376811594203
sfa_equi-width_True,Coffee,0.8214285714285714
sfa_equi-width_True,Computers,0.84
sfa_equi-width_True,CricketX,0.9256410256410257
sfa_equi-width_True,CricketY,0.9205128205128205
sfa_equi-width_True,CricketZ,0.9512820512820512
sfa_equi-width_True,Crop,0.9979166666666667
sfa_equi-width_True,DiatomSizeReduction,0.9607843137254902
sfa_equi-width_True,DistalPhalanxOutlineAgeGroup,0.9784172661870504
sfa_equi-width_True,DistalPhalanxOutlineCorrect,0.9710144927536232
sfa_equi-width_True,DistalPhalanxTW,0.9856115107913669
sfa_equi-width_True,DodgerLoopDay,0.7
sfa_equi-width_True,DodgerLoopGame,0.1956521739130435
sfa_equi-width_True,DodgerLoopWeekend,0.18115942028985507
sfa_equi-width_True,Earthquakes,0.0
sfa_equi-width_True,ECG200,0.96
sfa_equi-width_True,ECG5000,0.9253333333333333
sfa_equi-width_True,ECGFiveDays,0.794425087108014
sfa_equi-width_True,EOGHorizontalSignal,0.9834254143646409
sfa_equi-width_True,EOGVerticalSignal,0.9806629834254144
sfa_equi-width_True,EthanolLevel,0.99
sfa_equi-width_True,FaceAll,0.8355029585798817
sfa_equi-width_True,FaceFour,0.45454545454545453
sfa_equi-width_True,FacesUCR,0.8404878048780487
sfa_equi-width_True,FiftyWords,0.9824175824175824
sfa_equi-width_True,Fish,0.92
sfa_equi-width_True,FordA,0.6893939393939394
sfa_equi-width_True,FordB,0.6333333333333333
sfa_equi-width_True,FreezerRegularTrain,0.9621052631578947
sfa_equi-width_True,FreezerSmallTrain,0.8701754385964913
sfa_equi-width_True,Fungi,0.9623655913978495
sfa_equi-width_True,GestureMidAirD1,1.0
sfa_equi-width_True,GestureMidAirD2,0.9615384615384616
sfa_equi-width_True,GestureMidAirD3,0.9923076923076923
sfa_equi-width_True,GesturePebbleZ1,0.7267441860465116
sfa_equi-width_True,GesturePebbleZ2,0.7278481012658228
sfa_equi-width_True,GunPoint,0.9933333333333333
sfa_equi-width_True,GunPointAgeSpan,0.9810126582278481
sfa_equi-width_True,GunPointMaleVersusFemale,0.9841772151898734
sfa_equi-width_True,GunPointOldVersusYoung,0.9968253968253968
sfa_equi-width_True,Ham,0.9809523809523809
sfa_equi-width_True,HandOutlines,1.0
sfa_equi-width_True,Haptics,0.922077922077922
sfa_equi-width_True,Herring,0.90625
sfa_equi-width_True,HouseTwenty,0.17647058823529413
sfa_equi-width_True,InlineSkate,0.9945454545454545
sfa_equi-width_True,InsectEPGRegularTrain,0.9236947791164659
sfa_equi-width_True,InsectEPGSmallTrain,0.7630522088353414
sfa_equi-width_True,InsectWingbeatSound,0.9666666666666667
sfa_equi-width_True,ItalyPowerDemand,0.967930029154519
sfa_equi-width_True,LargeKitchenAppliances,0.25866666666666666
sfa_equi-width_True,Lightning2,0.4262295081967213
sfa_equi-width_True,Lightning7,0.6027397260273972
sfa_equi-width_True,Mallat,0.8383795309168444
sfa_equi-width_True,Meat,0.9666666666666667
sfa_equi-width_True,MedicalImages,0.9960526315789474
sfa_equi-width_True,MiddlePhalanxOutlineAgeGroup,0.8896103896103896
sfa_equi-width_True,MiddlePhalanxOutlineCorrect,0.9347079037800687
sfa_equi-width_True,MiddlePhalanxTW,0.987012987012987
sfa_equi-width_True,MixedShapesRegularTrain,0.9942268041237113
sfa_equi-width_True,MixedShapesSmallTrain,0.9896907216494846
sfa_equi-width_True,MoteStrain,0.7931309904153354
sfa_equi-width_True,NonInvasiveFetalECGThorax1,0.9811704834605598
sfa_equi-width_True,NonInvasiveFetalECGThorax2,0.9923664122137404
sfa_equi-width_True,OliveOil,0.9666666666666667
sfa_equi-width_True,OSULeaf,0.9958677685950413
sfa_equi-width_True,PhalangesOutlinesCorrect,0.9906759906759907
sfa_equi-width_True,Phoneme,0.008438818565400843
sfa_equi-width_True,PickupGestureWiimoteZ,1.0
sfa_equi-width_True,PigAirwayPressure,0.9423076923076923
sfa_equi-width_True,PigArtPressure,0.8701923076923077
sfa_equi-width_True,PigCVP,0.7115384615384616
sfa_equi-width_True,PLAID,0.7877094972067039
sfa_equi-width_True,Plane,1.0
sfa_equi-width_True,PowerCons,0.9055555555555556
sfa_equi-width_True,ProximalPhalanxOutlineAgeGroup,0.9902439024390244
sfa_equi-width_True,ProximalPhalanxOutlineCorrect,0.993127147766323
sfa_equi-width_True,ProximalPhalanxTW,1.0
sfa_equi-width_True,RefrigerationDevices,0.14666666666666667
sfa_equi-width_True,Rock,0.8
sfa_equi-width_True,ScreenType,0.7866666666666666
sfa_equi-width_True,SemgHandGenderCh2,0.008333333333333333
sfa_equi-width_True,SemgHandMovementCh2,0.011111111111111112
sfa_equi-width_True,SemgHandSubjectCh2,0.011111111111111112
sfa_equi-width_True,ShakeGestureWiimoteZ,0.86
sfa_equi-width_True,ShapeletSim,0.0
sfa_equi-width_True,ShapesAll,0.995
sfa_equi-width_True,SmallKitchenAppliances,0.008
sfa_equi-width_True,SonyAIBORobotSurface1,0.46921797004991683
sfa_equi-width_True,SonyAIBORobotSurface2,0.6768100734522561
sfa_equi-width_True,StarLightCurves,0.9928363283147159
sfa_equi-width_True,Strawberry,1.0
sfa_equi-width_True,SwedishLeaf,0.968
sfa_equi-width_True,Symbols,0.9336683417085427
sfa_equi-width_True,SyntheticControl,0.8266666666666667
sfa_equi-width_True,ToeSegmentation1,0.8728070175438597
sfa_equi-width_True,ToeSegmentation2,0.9076923076923077
sfa_equi-width_True,Trace,0.94
sfa_equi-width_True,TwoLeadECG,0.9850746268656716
sfa_equi-width_True,TwoPatterns,0.98575
sfa_equi-width_True,UMD,0.9513888888888888
sfa_equi-width_True,UWaveGestureLibraryAll,0.9765494137353434
sfa_equi-width_True,UWaveGestureLibraryX,0.9980457844779452
sfa_equi-width_True,UWaveGestureLibraryY,0.9974874371859297
sfa_equi-width_True,Wafer,0.9875081116158339
sfa_equi-width_True,Wine,1.0
sfa_equi-width_True,WordSynonyms,0.987460815047022
sfa_equi-width_True,Worms,0.8311688311688312
sfa_equi-width_True,WormsTwoClass,0.8311688311688312
sfa_equi-width_True,Yoga,0.995
sfa_equi-width_False,ArrowHead,0.9314285714285714
sfa_equi-width_False,Beef,0.9
sfa_equi-width_False,BeetleFly,0.7
sfa_equi-width_False,BirdChicken,0.95
sfa_equi-width_False,BME,0.96
sfa_equi-width_False,Car,1.0
sfa_equi-width_False,CBF,0.6855555555555556
sfa_equi-width_False,Chinatown,0.9591836734693877
