Method,Dataset,Pruning_Power
isax,ASTRO,0.7976234778
sfa_equi-width_True,ASTRO,0.8516869998000001
sfa_equi-width_False,ASTRO,0.8535420388
sfa_equi-depth_True,ASTRO,0.8708299389
sfa_equi-depth_False,ASTRO,0.8728324771
isax,BIGANN,0.0943326456
sfa_equi-width_True,BIGANN,0.7413192464
sfa_equi-width_False,BIGANN,0.4027782889
sfa_equi-depth_True,BIGANN,0.7592636871
sfa_equi-depth_False,BIGANN,0.4210963056
isax,SALD,0.5240261392000001
sfa_equi-width_True,SALD,0.5410983193000001
sfa_equi-width_False,SALD,0.5413618152
sfa_equi-depth_True,SALD,0.5365657353000001
sfa_equi-depth_False,SALD,0.5368015496
isax,SIFT1B,0.16582425010000001
sfa_equi-width_True,SIFT1B,0.9661799208
sfa_equi-width_False,SIFT1B,0.2841806588
sfa_equi-depth_True,SIFT1B,0.9698929628
sfa_equi-depth_False,SIFT1B,0.2960749613
isax,DEEP1B,0.7992271470000001
sfa_equi-width_True,DEEP1B,0.8943642108000001
sfa_equi-width_False,DEEP1B,0.8186729739
sfa_equi-depth_True,DEEP1B,0.9032200930000001
sfa_equi-depth_False,DEEP1B,0.8272229864
isax,SCEDC,0.9732285197
sfa_equi-width_True,SCEDC,0.9994633999
sfa_equi-width_False,SCEDC,0.9212651408
sfa_equi-depth_True,SCEDC,0.9996861955
sfa_equi-depth_False,SCEDC,0.9478780188
isax,ETHZ,0.7025375365104966
sfa_equi-width_True,ETHZ,0.6990860695705462
sfa_equi-width_False,ETHZ,0.6976605341832649
sfa_equi-depth_True,ETHZ,0.6982295539219334
sfa_equi-depth_False,ETHZ,0.6958538356121644
isax,ISC_EHB_DepthPhases,0.9954343277000001
sfa_equi-width_True,ISC_EHB_DepthPhases,0.9958272917000001
sfa_equi-width_False,ISC_EHB_DepthPhases,0.9938955232000001
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.9974816977000001
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.9955357311
isax,LenDB,0.744053341709229
sfa_equi-width_True,LenDB,0.7503157471657715
sfa_equi-width_False,LenDB,0.7403314685719152
sfa_equi-depth_True,LenDB,0.5272862290957407
sfa_equi-depth_False,LenDB,0.5272862290957407
isax,Iquique,0.43493703928285765
sfa_equi-width_True,Iquique,0.45460039077278686
sfa_equi-width_False,Iquique,0.45325267382219664
sfa_equi-depth_True,Iquique,0.4411019723487655
sfa_equi-depth_False,Iquique,0.4403689537758291
isax,NEIC,0.899643931644785
sfa_equi-width_True,NEIC,0.9034286575278024
sfa_equi-width_False,NEIC,0.9035216700520632
sfa_equi-depth_True,NEIC,0.9013388569499041
sfa_equi-depth_False,NEIC,0.9016323707047752
isax,OBS,0.8537243463289279
sfa_equi-width_True,OBS,0.8626144889151277
sfa_equi-width_False,OBS,0.8539239679113669
sfa_equi-depth_True,OBS,0.8569588189771558
sfa_equi-depth_False,OBS,0.8479225837934271
isax,OBST2024,0.03958823503961026
sfa_equi-width_True,OBST2024,0.1690792147462939
sfa_equi-width_False,OBST2024,0.0734046192978079
sfa_equi-depth_True,OBST2024,0.11941414604669007
sfa_equi-depth_False,OBST2024,0.03136136794441536
isax,PNW,0.4677477545250464
sfa_equi-width_True,PNW,0.48836227329431103
sfa_equi-width_False,PNW,0.4816430279982663
sfa_equi-depth_True,PNW,0.46533980769518185
sfa_equi-depth_False,PNW,0.4551985706927287
isax,Meier2019JGR,0.7359568314859577
sfa_equi-width_True,Meier2019JGR,0.8219862879554505
sfa_equi-width_False,Meier2019JGR,0.8318379603388747
sfa_equi-depth_True,Meier2019JGR,0.41675621715064987
sfa_equi-depth_False,Meier2019JGR,0.4243334279576951
isax,STEAD,0.2635266443315393
sfa_equi-width_True,STEAD,0.29984880976907996
sfa_equi-width_False,STEAD,0.299926347490255
sfa_equi-depth_True,STEAD,0.2557024130052239
sfa_equi-depth_False,STEAD,0.2557812226644823
isax,TXED,0.10961287880797424
sfa_equi-width_True,TXED,0.21062080728745444
sfa_equi-width_False,TXED,0.1472578755878985
sfa_equi-depth_True,TXED,0.20343844344530843
sfa_equi-depth_False,TXED,0.14067995381299284
