Method,Dataset,Pruning_Power
isax,ASTRO,0.8091068927
sfa_equi-width_True,ASTRO,0.8692569414
sfa_equi-width_False,ASTRO,0.8713552476
sfa_equi-depth_True,ASTRO,0.8784690784
sfa_equi-depth_False,ASTRO,0.8803846826
isax,BIGANN,0.0988976168
sfa_equi-width_True,BIGANN,0.7684182878
sfa_equi-width_False,BIGANN,0.4354455015
sfa_equi-depth_True,BIGANN,0.7760121163
sfa_equi-depth_False,BIGANN,0.4426365313
isax,SALD,0.5334144094000001
sfa_equi-width_True,SALD,0.5545447042
sfa_equi-width_False,SALD,0.5548633207
sfa_equi-depth_True,SALD,0.5500297487
sfa_equi-depth_False,SALD,0.5503170173
isax,SIFT1B,0.177376737
sfa_equi-width_True,SIFT1B,0.9722155609
sfa_equi-width_False,SIFT1B,0.30774478780000003
sfa_equi-depth_True,SIFT1B,0.9735788048
sfa_equi-depth_False,SIFT1B,0.3114103951
isax,DEEP1B,0.8143076288000001
sfa_equi-width_True,DEEP1B,0.908715002
sfa_equi-width_False,DEEP1B,0.8371430699
sfa_equi-depth_True,DEEP1B,0.9120716757
sfa_equi-depth_False,DEEP1B,0.8403024147
isax,SCEDC,0.9790557955
sfa_equi-width_True,SCEDC,0.9996760258
sfa_equi-width_False,SCEDC,0.940234989
sfa_equi-depth_True,SCEDC,0.9997445884
sfa_equi-depth_False,SCEDC,0.9524079928
isax,ETHZ,0.708790829555282
sfa_equi-width_True,ETHZ,0.705928704630383
sfa_equi-width_False,ETHZ,0.7034796673234757
sfa_equi-depth_True,ETHZ,0.7045456798212456
sfa_equi-depth_False,ETHZ,0.7017574699015907
isax,ISC_EHB_DepthPhases,0.9963861837
sfa_equi-width_True,ISC_EHB_DepthPhases,0.9971718148000001
sfa_equi-width_False,ISC_EHB_DepthPhases,0.9953205642
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.9978427489
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.9960878997
isax,LenDB,0.7502214283686873
sfa_equi-width_True,LenDB,0.7503254300545773
sfa_equi-width_False,LenDB,0.7503255939307961
sfa_equi-depth_True,LenDB,0.5302868058757658
sfa_equi-depth_False,LenDB,0.5272862290957407
isax,Iquique,0.44924744278771983
sfa_equi-width_True,Iquique,0.473069069349213
sfa_equi-width_False,Iquique,0.47213468704489736
sfa_equi-depth_True,Iquique,0.46186613872606685
sfa_equi-depth_False,Iquique,0.46105641674138337
isax,NEIC,0.9062623857375853
sfa_equi-width_True,NEIC,0.9120636162697634
sfa_equi-width_False,NEIC,0.9122362347436908
sfa_equi-depth_True,NEIC,0.9102461398140465
sfa_equi-depth_False,NEIC,0.9104963123200821
isax,OBS,0.854489682434366
sfa_equi-width_True,OBS,0.8636047077548389
sfa_equi-width_False,OBS,0.8549260103654739
sfa_equi-depth_True,OBS,0.8602399870679822
sfa_equi-depth_False,OBS,0.8515009574567822
isax,OBST2024,0.04407155181158219
sfa_equi-width_True,OBST2024,0.18996591580482688
sfa_equi-width_False,OBST2024,0.08242818642756773
sfa_equi-depth_True,OBST2024,0.15069627665021107
sfa_equi-depth_False,OBST2024,0.048586621208253473
isax,PNW,0.492802695364122
sfa_equi-width_True,PNW,0.516573550267666
sfa_equi-width_False,PNW,0.5080450214968899
sfa_equi-depth_True,PNW,0.4977964651337536
sfa_equi-depth_False,PNW,0.48805323810954937
isax,Meier2019JGR,0.7485126559297881
sfa_equi-width_True,Meier2019JGR,0.8319128299002924
sfa_equi-width_False,Meier2019JGR,0.8319205853255534
sfa_equi-depth_True,Meier2019JGR,0.544766359561886
sfa_equi-depth_False,Meier2019JGR,0.5488959663300743
isax,STEAD,0.2764016095198639
sfa_equi-width_True,STEAD,0.3230720870765582
sfa_equi-width_False,STEAD,0.3229877463704387
sfa_equi-depth_True,STEAD,0.3002976233195046
sfa_equi-depth_False,STEAD,0.3002833485715111
isax,TXED,0.11571270419672004
sfa_equi-width_True,TXED,0.231243934970787
sfa_equi-width_False,TXED,0.16251659805474455
sfa_equi-depth_True,TXED,0.2220573136387258
sfa_equi-depth_False,TXED,0.15461573153652855
