Method,Dataset,Pruning Power
isax,ArrowHead,0.9006349206349207
isax,Beef,0.9366666666666666
isax,BeetleFly,0.6775
isax,BirdChicken,0.9125
isax,BME,0.9086666666666666
isax,Car,0.9438888888888889
isax,CBF,0.7106666666666667
isax,Chinatown,0.9155976676384839
isax,ChlorineConcentration,0.9392671529264811
isax,CinCECGTorso,0.7107065217391304
isax,Coffee,0.7691326530612245
isax,Computers,0.725648
isax,CricketX,0.8544247205785668
isax,CricketY,0.902465483234714
isax,CricketZ,0.8550493096646943
isax,Crop,0.9941592179232804
isax,DiatomSizeReduction,0.8799019607843137
isax,DistalPhalanxOutlineAgeGroup,0.960341726618705
isax,DistalPhalanxOutlineCorrect,0.9689070048309179
isax,DistalPhalanxTW,0.9577877697841727
isax,DodgerLoopDay,0.336698717948718
isax,DodgerLoopGame,0.26123188405797104
isax,DodgerLoopWeekend,0.35108695652173916
isax,Earthquakes,0.0
isax,ECG200,0.9029
isax,ECG5000,0.9490871111111111
isax,ECGFiveDays,0.6568196737868
isax,EOGHorizontalSignal,0.9727801349165166
isax,EOGVerticalSignal,0.9581514605781264
isax,EthanolLevel,0.9320238095238095
isax,FaceAll,0.510829459002536
isax,FaceFour,0.2050189393939394
isax,FacesUCR,0.5024463414634146
isax,FiftyWords,0.9824078144078144
isax,Fish,0.948669387755102
isax,FordA,0.0
isax,FordB,0.0
isax,FreezerRegularTrain,0.9435134502923976
isax,FreezerSmallTrain,0.8780200501253133
isax,Fungi,0.9145758661887694
isax,GestureMidAirD1,0.9851331360946746
isax,GestureMidAirD2,0.9700443786982249
isax,GestureMidAirD3,0.9861316568047337
isax,GesturePebbleZ1,0.5699876673713883
isax,GesturePebbleZ2,0.5681029998265996
isax,GunPoint,0.9624
isax,GunPointAgeSpan,0.9852555086732302
isax,GunPointMaleVersusFemale,0.9852086263478669
isax,GunPointOldVersusYoung,0.9843370681605975
isax,Ham,0.39737876802096983
isax,HandOutlines,0.9896972972972973
isax,Haptics,0.9270632593213238
isax,Herring,0.885986328125
isax,HouseTwenty,0.3296218487394958
isax,InlineSkate,0.9818545454545454
isax,InsectEPGRegularTrain,0.9234356781966576
isax,InsectEPGSmallTrain,0.848334514528703
isax,InsectWingbeatSound,0.9502410468319559
isax,ItalyPowerDemand,0.9616059643473595
isax,LargeKitchenAppliances,0.34850844444444445
isax,Lightning2,0.5409836065573771
isax,Lightning7,0.6183953033268101
isax,Mallat,0.8234696646636945
isax,Meat,0.7705555555555555
isax,MedicalImages,0.9612688216604504
isax,MiddlePhalanxOutlineAgeGroup,0.9646266233766234
isax,MiddlePhalanxOutlineCorrect,0.9737342497136312
isax,MiddlePhalanxTW,0.9577840705660254
isax,MixedShapesRegularTrain,0.9907901030927835
isax,MixedShapesSmallTrain,0.972301030927835
isax,MoteStrain,0.6530351437699681
isax,NonInvasiveFetalECGThorax1,0.973555272830082
isax,NonInvasiveFetalECGThorax2,0.9841283573649986
isax,OliveOil,0.4011111111111111
isax,OSULeaf,0.9544421487603306
isax,PhalangesOutlinesCorrect,0.986977466977467
isax,Phoneme,0.00998905713947711
isax,PickupGestureWiimoteZ,0.8668
isax,PigAirwayPressure,0.9417529585798816
isax,PigArtPressure,0.2849944526627219
isax,PigCVP,0.4969027366863905
isax,PLAID,0.6907295860512053
isax,Plane,0.9622675736961451
isax,PowerCons,0.8679938271604938
isax,ProximalPhalanxOutlineAgeGroup,0.9590609756097561
isax,ProximalPhalanxOutlineCorrect,0.9635452462772051
isax,ProximalPhalanxTW,0.958109756097561
isax,RefrigerationDevices,0.008888888888888889
isax,Rock,0.898
isax,ScreenType,0.7912533333333334
isax,SemgHandGenderCh2,0.006555555555555556
isax,SemgHandMovementCh2,0.008449382716049383
isax,SemgHandSubjectCh2,0.008404938271604939
isax,ShakeGestureWiimoteZ,0.6536
isax,ShapeletSim,0.0
isax,ShapesAll,0.9907805555555556
isax,SmallKitchenAppliances,0.009507555555555556
isax,SonyAIBORobotSurface1,0.5509983361064892
isax,SonyAIBORobotSurface2,0.5866853212078815
isax,StarLightCurves,0.9861881981544439
isax,Strawberry,0.9877474538159693
