Method,Dataset,TLB
isax,ArrowHead,0.3570502455175418
sfa_equi-width_True_True_0.3,ArrowHead,0.7405241233503254
sfa_equi-width_True_True_0.4,ArrowHead,0.7166826225843386
sfa_equi-width_True_True_0.5,ArrowHead,0.7166826225843386
sfa_equi-width_True_True_0.6,ArrowHead,0.7114524524561375
isax,Beef,0.3993432471992499
sfa_equi-width_True_True_0.3,Beef,0.5807666451337167
sfa_equi-width_True_True_0.4,Beef,0.5807666451337167
sfa_equi-width_True_True_0.5,Beef,0.5807666451337167
sfa_equi-width_True_True_0.6,Beef,0.5807666451337167
isax,BeetleFly,0.558825956735533
sfa_equi-width_True_True_0.3,BeetleFly,0.6359836630430421
sfa_equi-width_True_True_0.4,BeetleFly,0.6359836630430421
sfa_equi-width_True_True_0.5,BeetleFly,0.6202083588758913
sfa_equi-width_True_True_0.6,BeetleFly,0.6202083588758913
isax,BirdChicken,0.5954696148309854
sfa_equi-width_True_True_0.3,BirdChicken,0.7992194082445838
sfa_equi-width_True_True_0.4,BirdChicken,0.7854908012512699
sfa_equi-width_True_True_0.5,BirdChicken,0.7854908012512699
sfa_equi-width_True_True_0.6,BirdChicken,0.7790784079587726
isax,BME,0.6601711032990856
sfa_equi-width_True_True_0.3,BME,0.7623579034924527
sfa_equi-width_True_True_0.4,BME,0.7384960035068252
sfa_equi-width_True_True_0.5,BME,0.7384960035068252
sfa_equi-width_True_True_0.6,BME,0.7278382464777813
isax,Car,0.40869760093395635
sfa_equi-width_True_True_0.3,Car,0.7678040690618938
sfa_equi-width_True_True_0.4,Car,0.7160265635310276
sfa_equi-width_True_True_0.5,Car,0.7117564206224783
sfa_equi-width_True_True_0.6,Car,0.7093488821680015
isax,CBF,0.5109899267672544
sfa_equi-width_True_True_0.3,CBF,0.6528183362375599
sfa_equi-width_True_True_0.4,CBF,0.6387895387979966
sfa_equi-width_True_True_0.5,CBF,0.6370870938706207
sfa_equi-width_True_True_0.6,CBF,0.6330806244533123
isax,Chinatown,0.3337105968987202
sfa_equi-width_True_True_0.3,Chinatown,0.766756188204207
sfa_equi-width_True_True_0.4,Chinatown,0.7201653314694332
sfa_equi-width_True_True_0.5,Chinatown,0.7170275961943863
sfa_equi-width_True_True_0.6,Chinatown,0.7170275961943863
isax,ChlorineConcentration,0.1806006325082376
sfa_equi-width_True_True_0.3,ChlorineConcentration,0.44183276250303016
sfa_equi-width_True_True_0.4,ChlorineConcentration,0.4428704137729577
sfa_equi-width_True_True_0.5,ChlorineConcentration,0.43556418524374346
sfa_equi-width_True_True_0.6,ChlorineConcentration,0.4345406181161586
isax,CinCECGTorso,0.39818053430302086
sfa_equi-width_True_True_0.3,CinCECGTorso,0.4832200253303545
sfa_equi-width_True_True_0.4,CinCECGTorso,0.4781868594249797
sfa_equi-width_True_True_0.5,CinCECGTorso,0.47478344992123345
sfa_equi-width_True_True_0.6,CinCECGTorso,0.47478344992123345
isax,Coffee,0.17722182579822973
sfa_equi-width_True_True_0.3,Coffee,0.5876158115392561
sfa_equi-width_True_True_0.4,Coffee,0.5847155751108764
sfa_equi-width_True_True_0.5,Coffee,0.5815598507681949
sfa_equi-width_True_True_0.6,Coffee,0.5744473826096851
isax,Computers,0.46286848072879605
sfa_equi-width_True_True_0.3,Computers,0.5449607676499794
sfa_equi-width_True_True_0.4,Computers,0.5417000194096697
sfa_equi-width_True_True_0.5,Computers,0.5378907550785064
sfa_equi-width_True_True_0.6,Computers,0.5311069925439056
isax,CricketX,0.5357953113874638
sfa_equi-width_True_True_0.3,CricketX,0.6054769785780456
sfa_equi-width_True_True_0.4,CricketX,0.6019680243751744
sfa_equi-width_True_True_0.5,CricketX,0.6019680243751744
sfa_equi-width_True_True_0.6,CricketX,0.6019680243751744
isax,CricketY,0.5450539895159382
sfa_equi-width_True_True_0.3,CricketY,0.632425968294151
sfa_equi-width_True_True_0.4,CricketY,0.6202008099228401
sfa_equi-width_True_True_0.5,CricketY,0.6202008099228401
sfa_equi-width_True_True_0.6,CricketY,0.6109541274613698
isax,CricketZ,0.5318180024694739
sfa_equi-width_True_True_0.3,CricketZ,0.6078144745792806
sfa_equi-width_True_True_0.4,CricketZ,0.6035682830000855
sfa_equi-width_True_True_0.5,CricketZ,0.6035682830000855
sfa_equi-width_True_True_0.6,CricketZ,0.6035682830000855
isax,Crop,0.6230169377568521
