Method,Dataset,TLB
isax,ASTRO,0.3333966943146806
sfa_equi-width_True,ASTRO,0.3535811530428324
sfa_equi-width_False,ASTRO,0.3535811530428324
sfa_equi-depth_True,ASTRO,0.3788860826091694
sfa_equi-depth_False,ASTRO,0.3788860826091694
isax,BIGANN,0.17022382214628726
sfa_equi-width_True,BIGANN,0.4136796530242238
sfa_equi-width_False,BIGANN,0.30758198554850774
sfa_equi-depth_True,BIGANN,0.44141700756394664
sfa_equi-depth_False,BIGANN,0.3386564023452035
isax,SALD,0.6217128573942629
sfa_equi-width_True,SALD,0.624167307913905
sfa_equi-width_False,SALD,0.624819939134837
sfa_equi-depth_True,SALD,0.6402506119033156
sfa_equi-depth_False,SALD,0.6412405130403229
isax,SIFT1B,0.19834144323587463
sfa_equi-width_True,SIFT1B,0.5529426082950308
sfa_equi-width_False,SIFT1B,0.23759893055019224
sfa_equi-depth_True,SIFT1B,0.5796788158699563
sfa_equi-depth_False,SIFT1B,0.26397212203219456
isax,DEPP1B,0.3125539353555826
sfa_equi-width_True,DEPP1B,0.34566628013232925
sfa_equi-width_False,DEPP1B,0.31323388353927223
sfa_equi-depth_True,DEPP1B,0.3643261177478732
sfa_equi-depth_False,DEPP1B,0.332961635817539
isax,SCEDC,0.26510635425273227
sfa_equi-width_True,SCEDC,0.5169652848695783
sfa_equi-width_False,SCEDC,0.2432363261742345
sfa_equi-depth_True,SCEDC,0.5229849692685891
sfa_equi-depth_False,SCEDC,0.23459999578931956
isax,ETHZ,0.6475900854812318
sfa_equi-width_True,ETHZ,0.6235137137051651
sfa_equi-width_False,ETHZ,0.6233580066408522
sfa_equi-depth_True,ETHZ,0.6368173594722616
sfa_equi-depth_False,ETHZ,0.6354123586308772
isax,ISC_EHB_DepthPhases,0.8374596815836454
sfa_equi-width_True,ISC_EHB_DepthPhases,0.8194330115772325
sfa_equi-width_False,ISC_EHB_DepthPhases,0.8175103347090386
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.8396846921363345
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.8361109555426145
isax,LenDB,0.7725432064797407
sfa_equi-width_True,LenDB,0.7361693880093171
sfa_equi-width_False,LenDB,0.7361693880093171
sfa_equi-depth_True,LenDB,0.551740133787458
sfa_equi-depth_False,LenDB,0.551740133787458
isax,Iquique,0.5542045826801975
sfa_equi-width_True,Iquique,0.5398627539210092
sfa_equi-width_False,Iquique,0.5401361315513136
sfa_equi-depth_True,Iquique,0.5407385036880641
sfa_equi-depth_False,Iquique,0.5405557955460661
isax,NEIC,0.6750926555232778
sfa_equi-width_True,NEIC,0.6512579252059397
sfa_equi-width_False,NEIC,0.6507329286619213
sfa_equi-depth_True,NEIC,0.6595856588108495
sfa_equi-depth_False,NEIC,0.6586244204488604
isax,OBS,0.7808658941976852
sfa_equi-width_True,OBS,0.7478029090083541
sfa_equi-width_False,OBS,0.74502388360396
sfa_equi-depth_True,OBS,0.7762580141485771
sfa_equi-depth_False,OBS,0.7730146469406863
isax,OBST2024,0.2600885491631278
sfa_equi-width_True,OBST2024,0.35322880621547365
sfa_equi-width_False,OBST2024,0.22444749490284704
sfa_equi-depth_True,OBST2024,0.36037579103780587
sfa_equi-depth_False,OBST2024,0.21570107174930211
isax,PNW,0.49717401921515947
sfa_equi-width_True,PNW,0.4773487224360088
sfa_equi-width_False,PNW,0.4699457434726043
sfa_equi-depth_True,PNW,0.48641243334163636
sfa_equi-depth_False,PNW,0.4775754854570198
isax,Meier2019JGR,0.7689010647661146
sfa_equi-width_True,Meier2019JGR,0.733410241872328
sfa_equi-width_False,Meier2019JGR,0.7362953257139835
sfa_equi-depth_True,Meier2019JGR,0.5992746272542212
sfa_equi-depth_False,Meier2019JGR,0.6013010449918446
isax,STEAD,0.40651232019581907
sfa_equi-width_True,STEAD,0.38071791051814574
sfa_equi-width_False,STEAD,0.38071791051814574
sfa_equi-depth_True,STEAD,0.39174253774323925
sfa_equi-depth_False,STEAD,0.39174253774323925
isax,TXED,0.31390108423886515
sfa_equi-width_True,TXED,0.3441771841382586
sfa_equi-width_False,TXED,0.2965400523644611
sfa_equi-depth_True,TXED,0.36441890002179483
sfa_equi-depth_False,TXED,0.32788228556643156
