Method,Dataset,TLB
isax,ASTRO,0.3740623937067946
sfa_equi-width_True,ASTRO,0.41423134114930954
sfa_equi-width_False,ASTRO,0.41423134114930954
sfa_equi-depth_True,ASTRO,0.4149988502054628
sfa_equi-depth_False,ASTRO,0.4149988502054628
isax,BIGANN,0.3898507694966593
sfa_equi-width_True,BIGANN,0.5094490256338389
sfa_equi-width_False,BIGANN,0.38181849683005736
sfa_equi-depth_True,BIGANN,0.5098057497764235
sfa_equi-depth_False,BIGANN,0.3834931696335784
isax,SALD,0.6932374098888054
sfa_equi-width_True,SALD,0.7126105449431368
sfa_equi-width_False,SALD,0.7135292084298497
sfa_equi-depth_True,SALD,0.7115473737407237
sfa_equi-depth_False,SALD,0.712516302704209
isax,SIFT1B,0.2390868728841276
sfa_equi-width_True,SIFT1B,0.6321930582055189
sfa_equi-width_False,SIFT1B,0.289598765103076
sfa_equi-depth_True,SIFT1B,0.6332518551833147
sfa_equi-depth_False,SIFT1B,0.29151117596608794
isax,DEPP1B,0.3557620295432104
sfa_equi-width_True,DEPP1B,0.40580863762473196
sfa_equi-width_False,DEPP1B,0.3690382918180665
sfa_equi-depth_True,DEPP1B,0.40613267385141993
sfa_equi-depth_False,DEPP1B,0.3696516628621182
isax,SCEDC,0.3037452470320953
sfa_equi-width_True,SCEDC,0.5693756674076067
sfa_equi-width_False,SCEDC,0.2746968815317485
sfa_equi-depth_True,SCEDC,0.5677040504007917
sfa_equi-depth_False,SCEDC,0.2713004986208165
isax,ETHZ,0.7137471303533006
sfa_equi-width_True,ETHZ,0.7095324091283683
sfa_equi-width_False,ETHZ,0.7086835961967376
sfa_equi-depth_True,ETHZ,0.708121547463943
sfa_equi-depth_False,ETHZ,0.707041359504396
isax,ISC_EHB_DepthPhases,0.9227866654928559
sfa_equi-width_True,ISC_EHB_DepthPhases,0.9242687040013264
sfa_equi-width_False,ISC_EHB_DepthPhases,0.9211072671509998
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.9235840907650471
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.9202541898922894
isax,LenDB,0.8115710637865579
sfa_equi-width_True,LenDB,0.8285169520937333
sfa_equi-width_False,LenDB,0.828546244181585
sfa_equi-depth_True,LenDB,0.8267330255488821
sfa_equi-depth_False,LenDB,0.8266641107695906
isax,Iquique,0.6130235697990667
sfa_equi-width_True,Iquique,0.6282890948481621
sfa_equi-width_False,Iquique,0.6282166103900093
sfa_equi-depth_True,Iquique,0.6232304878217132
sfa_equi-depth_False,Iquique,0.6230814715572311
isax,NEIC,0.7366976365316813
sfa_equi-width_True,NEIC,0.744158944889716
sfa_equi-width_False,NEIC,0.7432795398102573
sfa_equi-depth_True,NEIC,0.7402059421326216
sfa_equi-depth_False,NEIC,0.7392862498013009
isax,OBS,0.7878617876159648
sfa_equi-width_True,OBS,0.7917173117910281
sfa_equi-width_False,OBS,0.7848730939361563
sfa_equi-depth_True,OBS,0.7840600651968731
sfa_equi-depth_False,OBS,0.780391191192278
isax,OBST2024,0.3010873141670472
sfa_equi-width_True,OBST2024,0.4442968400043074
sfa_equi-width_False,OBST2024,0.29199567578416896
sfa_equi-depth_True,OBST2024,0.43655465180396463
sfa_equi-depth_False,OBST2024,0.2860557633535511
isax,PNW,0.6120958905397893
sfa_equi-width_True,PNW,0.6302086713689102
sfa_equi-width_False,PNW,0.6244363603213929
sfa_equi-depth_True,PNW,0.6256993821517296
sfa_equi-depth_False,PNW,0.6197607311123845
isax,Meier2019JGR,0.6923207233090058
sfa_equi-width_True,Meier2019JGR,0.7316194009557963
sfa_equi-width_False,Meier2019JGR,0.7316194009557963
sfa_equi-depth_True,Meier2019JGR,0.7321547471261229
sfa_equi-depth_False,Meier2019JGR,0.7321547471261229
isax,STEAD,0.4535662448980072
sfa_equi-width_True,STEAD,0.47060853030536265
sfa_equi-width_False,STEAD,0.47060853030536265
sfa_equi-depth_True,STEAD,0.4649262825312013
sfa_equi-depth_False,STEAD,0.4649262825312013
isax,TXED,0.3538206295282941
sfa_equi-width_True,TXED,0.4277374993586409
sfa_equi-width_False,TXED,0.37473909442406583
sfa_equi-depth_True,TXED,0.4238502577792735
sfa_equi-depth_False,TXED,0.37495306490283375
