Method,Dataset,Pruning_Power
isax,ArrowHead,0.22555555555555556
sfa_equi-width_True,ArrowHead,0.4568253968253968
sfa_equi-width_False,ArrowHead,0.45365079365079364
sfa_equi-depth_True,ArrowHead,0.44761904761904764
sfa_equi-depth_False,ArrowHead,0.43746031746031744
isax,Beef,0.4866666666666667
sfa_equi-width_True,Beef,0.4411111111111111
sfa_equi-width_False,Beef,0.35888888888888887
sfa_equi-depth_True,Beef,0.6133333333333333
sfa_equi-depth_False,Beef,0.59
isax,BeetleFly,0.1325
sfa_equi-width_True,BeetleFly,0.20750000000000002
sfa_equi-width_False,BeetleFly,0.2025
sfa_equi-depth_True,BeetleFly,0.1875
sfa_equi-depth_False,BeetleFly,0.18
isax,BirdChicken,0.4325
sfa_equi-width_True,BirdChicken,0.5075000000000001
sfa_equi-width_False,BirdChicken,0.5075000000000001
sfa_equi-depth_True,BirdChicken,0.5075000000000001
sfa_equi-depth_False,BirdChicken,0.5075000000000001
isax,BME,0.6157777777777778
sfa_equi-width_True,BME,0.6415555555555555
sfa_equi-width_False,BME,0.642
sfa_equi-depth_True,BME,0.598
sfa_equi-depth_False,BME,0.6002222222222222
isax,Car,0.32722222222222225
sfa_equi-width_True,Car,0.5166666666666667
sfa_equi-width_False,Car,0.5166666666666667
sfa_equi-depth_True,Car,0.5302777777777777
sfa_equi-depth_False,Car,0.5302777777777777
isax,CBF,0.12692592592592591
sfa_equi-width_True,CBF,0.13248148148148148
sfa_equi-width_False,CBF,0.13285185185185186
sfa_equi-depth_True,CBF,0.10903703703703703
sfa_equi-depth_False,CBF,0.10959259259259259
isax,Chinatown,0.14708454810495628
sfa_equi-width_True,Chinatown,0.43381924198250726
sfa_equi-width_False,Chinatown,0.4352769679300291
sfa_equi-depth_True,Chinatown,0.4549562682215743
sfa_equi-depth_False,Chinatown,0.4561224489795918
isax,ChlorineConcentration,0.45452020877944327
sfa_equi-width_True,ChlorineConcentration,0.7064301168807995
sfa_equi-width_False,ChlorineConcentration,0.7305445886866524
sfa_equi-depth_True,ChlorineConcentration,0.7621570529978587
sfa_equi-depth_False,ChlorineConcentration,0.7585167960385439
isax,CinCECGTorso,0.22458333333333333
sfa_equi-width_True,CinCECGTorso,0.27068840579710146
sfa_equi-width_False,CinCECGTorso,0.2677717391304348
sfa_equi-depth_True,CinCECGTorso,0.2832427536231884
sfa_equi-depth_False,CinCECGTorso,0.2722101449275362
isax,Coffee,0.0
sfa_equi-width_True,Coffee,0.2308673469387755
sfa_equi-width_False,Coffee,0.23979591836734693
sfa_equi-depth_True,Coffee,0.3201530612244898
sfa_equi-depth_False,Coffee,0.31505102040816324
isax,Computers,0.280064
sfa_equi-width_True,Computers,0.244528
sfa_equi-width_False,Computers,0.244528
sfa_equi-depth_True,Computers,0.261136
sfa_equi-depth_False,Computers,0.261136
isax,CricketX,0.34971071663379355
sfa_equi-width_True,CricketX,0.36062458908612754
sfa_equi-width_False,CricketX,0.36062458908612754
sfa_equi-depth_True,CricketX,0.372215647600263
sfa_equi-depth_False,CricketX,0.372215647600263
isax,CricketY,0.4217948717948718
sfa_equi-width_True,CricketY,0.47176857330703487
sfa_equi-width_False,CricketY,0.47176857330703487
sfa_equi-depth_True,CricketY,0.46011176857330705
