Method,Dataset,TLB
SPARTAN_wo_DAA,ArrowHead,0.8012591926414401
SPARTAN_DAA,ArrowHead,0.8013552582948739
SPARTAN_wo_DAA,Beef,0.8379791576810073
SPARTAN_DAA,Beef,0.8380658736805832
SPARTAN_wo_DAA,BeetleFly,0.7645796394898079
SPARTAN_DAA,BeetleFly,0.7645796394898079
SPARTAN_wo_DAA,BirdChicken,0.7973317267219951
SPARTAN_DAA,BirdChicken,0.7974757827682327
SPARTAN_wo_DAA,BME,0.8888046498790233
SPARTAN_DAA,BME,0.8888046498790233
SPARTAN_wo_DAA,Car,0.8752480937424361
SPARTAN_DAA,Car,0.8751947798072155
SPARTAN_wo_DAA,CBF,0.7383117835010429
SPARTAN_DAA,CBF,0.7383117835010429
SPARTAN_wo_DAA,Chinatown,0.8021852519005277
SPARTAN_DAA,Chinatown,0.8025055561241872
SPARTAN_wo_DAA,ChlorineConcentration,0.9564191440656488
SPARTAN_DAA,ChlorineConcentration,0.9572931350802127
SPARTAN_wo_DAA,CinCECGTorso,0.8539037959450242
SPARTAN_DAA,CinCECGTorso,0.8545740321120654
SPARTAN_wo_DAA,Coffee,0.7851798675364133
SPARTAN_DAA,Coffee,0.7851798675364133
SPARTAN_wo_DAA,Computers,0.7632666507108057
SPARTAN_DAA,Computers,0.763601917835781
SPARTAN_wo_DAA,CricketX,0.8559126994435499
SPARTAN_DAA,CricketX,0.8569969812828973
SPARTAN_wo_DAA,CricketY,0.8831578893542299
SPARTAN_DAA,CricketY,0.8842210336881321
SPARTAN_wo_DAA,CricketZ,0.8554967392904435
SPARTAN_DAA,CricketZ,0.8564260014530354
SPARTAN_wo_DAA,Crop,0.9526699703663023
SPARTAN_DAA,Crop,0.9541301630907124
SPARTAN_wo_DAA,DiatomSizeReduction,0.7031017097915249
SPARTAN_DAA,DiatomSizeReduction,0.7031017097915249
SPARTAN_wo_DAA,DistalPhalanxOutlineAgeGroup,0.949074515215798
SPARTAN_DAA,DistalPhalanxOutlineAgeGroup,0.9502373648855503
SPARTAN_wo_DAA,DistalPhalanxOutlineCorrect,0.9466167753172018
SPARTAN_DAA,DistalPhalanxOutlineCorrect,0.9486110484023201
SPARTAN_wo_DAA,DistalPhalanxTW,0.9448087276103948
SPARTAN_DAA,DistalPhalanxTW,0.9464335401382236
SPARTAN_wo_DAA,DodgerLoopDay,0.6303585955955829
SPARTAN_DAA,DodgerLoopDay,0.6303585955955829
SPARTAN_wo_DAA,DodgerLoopGame,0.6333940062682009
SPARTAN_DAA,DodgerLoopGame,0.6333940062682009
SPARTAN_wo_DAA,DodgerLoopWeekend,0.6311722921748665
SPARTAN_DAA,DodgerLoopWeekend,0.6311722921748665
SPARTAN_wo_DAA,Earthquakes,0.28465459691559053
SPARTAN_DAA,Earthquakes,0.284520544971425
SPARTAN_wo_DAA,ECG200,0.8977050642922543
SPARTAN_DAA,ECG200,0.8978832391288808
SPARTAN_wo_DAA,ECG5000,0.9608204357161129
SPARTAN_DAA,ECG5000,0.9618064522174508
SPARTAN_wo_DAA,ECGFiveDays,0.841280351453118
SPARTAN_DAA,ECGFiveDays,0.8414112074884603
SPARTAN_wo_DAA,EOGHorizontalSignal,0.9682929779982783
SPARTAN_DAA,EOGHorizontalSignal,0.9690212370656444
SPARTAN_wo_DAA,EOGVerticalSignal,0.9547163801067462
SPARTAN_DAA,EOGVerticalSignal,0.9566997166735629
SPARTAN_wo_DAA,EthanolLevel,0.9789240076337509
SPARTAN_DAA,EthanolLevel,0.9797866899515816
SPARTAN_wo_DAA,FaceAll,0.8142828838738873
SPARTAN_DAA,FaceAll,0.8148885328798965
SPARTAN_wo_DAA,FaceFour,0.7527430373655933
SPARTAN_DAA,FaceFour,0.7527430373655933
SPARTAN_wo_DAA,FacesUCR,0.8308012493056036
SPARTAN_DAA,FacesUCR,0.8311190238177353
SPARTAN_wo_DAA,FiftyWords,0.9447024732343458
SPARTAN_DAA,FiftyWords,0.9467668080515638
SPARTAN_wo_DAA,Fish,0.9268807146987234
SPARTAN_DAA,Fish,0.9274395288404903
SPARTAN_wo_DAA,FordA,0.768030967835423
