Method,Dataset,TLB
sfa_equi-width_True,DodgerLoopGame,0.42438801171920176
sfa_equi-width_False,DodgerLoopGame,0.4255868094484566
sfa_equi-depth_True,DodgerLoopGame,0.42117210580177417
sfa_equi-depth_False,DodgerLoopGame,0.42248647685418206
isax,DodgerLoopWeekend,0.3430692127985179
sfa_equi-width_True,DodgerLoopWeekend,0.4405304076059416
sfa_equi-width_False,DodgerLoopWeekend,0.44181954046468735
sfa_equi-depth_True,DodgerLoopWeekend,0.447718014862657
sfa_equi-depth_False,DodgerLoopWeekend,0.4476530492495443
isax,Earthquakes,0.10515629591294927
sfa_equi-width_True,Earthquakes,0.13398067393920776
sfa_equi-width_False,Earthquakes,0.13393430740779586
sfa_equi-depth_True,Earthquakes,0.1459175757402795
sfa_equi-depth_False,Earthquakes,0.14623988944268249
isax,ECG200,0.48278439360335307
sfa_equi-width_True,ECG200,0.5763711799960296
sfa_equi-width_False,ECG200,0.5753695211136816
sfa_equi-depth_True,ECG200,0.5857852764067422
sfa_equi-depth_False,ECG200,0.5843612971632867
isax,ECG5000,0.44509881237035503
sfa_equi-width_True,ECG5000,0.501839935703374
sfa_equi-width_False,ECG5000,0.497352356951427
sfa_equi-depth_True,ECG5000,0.562017220513491
sfa_equi-depth_False,ECG5000,0.56194793078638
isax,ECGFiveDays,0.20804394092305176
sfa_equi-width_True,ECGFiveDays,0.42649813133008224
sfa_equi-width_False,ECGFiveDays,0.3683400494670545
sfa_equi-depth_True,ECGFiveDays,0.4316316766843632
sfa_equi-depth_False,ECGFiveDays,0.3776281113253741
isax,EOGHorizontalSignal,0.5956136678801979
sfa_equi-width_True,EOGHorizontalSignal,0.6175060929737309
sfa_equi-width_False,EOGHorizontalSignal,0.6168767852810824
sfa_equi-depth_True,EOGHorizontalSignal,0.6493969504306792
sfa_equi-depth_False,EOGHorizontalSignal,0.6494482381994348
isax,EOGVerticalSignal,0.5606412243688428
sfa_equi-width_True,EOGVerticalSignal,0.6072349068074004
sfa_equi-width_False,EOGVerticalSignal,0.6080786782267837
sfa_equi-depth_True,EOGVerticalSignal,0.620527299683371
sfa_equi-depth_False,EOGVerticalSignal,0.6212935240370101
isax,EthanolLevel,0.08974053606534092
sfa_equi-width_True,EthanolLevel,0.5275448274964337
sfa_equi-width_False,EthanolLevel,0.35754392918300143
sfa_equi-depth_True,EthanolLevel,0.5626208615173628
sfa_equi-depth_False,EthanolLevel,0.3971094526163184
isax,FaceAll,0.30663516434264193
sfa_equi-width_True,FaceAll,0.4816151553268475
sfa_equi-width_False,FaceAll,0.3608706675884153
sfa_equi-depth_True,FaceAll,0.4976483697107616
sfa_equi-depth_False,FaceAll,0.37738730553689503
isax,FaceFour,0.2561158001017043
sfa_equi-width_True,FaceFour,0.4793840257495702
sfa_equi-width_False,FaceFour,0.3479469190977331
sfa_equi-depth_True,FaceFour,0.4799458750308106
sfa_equi-depth_False,FaceFour,0.3416091898073731
isax,FacesUCR,0.3092684525175899
sfa_equi-width_True,FacesUCR,0.4869400754581093
sfa_equi-width_False,FacesUCR,0.3607714176265028
sfa_equi-depth_True,FacesUCR,0.4973050695952011
sfa_equi-depth_False,FacesUCR,0.3771165017711333
isax,FiftyWords,0.6021837627837913
sfa_equi-width_True,FiftyWords,0.6425148663334193
sfa_equi-width_False,FiftyWords,0.6425148663334193
sfa_equi-depth_True,FiftyWords,0.668489857543084
sfa_equi-depth_False,FiftyWords,0.668489857543084
isax,Fish,0.30340208744603286
sfa_equi-width_True,Fish,0.5669408615835573
sfa_equi-width_False,Fish,0.5622076473606148
sfa_equi-depth_True,Fish,0.6122932972043715
sfa_equi-depth_False,Fish,0.6057005819331968
isax,FordA,0.07422362319182592
sfa_equi-width_True,FordA,0.47396153582095
sfa_equi-width_False,FordA,0.028320126600176788
sfa_equi-depth_True,FordA,0.5232042163496318
sfa_equi-depth_False,FordA,0.03437964598515627
isax,FordB,0.08318838559262308
sfa_equi-width_True,FordB,0.46165086505168274
sfa_equi-width_False,FordB,0.024227358385181263
sfa_equi-depth_True,FordB,0.5348914726424466
sfa_equi-depth_False,FordB,0.030095936798091937
isax,FreezerRegularTrain,0.5042377474964463
sfa_equi-width_True,FreezerRegularTrain,0.5835054967231339
sfa_equi-width_False,FreezerRegularTrain,0.583822505377472
sfa_equi-depth_True,FreezerRegularTrain,0.6117795648660853
sfa_equi-depth_False,FreezerRegularTrain,0.611512486563068
isax,FreezerSmallTrain,0.49461350731994513
sfa_equi-width_True,FreezerSmallTrain,0.6068489604258389
sfa_equi-width_False,FreezerSmallTrain,0.606586414025771
sfa_equi-depth_True,FreezerSmallTrain,0.6217720490136597
sfa_equi-depth_False,FreezerSmallTrain,0.6230502304051734
isax,Fungi,0.45074407145702133
sfa_equi-width_True,Fungi,0.6079509126525532
sfa_equi-width_False,Fungi,0.6079509126525532
sfa_equi-depth_True,Fungi,0.6165664706836257
sfa_equi-depth_False,Fungi,0.6165664706836257
isax,GestureMidAirD1,0.5964628241779203
sfa_equi-width_True,GestureMidAirD1,0.6423543702036102
sfa_equi-width_False,GestureMidAirD1,0.6421543428345723
sfa_equi-depth_True,GestureMidAirD1,0.6641522049123123
sfa_equi-depth_False,GestureMidAirD1,0.663848332899137
isax,GestureMidAirD2,0.5249736614355677
