Method,Dataset,TLB
ASAX,ASTRO,0.12201431325969447
ASAX,BIGANN,0.006469474876563849
ASAX,SALD,0.23342047840074465
ASAX,SIFT1B,0.10252976308840897
ASAX,DEPP1B,0.17207238761013458
ASAX,SCEDC,0.15804542482697848
ASAX,ETHZ,0.2585266039368978
ASAX,ISC_EHB_DepthPhases,0.37608498712337723
ASAX,LenDB,0.2689289804269187
ASAX,Iquique,0.2377207631984237
ASAX,NEIC,0.29024661702549187
ASAX,OBS,0.324217112277359
ASAX,OBST2024,0.106230613970764
ASAX,PNW,0.23688120561531562
ASAX,Meier2019JGR,0.24005069256766223
ASAX,STEAD,0.16639252942630126
ASAX,TXED,0.1373713778778575
