Method,Dataset,Pruning_Power
isax,ASTRO,0.7763927150000001
sfa_equi-width_True,ASTRO,0.826394822
sfa_equi-width_False,ASTRO,0.826394822
sfa_equi-depth_True,ASTRO,0.859144758
sfa_equi-depth_False,ASTRO,0.859144758
isax,BIGANN,0.048850045
sfa_equi-width_True,BIGANN,0.0
sfa_equi-width_False,BIGANN,0.0
sfa_equi-depth_True,BIGANN,0.0
sfa_equi-depth_False,BIGANN,0.0
isax,SALD,0.499338325
sfa_equi-width_True,SALD,0.5073144070000001
sfa_equi-width_False,SALD,0.507565972
sfa_equi-depth_True,SALD,0.5056679150000001
sfa_equi-depth_False,SALD,0.5059099180000001
isax,SIFT1B,0.103115207
sfa_equi-width_True,SIFT1B,0.921985715
sfa_equi-width_False,SIFT1B,0.169212828
sfa_equi-depth_True,SIFT1B,0.9358789510000001
sfa_equi-depth_False,SIFT1B,0.187112142
isax,DEEP1B,0.7690895900000001
sfa_equi-width_True,DEEP1B,0.864476974
sfa_equi-width_False,DEEP1B,0.7805904560000001
sfa_equi-depth_True,DEEP1B,0.8853962500000001
sfa_equi-depth_False,DEEP1B,0.802295379
isax,SCEDC,0.954448515
sfa_equi-width_True,SCEDC,0.999458771
sfa_equi-width_False,SCEDC,0.8599696210000001
sfa_equi-depth_True,SCEDC,0.9995080030000001
sfa_equi-depth_False,SCEDC,0.8843425130000001
isax,ETHZ,0.6924090392447415
sfa_equi-width_True,ETHZ,0.6864596591432961
sfa_equi-width_False,ETHZ,0.6865132898834003
sfa_equi-depth_True,ETHZ,0.6883151327488318
sfa_equi-depth_False,ETHZ,0.6869868804189497
isax,ISC_EHB_DepthPhases,0.993815740853548
sfa_equi-width_True,ISC_EHB_DepthPhases,0.993150590271713
sfa_equi-width_False,ISC_EHB_DepthPhases,0.9917166044935958
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.9965688992157464
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.9948118702572338
isax,LenDB,0.7197064648539582
sfa_equi-width_True,LenDB,0.9362122284347991
sfa_equi-width_False,LenDB,0.9229809147804585
sfa_equi-depth_True,LenDB,0.9434456215772856
sfa_equi-depth_False,LenDB,0.9289728617991571
isax,Iquique,0.4090438505112697
sfa_equi-width_True,Iquique,0.41602717788454063
sfa_equi-width_False,Iquique,0.4162034748027565
sfa_equi-depth_True,Iquique,0.4103446643621092
sfa_equi-depth_False,Iquique,0.4100556099735166
isax,NEIC,0.8357900967465812
sfa_equi-width_True,NEIC,0.8329451154072887
sfa_equi-width_False,NEIC,0.8335183434308934
sfa_equi-depth_True,NEIC,0.8296117163396283
sfa_equi-depth_False,NEIC,0.8310332785536152
isax,OBS,0.9039216641981231
sfa_equi-width_True,OBS,0.9056924563596072
sfa_equi-width_False,OBS,0.9027754784739273
sfa_equi-depth_True,OBS,0.8963657575665264
sfa_equi-depth_False,OBS,0.8959287077415353
isax,OBST2024,0.03253284601350426
sfa_equi-width_True,OBST2024,0.13271977106704774
sfa_equi-width_False,OBST2024,0.052860457625529725
sfa_equi-depth_True,OBST2024,0.0817752712028595
sfa_equi-depth_False,OBST2024,0.008515180870012523
isax,PNW,0.4205807250082334
sfa_equi-width_True,PNW,0.43696430518274443
sfa_equi-width_False,PNW,0.4268316832103729
sfa_equi-depth_True,PNW,0.4220332306059462
sfa_equi-depth_False,PNW,0.40929682475810264
isax,Meier2019JGR,0.7257317469803372
sfa_equi-width_True,Meier2019JGR,0.875808754872072
sfa_equi-width_False,Meier2019JGR,0.875808754872072
sfa_equi-depth_True,Meier2019JGR,0.8985324441054064
sfa_equi-depth_False,Meier2019JGR,0.8985324441054064
isax,STEAD,0.2009657374258027
sfa_equi-width_True,STEAD,0.21722880946522025
sfa_equi-width_False,STEAD,0.21722880946522025
sfa_equi-depth_True,STEAD,0.1319662831412352
sfa_equi-depth_False,STEAD,0.1319662831412352
isax,TXED,0.08356616001084012
sfa_equi-width_True,TXED,0.13547962901573368
sfa_equi-width_False,TXED,0.10337965586604246
sfa_equi-depth_True,TXED,0.12230078345900977
sfa_equi-depth_False,TXED,0.09577440540566216
