query,elapsed_ms,total_records,node_pruned,cluster_pruned,local_vq_pruned,record_pruned,exact_evaluated,node_mbr_us,cluster_bound_us,local_vq_us,record_bound_us,exact_distance_us,other_us
0,148.194000,15508794,13570860,530236,0,1370164,37534,437,2837,0,122231,14123,8566
1,5.297000,15508794,15410090,18393,0,80283,28,35,84,0,5041,11,126
2,24.112000,15508794,15136152,85634,0,275615,11393,80,296,0,18612,3294,1830
3,5.781000,15508794,15321454,110648,0,76656,36,61,123,0,5428,12,157
4,6.604000,15508794,15277146,129280,0,102361,7,48,155,0,6283,3,115
5,312.020000,15508794,10957009,158012,0,4393707,66,923,4215,0,306046,23,813
6,9.399000,15508794,15323257,61196,0,123294,1047,50,137,0,8516,379,317
7,30.866000,15508794,13716822,1351658,0,438776,1538,367,869,0,28440,558,632
8,1.039000,15508794,15496490,0,0,12303,1,9,16,0,928,0,86
9,69.082000,15508794,14618667,24621,0,858721,6785,174,849,0,64303,2323,1433
10,2.982000,15508794,15349062,78454,0,81254,24,31,97,0,2732,6,116
11,105.562000,15508794,14251963,418833,0,760479,77519,274,971,0,68260,25012,11045
12,8.276000,15508794,15199744,195303,0,113719,28,62,156,0,7861,6,191
13,3.133000,15508794,15433180,32557,0,43032,25,28,63,0,2927,8,107
14,5.405000,15508794,15349062,82100,0,77596,36,32,107,0,5126,14,126
15,5.499000,15508794,15332578,99489,0,76656,71,49,111,0,5170,27,142
16,3.072000,15508794,15393545,81307,0,33933,9,33,68,0,2852,3,116
17,2.370000,15508794,15389867,82843,0,36071,13,33,78,0,2157,3,99
18,340.810000,15508794,10957009,99640,0,4451907,238,945,4206,0,334693,83,883
19,2.916000,15508794,15430471,38475,0,39837,11,25,41,0,2731,5,114
20,3.594000,15508794,15411042,50134,0,47611,7,31,40,0,3401,4,118
21,7.774000,15508794,15113099,284798,0,110889,8,90,180,0,7333,6,165
22,6.335000,15508794,15290735,132114,0,85053,892,51,130,0,5540,286,328
23,584.575000,15508794,10956999,71512,0,4293859,186424,927,4199,0,497643,53427,28379
24,3.687000,15508794,15337579,110117,0,61082,16,25,84,0,3482,9,87
25,2.023000,15508794,15458863,19855,0,30062,14,16,42,0,1884,4,77
26,3.217000,15508794,15370901,78093,0,59794,6,27,47,0,3062,1,80
27,280.253000,15508794,10957009,704623,0,3846288,874,649,2749,0,275909,238,708
28,336.688000,15508794,10957005,49641,0,4497081,5067,673,3051,0,330174,1463,1327
29,21.951000,15508794,14428814,710348,0,369609,23,149,406,0,21210,6,180
30,24.764000,15508794,14984759,109193,0,414807,35,94,310,0,24208,12,140
31,1.937000,15508794,15472747,6155,0,29887,5,10,22,0,1831,1,73
32,1.914000,15508794,15475548,3904,0,29333,9,15,15,0,1810,5,69
33,3.418000,15508794,15411059,46138,0,51585,12,20,56,0,3249,4,89
34,3.343000,15508794,15438889,20457,0,49439,9,15,29,0,3201,4,94
35,2.963000,15508794,15411645,42762,0,54372,15,21,36,0,2823,4,79
36,23.928000,15508794,14618667,489737,0,400323,67,118,378,0,23239,21,172
37,11.334000,15508794,15015719,309907,0,182634,534,66,175,0,10742,172,179
38,3.216000,15508794,15429901,26652,0,52234,7,13,36,0,3085,2,80
39,4.277000,15508794,15337035,112606,0,59150,3,28,73,0,4074,2,100
40,6.961000,15508794,15049412,334578,0,124787,17,65,180,0,6606,7,103
41,11.194000,15508794,15330061,960,0,176819,954,33,132,0,10539,256,234
42,32.089000,15508794,14670790,328284,0,509138,582,119,424,0,31137,165,244
43,2.558000,15508794,15440465,28247,0,40047,35,10,27,0,2431,8,82
44,4.012000,15508794,15357117,70666,0,81001,10,27,83,0,3821,2,79
45,4.781000,15508794,15276916,153996,0,77870,12,40,94,0,4563,3,81
46,15.964000,15508794,15051577,236971,0,209670,10576,64,220,0,11994,2327,1359
47,202.888000,15508794,11009718,1106508,0,3392481,87,638,2430,0,199236,31,553
48,4.376000,15508794,15398748,38073,0,71961,12,19,53,0,4189,5,110
49,3.701000,15508794,15366000,85519,0,57270,5,24,69,0,3519,2,87
50,305.753000,15508794,10957009,202080,0,4349097,608,661,2945,0,301247,216,684
51,48.084000,15508794,14542312,190432,0,775981,69,140,564,0,47154,25,201
52,4.115000,15508794,15380361,69550,0,58874,9,29,48,0,3914,4,120
53,2.073000,15508794,15413933,67395,0,27457,9,19,38,0,1922,4,90
54,15.995000,15508794,15081043,153818,0,273905,28,62,221,0,15578,11,123
55,117.060000,15508794,12651803,803605,0,2053322,64,416,1499,0,114801,21,323
56,6.731000,15508794,15301201,94403,0,113183,7,32,93,0,6509,4,93
57,2.524000,15508794,15445537,28027,0,35221,9,15,20,0,2387,4,98
58,321.946000,15508794,10957005,38080,0,4513092,617,663,3079,0,317300,195,709
59,280.000000,15508794,10957009,65645,0,4485067,1073,673,3012,0,275216,327,772
60,5.488000,15508794,15311125,106380,0,91278,11,33,86,0,5269,4,96
61,175.426000,15508794,10966140,1453952,0,3088666,36,658,2254,0,172034,16,464
62,3.812000,15508794,15368406,73228,0,67142,18,26,83,0,3611,8,84
63,7.199000,15508794,15300164,66772,0,141834,24,26,113,0,6948,8,104
64,312.152000,15508794,13571635,138999,0,1426754,371406,292,1293,0,189646,82611,38310
65,1.984000,15508794,15396709,85588,0,26493,4,20,47,0,1833,1,83
66,2.316000,15508794,15356226,92066,0,60501,1,24,50,0,2166,1,75
67,1.702000,15508794,15392976,90404,0,25410,4,17,45,0,1568,0,72
68,3.751000,15508794,15229423,215666,0,63701,4,65,91,0,3503,1,91
69,180.688000,15508794,10996514,1274161,0,3237950,169,608,2295,0,177185,52,548
70,3.917000,15508794,15351204,93301,0,64281,8,23,70,0,3731,3,90
