query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
0,15508794,20953,249785,448,13570861,665,2336,674564,5764,1019444,460833,11244,802536,766449,108616,37651,34497,1841,1590,82146,39509
1,15508794,2645,14942,280,15410090,114,112,21803,260,62740,42710,435,34191,34157,1948,70,5,17,29,650,11518
2,15508794,4914,37217,304,15136146,147,448,117423,771,212963,103224,1419,152001,141007,13669,11753,10220,587,774,7707,12917
3,15508794,2369,13879,268,15321459,112,256,117746,191,48949,32291,260,37298,37254,1692,68,17,13,27,2054,9557
4,15508794,1651,14128,288,15277146,87,288,168308,251,44302,29174,333,34166,34125,1340,79,4,4,37,39,12074
5,15508794,5827,168496,723,10957020,723,5552,542386,8511,3431931,2027850,16660,1981538,1979920,99743,2589,627,73,991,2902,39884
6,15508794,5122,23369,276,15323257,73,224,82422,211,75435,28415,380,74700,72885,4974,2026,1613,188,202,10173,7370
7,15508794,2867,29939,516,13681159,283,2224,1438314,603,156433,72783,756,316538,314728,9014,2013,1598,206,212,4185,14892
8,15508794,1545,8325,256,15496482,33,16,0,25,12312,11796,41,516,500,71,42,2,1,14,17,8137
9,15508794,3861,48910,364,14618668,136,1056,50713,1359,725368,341698,2651,497715,487172,27642,11073,10012,706,531,5494,10922
10,15508794,2039,9877,272,15349062,44,192,81524,103,56739,32014,204,46194,46142,1374,93,14,12,38,1707,6433
11,15508794,15992,99591,384,14107976,211,1680,539101,1418,680792,283788,2781,577929,498344,30043,85599,73410,1479,6175,51360,12299
12,15508794,2034,11027,304,15199717,103,368,220705,141,56023,43176,299,45196,45088,1382,178,36,16,72,81,9005
13,15508794,2526,10337,268,15419014,42,128,42681,90,33963,22404,182,24695,24655,924,95,1,12,39,1851,7236
14,15508794,2124,9474,272,15349062,59,192,86828,120,51435,31407,213,41497,41415,1374,138,29,19,53,741,6948
15,15508794,1710,8441,272,15332578,70,224,109018,109,45515,25760,212,41438,41290,1455,213,82,17,66,42,6536
16,15508794,1275,10850,296,15319830,72,224,132782,79,28237,16546,173,39636,39592,1066,95,6,12,38,37,9411
17,15508794,1253,8134,268,15389863,40,160,83209,67,23240,18653,133,17069,17048,589,55,3,9,18,6,7290
18,15508794,5812,166778,723,10957000,589,5552,317235,6964,3657082,2192931,14129,2041628,2040969,99494,1101,205,236,454,12971,32395
19,15508794,1520,8581,288,15363144,48,176,85026,110,41416,29628,143,30996,30972,939,68,1,3,23,15,7323
20,15508794,1384,7392,280,15386778,50,128,67482,51,36781,26970,145,27564,27544,721,36,1,4,19,5,6416
21,15508794,1412,12754,340,14886975,106,736,482941,167,54038,39849,248,99029,98925,2072,163,58,14,46,30,10117
22,15508794,1849,9539,304,15290735,58,272,144249,97,41956,17387,182,56423,55400,2127,1189,866,93,157,567,6415
23,15508794,11063,432261,723,10957000,544,5552,221990,7197,3752327,1712011,14410,2617793,2334935,209491,387372,175637,12865,107221,133614,54140
24,15508794,1543,8678,300,15265540,98,320,169171,161,52071,34219,206,39864,39817,1112,104,8,6,39,20,7075
25,15508794,1389,6668,264,15458866,44,80,22123,59,23708,15935,97,11870,11844,434,65,2,4,24,7,6023
26,15508794,1247,7574,300,15327862,43,192,118738,61,26355,18467,92,43727,43704,913,46,2,5,21,6,6454
27,15508794,4626,145153,723,10957000,505,5552,853346,5418,3120971,1396627,11011,2301821,2300964,101634,1214,506,125,351,123,26337
28,15508794,5107,187960,723,10957000,526,5552,131597,6807,3842720,2062930,13350,2357267,2338030,131501,23150,15265,1402,3972,1504,32870
29,15508794,1548,16851,364,14428814,154,1344,767563,392,191372,98319,636,214098,214054,6397,92,7,15,37,27,9230
30,15508794,2172,16416,340,14984762,101,640,140869,599,314753,132792,1118,250371,250281,7468,154,38,15,52,17,7098
31,15508794,1506,7241,268,15472754,33,48,9168,34,23477,14649,86,12223,12197,378,39,4,3,22,10,6697
32,15508794,1418,6786,256,15475553,47,32,5804,34,22050,16900,71,10537,10526,336,21,0,5,11,3,6290
33,15508794,1437,7037,260,15396414,37,144,66854,80,37990,29208,141,16318,16297,600,38,0,4,21,11,6164
34,15508794,1202,7257,260,15438895,35,64,27519,44,26380,18544,113,23836,23821,556,41,2,4,13,3,6502
35,15508794,1414,6714,260,15411636,33,96,45767,59,35593,23273,121,28118,28071,766,85,5,9,42,22,5704
36,15508794,1988,17801,364,14618668,110,1056,556564,450,219517,115640,841,217922,217774,7961,235,58,11,90,25,8403
37,15508794,1414,11326,312,15015719,84,576,337193,171,93006,46795,294,109087,108527,4064,705,429,61,131,54,6598
38,15508794,1424,6554,264,15429894,26,96,40643,64,31667,24910,107,13347,13323,525,55,2,6,22,8,5818
39,15508794,1281,7029,256,15337030,50,224,124857,70,32038,25221,137,21686,21676,630,18,0,1,10,6,6135
40,15508794,1361,9511,324,14975036,81,672,414957,184,52579,32642,234,86159,86108,1476,88,25,9,26,13,7514
41,15508794,1734,9463,260,15310697,40,240,27748,274,142852,73741,547,96608,95570,3533,1160,928,69,110,38,4962
