query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
77,4160286,4563,193918,732,0,581,6911,157658,8509,3516306,7286,11763,3995342,3993865,147366,1844,1118,292,359,136,25271
78,4160286,7015,256465,732,14638,580,6895,144368,8828,3514965,103921,12233,3897359,3844089,186346,95307,10367,3720,42903,12528,32230
79,4160286,13105,552484,732,0,611,6911,156315,8803,3517649,17245,13771,3986726,3485126,224719,924637,69209,29918,432391,181873,92789
80,4160286,10628,452576,732,0,586,6911,152998,8750,3520966,6989,13375,4000299,3600861,256080,641894,151186,20295,248252,88370,65120
81,4160286,5476,210926,732,0,609,6911,157658,8624,3516306,12746,11961,3989882,3971289,162198,20156,17004,913,1589,540,26081
82,4160286,5375,214154,732,0,578,6911,157656,8602,3516308,3403,11803,3999227,3993709,166912,6146,4885,522,633,251,25486
83,4160286,13680,712934,732,0,579,6911,153747,9205,3520217,6451,14746,4000088,3913584,228399,94582,78272,2381,8232,2727,454897
84,4160286,5816,253063,732,0,625,6911,157670,8707,3516294,8751,12150,3993865,3982938,198932,11625,10223,641,704,231,31777
85,4160286,5860,255218,732,0,581,6911,154808,8608,3519156,6100,12215,3999378,3977192,204318,23602,20740,1777,1446,497,27222
86,4160286,22936,967804,732,0,624,6911,143720,9184,3530244,16229,15925,4000337,2814961,280870,2132002,214584,64188,970792,421147,175866
87,4160286,5156,211149,732,0,589,6911,157656,8756,3516308,8999,12026,3993631,3986105,162964,8087,6959,789,567,196,25829
88,4160286,9794,339558,732,0,614,6911,156886,8719,3517078,42773,12636,3960627,3778104,186890,347917,13939,11334,168584,68974,50391
89,4160286,19394,859761,732,0,572,6911,151929,8906,3522035,8027,15215,4000330,2940874,272173,1925628,171345,58194,888111,350111,154590
90,4160286,13093,618742,732,0,594,6911,150909,8696,3523055,9038,14122,4000339,3397571,261776,1084861,109051,35051,493717,196194,102309
91,4160286,5730,223792,732,0,593,6911,156323,8632,3517641,10398,11793,3993565,3977631,174916,17057,14805,774,1129,366,26718
92,4160286,13151,634553,732,0,588,6911,156312,8859,3517652,6239,14153,3997735,3269079,257038,1290662,153697,39394,574959,203524,110997
93,4160286,19169,864963,732,0,589,6911,144446,8939,3529518,15506,15237,4000334,3018120,276623,1814704,128927,55911,853287,355262,152402
94,4160286,5124,211968,732,0,635,6911,157653,8639,3516311,3425,11763,3999208,3998376,164901,1097,557,199,275,107,25724
95,4160286,23319,1146621,732,0,581,6911,153006,9084,3520958,6957,16336,4000323,1550718,284853,3742315,1122334,85513,1327271,530561,219693
96,4160286,20424,928987,732,0,592,6911,148211,9087,3525753,11764,15326,4000311,2665509,272386,2329325,314695,65202,1020107,392728,173666
97,4160286,4588,179404,732,0,565,6911,158107,8573,3515857,27051,11610,3975128,3974956,133397,267,89,39,83,37,25183
98,4160286,7561,355737,732,0,566,6911,154393,8563,3519571,5601,12225,4000292,3707469,239673,386102,197164,11252,95659,36432,47026
99,4160286,22243,1151345,732,0,592,6911,148036,9075,3525928,12150,16234,4000100,1954215,277869,3263353,796134,79904,1249751,554880,212791
