query,elapsed_ms,total_records,node_pruned,cluster_pruned,local_vq_pruned,record_pruned,exact_evaluated,node_mbr_us,cluster_bound_us,local_vq_us,record_bound_us,exact_distance_us,other_us
0,165.202000,93473541,89716725,529869,0,3226940,7,1423,3287,0,159618,4,870
1,6.356000,93473541,93314711,41163,0,117664,3,72,100,0,6046,1,137
2,165.969000,93473541,89736289,558779,0,3178455,18,1207,2993,0,161066,9,694
3,7447.652000,93473541,28165224,3341338,0,57077166,4889813,17699,55949,0,5343011,1464528,566465
4,791.362000,93473541,76408672,1792305,0,15272551,13,4724,12396,0,771561,3,2678
5,0.912000,93473541,93453850,5629,0,14057,5,21,19,0,782,7,83
6,5418.747000,93473541,28261106,8106924,0,57022526,82985,19447,57674,0,5291794,25128,24704
7,2530.290000,93473541,49890264,7064711,0,36518456,110,10201,35107,0,2477466,86,7430
8,2033.383000,93473541,71265415,2119620,0,19174932,913574,6549,17047,0,1625092,276476,108219
9,6.378000,93473541,93321904,30591,0,121044,2,128,78,0,6020,1,151
10,330.534000,93473541,87152569,867232,0,5453735,5,1986,4563,0,322766,2,1217
11,1063.512000,93473541,66597236,4409640,0,22466640,25,5100,17117,0,1037284,12,3999
12,4577.178000,93473541,21131797,9089786,0,63060803,191155,19724,59958,0,4407358,49807,40331
13,7.667000,93473541,93303732,19954,0,149853,2,142,156,0,7217,2,150
14,452.296000,93473541,82335270,2918980,0,8218490,801,3182,8340,0,438574,317,1883
15,1419.290000,93473541,80961275,960228,0,10380791,1171247,3914,11451,0,901363,368835,133727
16,3818.236000,93473541,48436124,2336398,0,41898240,802779,12253,40029,0,3332287,300275,133392
17,1699.552000,93473541,61707781,4631213,0,27045160,89387,5914,21959,0,1636049,19732,15898
18,2658.354000,93473541,35621817,8988727,0,48862969,28,13874,45164,0,2589792,12,9512
19,3486.713000,93473541,42777100,8153946,0,42041960,500535,12152,40895,0,3229375,122425,81866
20,3928.528000,93473541,21642874,8631515,0,63124762,74390,19123,59550,0,3803068,23698,23089
21,6.003000,93473541,93330448,35121,0,107967,5,53,122,0,5707,4,117
22,156.568000,93473541,89415334,623923,0,3434281,3,1264,2606,0,151717,2,979
23,2.999000,93473541,93391161,24174,0,58203,3,83,37,0,2755,1,123
24,1553.706000,93473541,64423741,1096742,0,27950191,2867,8282,24098,0,1514720,1275,5331
25,3111.991000,93473541,35933298,2920993,0,54619081,169,14628,45442,0,3042706,88,9127
26,150.949000,93473541,90197975,830501,0,2445000,65,1100,2229,0,146896,32,692
27,1814.228000,93473541,47692052,5867916,0,39913519,54,10197,32432,0,1764732,33,6834
28,3834.031000,93473541,24911068,6950929,0,61609954,1590,18253,54797,0,3748746,1146,11089
29,1050.076000,93473541,84708477,650199,0,7006545,1108320,2994,7015,0,576914,336118,127035
30,147.189000,93473541,90260601,423391,0,2788899,650,1136,2570,0,142424,248,811
31,1972.187000,93473541,45320259,6103545,0,42046588,3149,10479,35600,0,1916848,1225,8035
32,4.117000,93473541,93376624,19002,0,77911,4,64,74,0,3829,6,144
33,4.110000,93473541,93377550,12379,0,83611,1,35,41,0,3935,1,98
34,1588.562000,93473541,63035840,5249828,0,25030249,157624,5572,19726,0,1498979,37780,26505
35,116.621000,93473541,89992582,965047,0,2515897,15,1109,2230,0,112430,5,847
36,2153.508000,93473541,51553892,7037958,0,34875013,6678,8172,29715,0,2105905,2075,7641
37,1813.327000,93473541,56492935,2400103,0,34580491,12,9070,28709,0,1769665,11,5872
38,2.298000,93473541,93415465,14503,0,43563,10,77,15,0,2087,7,112
39,1812.425000,93473541,50979252,3534414,0,38959807,68,9732,31293,0,1764750,36,6614
40,276.352000,93473541,88085806,612635,0,4736547,38553,1727,4655,0,246142,17395,6433
41,88.419000,93473541,92502746,143603,0,742742,84450,377,751,0,49612,27563,10116
42,5.314000,93473541,93323861,46692,0,102983,5,50,282,0,4860,3,119
43,3085.498000,93473541,32857460,7537611,0,53078423,47,15674,45952,0,3014297,23,9552
44,330.687000,93473541,87519835,492790,0,5456934,3982,1970,5031,0,320366,1768,1552
45,1259.428000,93473541,63088418,5081064,0,25254969,49090,8071,21967,0,1199205,17762,12423
46,734.132000,93473541,81581387,600355,0,11291037,762,3888,9526,0,718046,347,2325
47,15.001000,93473541,93189161,42401,0,237925,4054,89,245,0,12091,1740,836
48,8.178000,93473541,93268401,38356,0,166777,7,89,171,0,7776,2,140
49,2161.807000,93473541,69597609,1857680,0,20939575,1078677,7042,19012,0,1668063,339328,128362
50,670.716000,93473541,79229767,682475,0,13561076,223,3306,11448,0,653494,101,2367
51,194.491000,93473541,88597727,653335,0,4222467,12,1141,3960,0,188505,12,873
52,1829.380000,93473541,66012482,1232753,0,26223801,4505,8087,22611,0,1791533,1728,5421
53,3769.023000,93473541,28988091,3822328,0,60662545,577,17194,51791,0,3689059,314,10665
54,7997.320000,93473541,29441030,6444580,0,49725803,7862128,17306,54460,0,4834409,2193736,897409
55,41.882000,93473541,92441599,140608,0,891305,29,384,747,0,40411,16,324
56,30.208000,93473541,92545402,305184,0,622953,2,243,570,0,29167,0,228
57,498.755000,93473541,84657510,361566,0,8453938,527,2846,6926,0,487024,231,1728
58,61.161000,93473541,91841277,309225,0,1323036,3,547,1255,0,58992,4,363
59,6.030000,93473541,93317927,28645,0,126961,8,71,110,0,5738,4,107
60,338.038000,93473541,88755874,581292,0,3948786,187589,1511,4152,0,246785,60640,24950
61,299.981000,93473541,87640626,486040,0,5336215,10660,1798,4799,0,287231,3774,2379
62,1533.823000,93473541,56498885,3081573,0,33893052,31,7711,26403,0,1494065,11,5633
63,1016.202000,93473541,81857325,1699172,0,9082429,834615,3787,9659,0,668959,236799,96998
64,4.431000,93473541,93350665,36811,0,86064,1,99,80,0,4114,1,137
65,206.079000,93473541,87909785,1601749,0,3961727,280,1689,3927,0,199310,80,1073
66,1344.214000,93473541,67068362,3816115,0,22531937,57127,4972,17897,0,1293631,14683,13031
67,293.426000,93473541,86320956,732355,0,6420222,8,1682,5320,0,285118,5,1301
68,78.682000,93473541,91492553,359653,0,1621173,162,741,1366,0,75984,71,520
69,2365.065000,93473541,51927929,2029738,0,39481690,34184,12084,34463,0,2292798,12766,12954
70,1751.714000,93473541,64066814,1681261,0,27721930,3536,7763,25052,0,1711498,1460,5941
71,4045.699000,93473541,21715012,11810753,0,59889830,57946,19198,58491,0,3928227,18408,21375
72,34.189000,93473541,92488505,182521,0,802464,51,309,1082,0,32492,17,289
73,6.037000,93473541,93258080,77215,0,138234,12,55,140,0,5736,3,103
74,4268.226000,93473541,21316857,6097980,0,65990103,68601,19668,59967,0,4070757,93782,24052
75,34.941000,93473541,92821142,16504,0,635015,880,164,371,0,25689,8418,299
76,8.986000,93473541,93298595,25628,0,148026,1292,61,137,0,6431,2051,306
77,3922.218000,93473541,31263963,3457580,0,58736418,15580,16560,50817,0,3777548,64255,13038
78,1864.427000,93473541,47084293,2990234,0,43398806,208,11152,35295,0,1810018,536,7426
79,410.173000,93473541,81219652,2446138,0,9807741,10,3395,8605,0,396172,7,1994
80,3.911000,93473541,93337899,49307,0,86333,2,44,124,0,3628,0,115
81,109.343000,93473541,90616649,519036,0,2337849,7,803,1912,0,105723,396,509
82,1166.503000,93473541,75752577,1523712,0,15811191,386061,5411,14117,0,838685,256438,51852
83,17.495000,93473541,92972853,95983,0,404700,5,145,347,0,16833,3,167
84,35.430000,93473541,92526368,168557,0,777296,1320,360,871,0,33254,488,457
85,5221.559000,93473541,8382389,6966959,0,77624072,500121,24858,72348,0,4747491,289707,87155
86,4102.199000,93473541,25796314,4940697,0,62717184,19346,18531,55586,0,3953459,60404,14219
87,1.764000,93473541,93434664,2230,0,36646,1,31,21,0,1605,0,107
88,18.478000,93473541,92975081,72939,0,425515,6,143,384,0,17767,7,177
89,545.262000,93473541,90355469,1062720,0,2025006,30346,1019,2033,0,106988,429470,5752
90,97.183000,93473541,91243793,141807,0,2086910,1031,660,1934,0,87941,5929,719
91,4692.034000,93473541,20728113,7689155,0,64860180,196093,19802,60827,0,4399246,171225,40934
92,412.082000,93473541,82807239,1108506,0,9557744,52,3286,8230,0,398672,30,1864
93,2267.090000,93473541,42652265,6992023,0,43829154,99,11160,37419,0,2211071,57,7383
94,2053.472000,93473541,64364400,2054629,0,26693997,360515,8883,24250,0,1660589,310049,49701
95,4795.416000,93473541,23007477,12937314,0,55347229,2181521,19226,57874,0,3908680,517972,291664
96,427.763000,93473541,81416652,3931828,0,8087785,37276,3679,8855,0,399673,8425,7131
