query,total_records,query_wall_us,worker_search_us,node_mbr_checks,node_mbr_pruned,node_mbr_us,group_mbr_checks,group_mbr_pruned,group_mbr_us,radial_checks,radial_pruned,radial_us,symbolic_checks,symbolic_pruned,symbolic_us,residual_checks,residual_pruned,residual_us,exact_evaluated,exact_us,other_worker_us
0,93473541,7063,304004,1424,89704788,3325,6080,607475,11106,2131175,1316237,22023,1845041,1845009,118403,57,4,14,28,28,149105
1,93473541,2152,21907,368,93314718,218,240,46719,266,92857,45046,792,67058,67024,3700,61,1,3,33,16,16912
2,93473541,5476,245629,1336,89736366,2469,6048,702337,9797,2222028,1072894,19349,1961944,1961908,133416,45,24,7,12,3,80588
3,93473541,83627,5103733,15047,28178369,28688,93840,5103595,102049,46700019,12559015,173736,47632562,44244341,2872351,4221200,2540058,113294,848163,1189925,623690
4,93473541,10410,561679,5687,76411244,5039,24608,2693120,17965,11002132,4852241,39069,9516936,9516891,372834,96,5,16,40,28,126728
5,93473541,1249,7894,320,93421165,88,112,14012,53,25438,17188,114,21176,21159,669,28,2,1,15,7,6962
6,93473541,47176,2890014,14594,28284788,13255,93824,10897299,89267,40769820,12626063,143123,41665391,41568037,2256571,148300,45748,10322,51606,23399,354077
7,93473541,27049,1648198,18042,49912812,15758,60464,8386565,50887,26775807,3593945,92359,31580219,31579149,1169968,1728,401,293,669,865,318068
8,93473541,18573,1047362,5407,71265204,5211,31904,2546014,26825,15198587,5942729,52635,13719594,13166636,767269,579807,525346,8396,27612,25760,161266
9,93473541,1297,14625,440,93321896,164,208,35687,67,27036,18192,162,97766,97758,2239,29,0,3,8,2,11988
10,93473541,5439,242838,2032,87376796,1847,9264,968881,5585,3699881,2062888,13639,3064976,3064706,152619,344,195,35,75,46,69067
11,93473541,12572,719403,8600,66723614,5751,37024,6251559,26785,15585749,1634732,54508,18863636,18863459,452522,282,78,72,99,63,179702
12,93473541,47925,2881776,16666,21169543,15939,104928,11714799,101805,45778232,14957248,159809,45631951,45421880,2145093,294603,124544,17089,85527,32003,410038
13,93473541,1538,11984,528,93303764,191,288,33693,198,105200,54085,412,81999,81988,2462,25,0,3,11,11,8707
14,93473541,6128,291351,3416,82376496,3003,16256,3967395,11542,4731384,1872909,16388,5256741,5255445,172502,2000,587,212,709,313,87391
15,93473541,13417,657140,3160,80960306,3017,18864,1286401,18137,8209166,3318380,29768,7908454,7135696,426576,801667,743308,9860,29450,44197,125585
16,93473541,35731,2102810,12986,48451235,11383,65040,3510805,65335,32239408,7345761,112230,34165740,33671163,1525354,569363,417552,13349,77025,76271,298888
17,93473541,23475,1281829,15763,61724086,13673,43344,7478617,39042,18349890,1055032,62351,23215806,22987706,838029,370736,83445,12800,144655,48660,267274
18,93473541,28353,1735649,15726,35675894,13521,82256,10449635,70089,35462797,7723580,125044,39624432,39624302,1180975,244,27,59,103,589,345372
19,93473541,38500,2282379,16579,42795530,14837,71920,11136867,67142,29754053,4334459,103546,35206685,34643205,1511239,1009965,111709,44974,451771,156808,383833
20,93473541,44437,2727742,18686,21691086,17962,104208,10445202,100046,46239237,13704627,162054,47632626,47549308,2005656,107242,58967,8200,24351,16908,416916
21,93473541,1710,10196,312,93327380,89,272,39405,128,95631,47783,372,58973,58943,1840,70,2,2,28,14,7751
22,93473541,2947,108010,2816,89415237,1169,4688,757417,4641,2400022,437149,8293,2863738,2863704,64666,72,6,7,28,16,29218
23,93473541,1360,11522,440,93354038,149,128,56899,55,30137,16243,129,46361,46344,1137,48,0,4,17,4,10044
24,93473541,17491,1038056,7149,64427750,6444,42336,1729989,39766,21318670,9594760,73795,17721042,17714079,724255,8287,5648,721,1315,1117,191958
