query_id,mode,rank,squared_l2,index_position,query_time_ms,sax_scans,exact_distance_computations,recall_at_k
0,exact,1,2.82976767e-17,24745439,38.375848,362789,58202,
1,exact,1,0.0117687536,80241975,62.694747,598897,122005,
2,exact,1,0.0471133254,80241975,62.247616,697611,122005,
3,exact,1,0.106084131,80241975,62.981128,817877,122005,
4,exact,1,0.188721731,80241975,63.934497,1030330,122005,
5,exact,1,0.295057178,80241975,64.850164,1355009,122006,
6,exact,1,0.425111264,80241975,66.641486,1882091,122009,
7,exact,1,0.578895688,80241975,68.802712,2706671,122002,
8,exact,1,0.756411314,80241975,71.479472,3936216,122002,
9,exact,1,0.957650185,80241975,75.704928,5695605,122002,
10,exact,1,1.18259335,80241975,82.113778,8004952,122002,
11,exact,1,1.43121254,80241975,83.212265,10861995,122005,
12,exact,1,1.70346999,80241975,92.410031,14246549,122007,
13,exact,1,1.99931741,80241975,97.776167,18006181,122009,
14,exact,1,2.31869626,80241975,106.389047,21986244,122009,
15,exact,1,2.66154003,80241975,108.370766,26043741,122011,
16,exact,1,3.027771,80241975,105.883723,30062353,110682,
17,exact,1,3.41730189,80241975,112.111564,33974415,110682,
18,exact,1,3.83003736,80241975,108.845268,37739359,110687,
19,exact,1,4.26587057,80241975,116.804074,41333774,110691,
20,exact,1,4.72468662,80241975,114.867903,44743931,110698,
21,exact,1,5.20636034,80241975,114.720637,47975025,110703,
22,exact,1,5.71075821,80241975,115.393945,51028760,110707,
23,exact,1,6.23774099,80241975,114.810336,53916290,110726,
24,exact,1,6.78715277,80241975,116.735811,56637530,110741,
25,exact,1,7.35883617,80241975,116.692837,59195852,110752,
26,exact,1,7.95262194,80241975,120.774985,61595646,110776,
27,exact,1,8.56833363,80241975,120.632491,63853092,116047,
28,exact,1,9.20578671,80241975,124.114632,65980044,116123,
29,exact,1,9.86478996,80241975,120.409511,67980895,104870,
30,exact,1,10.5451393,80241975,115.590345,69866689,105030,
31,exact,1,11.2466297,80241975,116.638229,71650539,105264,
32,exact,1,11.9690437,80241975,118.400519,73337376,105642,
33,exact,1,12.7121582,80241975,120.105449,74939528,106279,
34,exact,1,13.4757481,80241975,118.263272,76458632,107243,
35,exact,1,14.259572,80241975,123.53642,77903310,108683,
36,exact,1,15.0633917,80241975,124.916263,79276841,110896,
37,exact,1,15.8869553,80241975,126.088949,80583521,114053,
38,exact,1,16.730011,80241975,126.252013,81831715,118653,
39,exact,1,17.5922947,80241975,126.777797,83023707,125077,
40,exact,1,18.473547,80241975,123.848066,84156846,134122,
41,exact,1,19.3734875,80241975,126.932697,85236269,147297,
42,exact,1,20.2918453,80241975,128.559568,86260865,165196,
43,exact,1,21.2283421,80241975,139.616745,87228095,202037,
44,exact,1,22.1826878,80241975,141.973029,88141936,235743,
45,exact,1,23.1545982,80241975,153.663361,89001062,280671,
46,exact,1,24.1437759,80241975,150.241015,89809367,340753,
47,exact,1,25.1499252,80241975,153.785475,90565265,419800,
48,exact,1,26.1727428,80241975,160.665739,91270444,523233,
49,exact,1,27.2119331,80241975,166.32453,91929305,657428,
50,exact,1,28.2671833,80241975,178.814306,92541218,828253,
51,exact,1,29.3381786,80241975,190.380468,93109544,1044007,
52,exact,1,30.4246216,80241975,205.685705,93635102,1315141,
53,exact,1,31.526186,80241975,220.901898,94122337,1648852,
54,exact,1,32.6425629,80241975,241.563924,94572769,2056190,
55,exact,1,33.7734337,80241975,264.014187,94986967,2551036,
56,exact,1,34.9184761,80241975,292.586979,95369737,3140808,
57,exact,1,36.0773811,80241975,351.435548,95722282,3855548,
58,exact,1,37.2498169,80241975,386.913601,96045392,4675235,
59,exact,1,38.4354591,80241975,424.03658,96344000,5622858,
60,exact,1,39.6339951,80241975,468.471111,96619980,6705863,
61,exact,1,40.8451004,80241975,509.890039,96874817,7937356,
62,exact,1,42.0684547,80241975,577.347355,97110012,9318250,
63,exact,1,43.3037186,80241975,626.506304,97327013,10850360,
64,exact,1,44.5505905,80241975,669.184188,97527206,12533157,
65,exact,1,45.8087425,80241975,717.719648,97712907,14361612,
66,exact,1,47.0778503,80241975,779.20507,97884286,16325962,
