Method,Dataset,TLB
isax,ASTRO,0.29414477830731933
sfa_equi-width_True,ASTRO,0.29942789255855545
sfa_equi-width_False,ASTRO,0.29942789255855545
sfa_equi-depth_True,ASTRO,0.34972261498484414
sfa_equi-depth_False,ASTRO,0.34972261498484414
isax,BIGANN,0.30881059631294894
sfa_equi-width_True,BIGANN,0.3662047532683682
sfa_equi-width_False,BIGANN,0.2686990626858056
sfa_equi-depth_True,BIGANN,0.41936625260134514
sfa_equi-depth_False,BIGANN,0.3203046230205612
isax,SALD,0.5557397772947779
sfa_equi-width_True,SALD,0.5382457790985206
sfa_equi-width_False,SALD,0.538772549604209
sfa_equi-depth_True,SALD,0.57665049310301
sfa_equi-depth_False,SALD,0.5776747485158918
isax,SIFT1B,0.16282194191670563
sfa_equi-width_True,SIFT1B,0.4775448299111965
sfa_equi-width_False,SIFT1B,0.19342407755343452
sfa_equi-depth_True,SIFT1B,0.531599247226631
sfa_equi-depth_False,SIFT1B,0.24066980478903777
isax,DEPP1B,0.27129002317112727
sfa_equi-width_True,DEPP1B,0.29014547085829573
sfa_equi-width_False,DEPP1B,0.2620257735761605
sfa_equi-depth_True,DEPP1B,0.327669389083457
sfa_equi-depth_False,DEPP1B,0.3008095201401965
isax,SCEDC,0.22827856834571275
sfa_equi-width_True,SCEDC,0.46025891754748893
sfa_equi-width_False,SCEDC,0.21421477831729183
sfa_equi-depth_True,SCEDC,0.47912659112564476
sfa_equi-depth_False,SCEDC,0.21040454882235807
isax,ETHZ,0.5870356307652181
sfa_equi-width_True,ETHZ,0.5532591252156003
sfa_equi-width_False,ETHZ,0.5533699763649343
sfa_equi-depth_True,ETHZ,0.5737599440043711
sfa_equi-depth_False,ETHZ,0.5722331774758252
isax,ISC_EHB_DepthPhases,0.7614343742588908
sfa_equi-width_True,ISC_EHB_DepthPhases,0.7303126479284408
sfa_equi-width_False,ISC_EHB_DepthPhases,0.7287652532990788
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.7645810669551569
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.7608244997090375
isax,LenDB,0.6798153138681834
sfa_equi-width_True,LenDB,0.642946438874583
sfa_equi-width_False,LenDB,0.6443493030998636
sfa_equi-depth_True,LenDB,0.6777436061207555
sfa_equi-depth_False,LenDB,0.6781132541245773
isax,Iquique,0.49840736200202784
sfa_equi-width_True,Iquique,0.4647791684877091
sfa_equi-width_False,Iquique,0.46509842262962475
sfa_equi-depth_True,Iquique,0.4738099055413938
sfa_equi-depth_False,Iquique,0.4735528685612772
isax,NEIC,0.6160383499825308
sfa_equi-width_True,NEIC,0.57365377598086
sfa_equi-width_False,NEIC,0.5731507946036988
sfa_equi-depth_True,NEIC,0.5957718645338139
sfa_equi-depth_False,NEIC,0.5947588064397344
isax,OBS,0.6666230867983792
sfa_equi-width_True,OBS,0.6288536808192141
sfa_equi-width_False,OBS,0.6236442146888048
sfa_equi-depth_True,OBS,0.6386936473832107
sfa_equi-depth_False,OBS,0.6373427957643515
isax,OBST2024,0.22293478235612416
sfa_equi-width_True,OBST2024,0.2850737322196136
sfa_equi-width_False,OBST2024,0.17742548702877894
sfa_equi-depth_True,OBST2024,0.31026090521442184
sfa_equi-depth_False,OBST2024,0.1733469349708539
isax,PNW,0.48871031261628106
sfa_equi-width_True,PNW,0.45968823392237773
sfa_equi-width_False,PNW,0.4550108610478231
sfa_equi-depth_True,PNW,0.47195098464216595
sfa_equi-depth_False,PNW,0.46523557097284807
isax,Meier2019JGR,0.5940814915305269
sfa_equi-width_True,Meier2019JGR,0.5475931298013278
sfa_equi-width_False,Meier2019JGR,0.5475931298013278
sfa_equi-depth_True,Meier2019JGR,0.6175827394725921
sfa_equi-depth_False,Meier2019JGR,0.6175827394725921
isax,STEAD,0.3621597998579442
sfa_equi-width_True,STEAD,0.3202142627088659
sfa_equi-width_False,STEAD,0.3202142627088659
sfa_equi-depth_True,STEAD,0.3482109895457403
sfa_equi-depth_False,STEAD,0.3482109895457403
isax,TXED,0.2773211580406766
sfa_equi-width_True,TXED,0.2884829010475791
sfa_equi-width_False,TXED,0.24831089799410758
sfa_equi-depth_True,TXED,0.3285559232482989
sfa_equi-depth_False,TXED,0.29603266126695515
