Method,Dataset,Pruning Power
isax,OSULeaf,0.8479752066115702
isax,PhalangesOutlinesCorrect,0.7413319088319088
isax,Phoneme,0.0033198272802555306
isax,PickupGestureWiimoteZ,0.7092
isax,PigAirwayPressure,0.9182230029585798
isax,PigArtPressure,0.12125554733727811
isax,PigCVP,0.3582193047337278
isax,PLAID,0.566246718613998
isax,Plane,0.9005895691609977
isax,PowerCons,0.6963888888888888
isax,ProximalPhalanxOutlineAgeGroup,0.6248048780487805
isax,ProximalPhalanxOutlineCorrect,0.6338602520045818
isax,ProximalPhalanxTW,0.5775975609756098
isax,RefrigerationDevices,0.0027662222222222224
isax,Rock,0.761
isax,ScreenType,0.6060017777777778
isax,SemgHandGenderCh2,0.0012277777777777777
isax,SemgHandMovementCh2,0.0016888888888888889
isax,SemgHandSubjectCh2,0.0017580246913580246
isax,ShakeGestureWiimoteZ,0.4292
isax,ShapeletSim,0.0
isax,ShapesAll,0.9574527777777778
isax,SmallKitchenAppliances,0.0067413333333333336
isax,SonyAIBORobotSurface1,0.25732113144758734
isax,SonyAIBORobotSurface2,0.403482181026777
isax,StarLightCurves,0.8988700825643516
isax,Strawberry,0.7551210264097703
isax,SwedishLeaf,0.80096
isax,Symbols,0.7774070351758794
isax,SyntheticControl,0.6179666666666667
isax,ToeSegmentation1,0.6441885964912281
isax,ToeSegmentation2,0.735897435897436
isax,Trace,0.8935
isax,TwoLeadECG,0.6523266022827041
isax,TwoPatterns,0.8535315
isax,UMD,0.8501157407407407
isax,UWaveGestureLibraryAll,0.9080577739889926
isax,UWaveGestureLibraryX,0.9621445521257079
isax,UWaveGestureLibraryY,0.9644823198332935
isax,Wafer,0.9483744321868917
isax,Wine,0.24171539961013644
isax,WordSynonyms,0.9041715097507426
isax,Worms,0.6204348138049796
isax,WormsTwoClass,0.6204348138049796
isax,Yoga,0.9568822222222222
sfa_equi-width_True,ArrowHead,0.68
sfa_equi-width_True,Beef,0.9666666666666667
sfa_equi-width_True,BeetleFly,0.8
