Method,Dataset,Pruning_Power
isax,ArrowHead,0.9006349206349207
sfa_equi-width_True,ArrowHead,0.9484126984126984
sfa_equi-width_False,ArrowHead,0.9431746031746032
sfa_equi-depth_True,ArrowHead,0.9349206349206349
sfa_equi-depth_False,ArrowHead,0.9317460317460318
isax,Beef,0.9366666666666666
sfa_equi-width_True,Beef,0.9477777777777778
sfa_equi-width_False,Beef,0.9466666666666667
sfa_equi-depth_True,Beef,0.94
sfa_equi-depth_False,Beef,0.94
isax,BeetleFly,0.6775
sfa_equi-width_True,BeetleFly,0.8075
sfa_equi-width_False,BeetleFly,0.78
sfa_equi-depth_True,BeetleFly,0.755
sfa_equi-depth_False,BeetleFly,0.7225
isax,BirdChicken,0.9125
sfa_equi-width_True,BirdChicken,0.9450000000000001
sfa_equi-width_False,BirdChicken,0.9450000000000001
sfa_equi-depth_True,BirdChicken,0.925
sfa_equi-depth_False,BirdChicken,0.925
isax,BME,0.9086666666666667
sfa_equi-width_True,BME,0.9357777777777778
sfa_equi-width_False,BME,0.9353333333333333
sfa_equi-depth_True,BME,0.920888888888889
sfa_equi-depth_False,BME,0.9213333333333333
isax,Car,0.9438888888888889
sfa_equi-width_True,Car,0.9644444444444444
sfa_equi-width_False,Car,0.9644444444444444
sfa_equi-depth_True,Car,0.96
sfa_equi-depth_False,Car,0.96
isax,CBF,0.7106666666666667
sfa_equi-width_True,CBF,0.7661851851851852
sfa_equi-width_False,CBF,0.7662962962962963
sfa_equi-depth_True,CBF,0.7327407407407407
sfa_equi-depth_False,CBF,0.7327037037037037
isax,Chinatown,0.9155976676384839
sfa_equi-width_True,Chinatown,0.9202623906705539
sfa_equi-width_False,Chinatown,0.9220116618075802
sfa_equi-depth_True,Chinatown,0.8864431486880466
sfa_equi-depth_False,Chinatown,0.8934402332361516
isax,ChlorineConcentration,0.9392671529264811
sfa_equi-width_True,ChlorineConcentration,0.9619529577087795
sfa_equi-width_False,ChlorineConcentration,0.9569743709850108
