Method,Dataset,Pruning_Power
isax,ASTRO,0.648969503
sfa_equi-width_True,ASTRO,0.6552457690000001
sfa_equi-width_False,ASTRO,0.6552457690000001
sfa_equi-depth_True,ASTRO,0.7742918630000001
sfa_equi-depth_False,ASTRO,0.7742918630000001
isax,BIGANN,0.039485802
sfa_equi-width_True,BIGANN,0.27686968300000003
sfa_equi-width_False,BIGANN,0.07681331300000001
sfa_equi-depth_True,BIGANN,0.41798221500000005
sfa_equi-depth_False,BIGANN,0.145546745
isax,SALD,0.464411098
sfa_equi-width_True,SALD,0.44854859900000005
sfa_equi-width_False,SALD,0.449419526
sfa_equi-depth_True,SALD,0.48289069100000004
sfa_equi-depth_False,SALD,0.483496209
isax,SIFT1B,0.047629137
sfa_equi-width_True,SIFT1B,0.746177654
sfa_equi-width_False,SIFT1B,0.069784127
sfa_equi-depth_True,SIFT1B,0.8550194310000001
sfa_equi-depth_False,SIFT1B,0.1111887
isax,DEEP1B,0.6072837440000001
sfa_equi-width_True,DEEP1B,0.663948353
sfa_equi-width_False,DEEP1B,0.583609229
sfa_equi-depth_True,DEEP1B,0.7654484970000001
sfa_equi-depth_False,DEEP1B,0.6749222020000001
isax,SCEDC,0.7662678900000001
sfa_equi-width_True,SCEDC,0.9969406630000001
sfa_equi-width_False,SCEDC,0.660621126
sfa_equi-depth_True,SCEDC,0.999247337
sfa_equi-depth_False,SCEDC,0.727639708
isax,ETHZ,0.6481473984340983
sfa_equi-width_True,ETHZ,0.6341585853884782
sfa_equi-width_False,ETHZ,0.6346192837461156
sfa_equi-depth_True,ETHZ,0.6507991610284222
sfa_equi-depth_False,ETHZ,0.6508405075990048
isax,ISC_EHB_DepthPhases,0.980809963734691
sfa_equi-width_True,ISC_EHB_DepthPhases,0.9716716171101709
sfa_equi-width_False,ISC_EHB_DepthPhases,0.9709667873166734
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.9877421176662484
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.9858278583500554
isax,LenDB,0.6803442987046163
sfa_equi-width_True,LenDB,0.6507084429283436
sfa_equi-width_False,LenDB,0.6507084429283436
sfa_equi-depth_True,LenDB,0.521380098571746
sfa_equi-depth_False,LenDB,0.521380098571746
isax,Iquique,0.31500408566596355
sfa_equi-width_True,Iquique,0.2862793317128874
sfa_equi-width_False,Iquique,0.2879889367421435
sfa_equi-depth_True,Iquique,0.31795720156931034
sfa_equi-depth_False,Iquique,0.31864799871469957
isax,NEIC,0.7712159886170835
sfa_equi-width_True,NEIC,0.7419777877369176
sfa_equi-width_False,NEIC,0.7412805370567925
sfa_equi-depth_True,NEIC,0.7495878998252901
sfa_equi-depth_False,NEIC,0.7508580912333064
isax,OBS,0.8701586166181506
sfa_equi-width_True,OBS,0.8613849782728319
sfa_equi-width_False,OBS,0.8599758955491794
sfa_equi-depth_True,OBS,0.8468567695871319
sfa_equi-depth_False,OBS,0.8458593288774869
isax,OBST2024,0.00979871736010788
sfa_equi-width_True,OBST2024,0.0374590677784802
sfa_equi-width_False,OBST2024,0.011615587824536016
sfa_equi-depth_True,OBST2024,0.019694659112488192
sfa_equi-depth_False,OBST2024,0.0
isax,PNW,0.24252563252668313
sfa_equi-width_True,PNW,0.23635410280422264
sfa_equi-width_False,PNW,0.23064905717440312
sfa_equi-depth_True,PNW,0.24781671076213566
sfa_equi-depth_False,PNW,0.23827105361599366
isax,Meier2019JGR,0.6349204727308363
sfa_equi-width_True,Meier2019JGR,0.4455875483262039
sfa_equi-width_False,Meier2019JGR,0.44561570096844144
sfa_equi-depth_True,Meier2019JGR,0.41674565081918036
sfa_equi-depth_False,Meier2019JGR,0.42432374560174146
isax,STEAD,0.0959812596705928
sfa_equi-width_True,STEAD,0.08212681434626819
sfa_equi-width_False,STEAD,0.08212681434626819
sfa_equi-depth_True,STEAD,0.048882801893507535
sfa_equi-depth_False,STEAD,0.048882801893507535
isax,TXED,0.03791037996936965
sfa_equi-width_True,TXED,0.0633754908181444
sfa_equi-width_False,TXED,0.03535894362785172
sfa_equi-depth_True,TXED,0.07048916862543919
sfa_equi-depth_False,TXED,0.057533156631301256
