Method,Dataset,TLB
isax,ArrowHead,0.6
sfa_equi-width_True,ArrowHead,0.8188888888888889
sfa_equi-width_False,ArrowHead,0.8088888888888889
sfa_equi-depth_True,ArrowHead,0.8638095238095238
sfa_equi-depth_False,ArrowHead,0.8536507936507937
isax,Beef,0.7566666666666667
sfa_equi-width_True,Beef,0.8122222222222222
sfa_equi-width_False,Beef,0.8122222222222222
sfa_equi-depth_True,Beef,0.8744444444444445
sfa_equi-depth_False,Beef,0.8733333333333333
isax,BeetleFly,0.5025000000000001
sfa_equi-width_True,BeetleFly,0.6125
sfa_equi-width_False,BeetleFly,0.625
sfa_equi-depth_True,BeetleFly,0.5975
sfa_equi-depth_False,BeetleFly,0.585
isax,BirdChicken,0.765
sfa_equi-width_True,BirdChicken,0.8275
sfa_equi-width_False,BirdChicken,0.8275
sfa_equi-depth_True,BirdChicken,0.8525
sfa_equi-depth_False,BirdChicken,0.8525
isax,BME,0.8311111111111111
sfa_equi-width_True,BME,0.8662222222222222
sfa_equi-width_False,BME,0.8675555555555556
sfa_equi-depth_True,BME,0.8735555555555556
sfa_equi-depth_False,BME,0.8762222222222222
isax,Car,0.7388888888888889
sfa_equi-width_True,Car,0.8727777777777778
sfa_equi-width_False,Car,0.8727777777777778
sfa_equi-depth_True,Car,0.9080555555555555
sfa_equi-depth_False,Car,0.9080555555555555
isax,CBF,0.4931111111111111
sfa_equi-width_True,CBF,0.6161851851851852
sfa_equi-width_False,CBF,0.617
sfa_equi-depth_True,CBF,0.6081111111111112
sfa_equi-depth_False,CBF,0.6082592592592593
isax,Chinatown,0.6075801749271137
sfa_equi-width_True,Chinatown,0.8214285714285714
sfa_equi-width_False,Chinatown,0.8266763848396501
sfa_equi-depth_True,Chinatown,0.8170553935860058
sfa_equi-depth_False,Chinatown,0.8198250728862974
isax,ChlorineConcentration,0.7497830790506782
sfa_equi-width_True,ChlorineConcentration,0.9050376962883655
sfa_equi-width_False,ChlorineConcentration,0.8978999375446111
sfa_equi-depth_True,ChlorineConcentration,0.9179012758743755
sfa_equi-depth_False,ChlorineConcentration,0.9131624732334048
isax,CinCECGTorso,0.5423550724637681
sfa_equi-width_True,CinCECGTorso,0.6546739130434782
sfa_equi-width_False,CinCECGTorso,0.6428079710144927
sfa_equi-depth_True,CinCECGTorso,0.6506340579710145
sfa_equi-depth_False,CinCECGTorso,0.6382789855072464
isax,Coffee,0.08673469387755102
sfa_equi-width_True,Coffee,0.7181122448979591
sfa_equi-width_False,Coffee,0.7066326530612245
sfa_equi-depth_True,Coffee,0.7346938775510203
sfa_equi-depth_False,Coffee,0.7397959183673469
isax,Computers,0.541152
sfa_equi-width_True,Computers,0.62984
sfa_equi-width_False,Computers,0.62984
sfa_equi-depth_True,Computers,0.647712
