Method,Dataset,Pruning_Power
isax,ASTRO,0.7990897
sfa_equi-width_True,ASTRO,0.858039399
sfa_equi-width_False,ASTRO,0.858039399
sfa_equi-depth_True,ASTRO,0.873788286
sfa_equi-depth_False,ASTRO,0.873788286
isax,BIGANN,0.30443810600000004
sfa_equi-width_True,BIGANN,0.6433502720000001
sfa_equi-width_False,BIGANN,0.274967782
sfa_equi-depth_True,BIGANN,0.6566897570000001
sfa_equi-depth_False,BIGANN,0.283844714
isax,SALD,0.5088201370000001
sfa_equi-width_True,SALD,0.5215848310000001
sfa_equi-width_False,SALD,0.52188091
sfa_equi-depth_True,SALD,0.517446775
sfa_equi-depth_False,SALD,0.517742271
isax,SIFT1B,0.118252095
sfa_equi-width_True,SIFT1B,0.942087655
sfa_equi-width_False,SIFT1B,0.201048164
sfa_equi-depth_True,SIFT1B,0.947255394
sfa_equi-depth_False,SIFT1B,0.208282193
isax,DEEP1B,0.799227894
sfa_equi-width_True,DEEP1B,0.894871344
sfa_equi-width_False,DEEP1B,0.8183578420000001
sfa_equi-depth_True,DEEP1B,0.9033019390000001
sfa_equi-depth_False,DEEP1B,0.8271944670000001
isax,SCEDC,0.971999724
sfa_equi-width_True,SCEDC,0.9995140060000001
sfa_equi-width_False,SCEDC,0.907468177
sfa_equi-depth_True,SCEDC,0.9995197710000001
sfa_equi-depth_False,SCEDC,0.9174356770000001
isax,ETHZ,0.7025374990174864
sfa_equi-width_True,ETHZ,0.6986436552824429
sfa_equi-width_False,ETHZ,0.6973599255669728
sfa_equi-depth_True,ETHZ,0.6982370636714786
sfa_equi-depth_False,ETHZ,0.6958712830237057
isax,ISC_EHB_DepthPhases,0.9957584252537601
sfa_equi-width_True,ISC_EHB_DepthPhases,0.9960738752877937
sfa_equi-width_False,ISC_EHB_DepthPhases,0.9945626412980584
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.9974032785317747
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.9959377329858028
isax,LenDB,0.9793536775544426
sfa_equi-width_True,LenDB,0.9919184173866504
sfa_equi-width_False,LenDB,0.9822722947322737
sfa_equi-depth_True,LenDB,0.9932868827272326
sfa_equi-depth_False,LenDB,0.9839635847679365
isax,Iquique,0.434937073833944
sfa_equi-width_True,Iquique,0.45226316525957366
sfa_equi-width_False,Iquique,0.45149030928404965
sfa_equi-depth_True,Iquique,0.4411774319214032
sfa_equi-depth_False,Iquique,0.4404671306877566
isax,NEIC,0.8473336415172136
sfa_equi-width_True,NEIC,0.8514649518749648
sfa_equi-width_False,NEIC,0.8524315668117193
sfa_equi-depth_True,NEIC,0.847697211740044
sfa_equi-depth_False,NEIC,0.8489753283054247
isax,OBS,0.908354901116224
sfa_equi-width_True,OBS,0.9126122808147313
sfa_equi-width_False,OBS,0.9090686836100917
sfa_equi-depth_True,OBS,0.9052124804833385
sfa_equi-depth_False,OBS,0.904103829989392
isax,OBST2024,0.039274796462644555
sfa_equi-width_True,OBST2024,0.16798078203534952
sfa_equi-width_False,OBST2024,0.07076056026556607
sfa_equi-depth_True,OBST2024,0.11945786590451832
sfa_equi-depth_False,OBST2024,0.031533997408759736
isax,PNW,0.46882173631466467
sfa_equi-width_True,PNW,0.49615894672665123
sfa_equi-width_False,PNW,0.48594226348937647
sfa_equi-depth_True,PNW,0.4782632506577507
sfa_equi-depth_False,PNW,0.4659376561901345
isax,Meier2019JGR,0.9254075765640616
sfa_equi-width_True,Meier2019JGR,0.9459454892886614
sfa_equi-width_False,Meier2019JGR,0.9459454892886614
sfa_equi-depth_True,Meier2019JGR,0.9513168950728615
sfa_equi-depth_False,Meier2019JGR,0.9513168950728615
isax,STEAD,0.22377920794725925
sfa_equi-width_True,STEAD,0.2542405331484264
sfa_equi-width_False,STEAD,0.2542405331484264
sfa_equi-depth_True,STEAD,0.1969233114813384
sfa_equi-depth_False,STEAD,0.1969233114813384
isax,TXED,0.09326954559977439
sfa_equi-width_True,TXED,0.15891274049651571
sfa_equi-width_False,TXED,0.12314219213520955
sfa_equi-depth_True,TXED,0.14160795149144215
sfa_equi-depth_False,TXED,0.11196541160223343
