Method,Dataset,TLB
isax,ASTRO,0.19614349413822266
sfa_equi-width_True,ASTRO,0.2313062524285705
sfa_equi-width_False,ASTRO,0.2313062524285705
sfa_equi-depth_True,ASTRO,0.22727260077350056
sfa_equi-depth_False,ASTRO,0.22727260077350056
isax,BIGANN,0.1480393028895949
sfa_equi-width_True,BIGANN,0.23824668270685365
sfa_equi-width_False,BIGANN,0.1847801391835935
sfa_equi-depth_True,BIGANN,0.23899110459952091
sfa_equi-depth_False,BIGANN,0.18726702025965083
isax,SALD,0.24469632582166712
sfa_equi-width_True,SALD,0.2909549297300459
sfa_equi-width_False,SALD,0.29236948445413724
sfa_equi-depth_True,SALD,0.29498367761008615
sfa_equi-depth_False,SALD,0.29620583362061087
isax,SIFT1B,0.10795402157465096
sfa_equi-width_True,SIFT1B,0.3131287080351891
sfa_equi-width_False,SIFT1B,0.13488886448695375
sfa_equi-depth_True,SIFT1B,0.3166827177621027
sfa_equi-depth_False,SIFT1B,0.14236532311144187
isax,DEPP1B,0.1576959705656401
sfa_equi-width_True,DEPP1B,0.17087647762406175
sfa_equi-width_False,DEPP1B,0.1635591985678
sfa_equi-depth_True,DEPP1B,0.17211516135022795
sfa_equi-depth_False,DEPP1B,0.1647367440299304
isax,SCEDC,0.14606958551264973
sfa_equi-width_True,SCEDC,0.2985416155925094
sfa_equi-width_False,SCEDC,0.127324483876179
sfa_equi-depth_True,SCEDC,0.2985586150958771
sfa_equi-depth_False,SCEDC,0.12837931050345625
isax,ETHZ,0.3161847358676826
sfa_equi-width_True,ETHZ,0.30067970088672324
sfa_equi-width_False,ETHZ,0.30058629883228266
sfa_equi-depth_True,ETHZ,0.301109044248609
sfa_equi-depth_False,ETHZ,0.3012674487972632
isax,ISC_EHB_DepthPhases,0.42551327681334755
sfa_equi-width_True,ISC_EHB_DepthPhases,0.4094968212360305
sfa_equi-width_False,ISC_EHB_DepthPhases,0.40713153481471187
sfa_equi-depth_True,ISC_EHB_DepthPhases,0.40902086975592045
sfa_equi-depth_False,ISC_EHB_DepthPhases,0.4070517615202365
isax,LenDB,0.5507707796705296
sfa_equi-width_True,LenDB,0.5561838180951967
sfa_equi-width_False,LenDB,0.5561838180951967
sfa_equi-depth_True,LenDB,0.551740133787458
sfa_equi-depth_False,LenDB,0.551740133787458
isax,Iquique,0.2410451617176103
sfa_equi-width_True,Iquique,0.24717060747791486
sfa_equi-width_False,Iquique,0.2464933559227018
sfa_equi-depth_True,Iquique,0.24646753929205797
sfa_equi-depth_False,Iquique,0.24675865109472722
isax,NEIC,0.3595071170273786
sfa_equi-width_True,NEIC,0.35010188481061305
sfa_equi-width_False,NEIC,0.34921457047140914
sfa_equi-depth_True,NEIC,0.3501262984297687
sfa_equi-depth_False,NEIC,0.34941301879002234
isax,OBS,0.5502029995680934
sfa_equi-width_True,OBS,0.5387037845630543
sfa_equi-width_False,OBS,0.539021129575876
sfa_equi-depth_True,OBS,0.5185001829240327
sfa_equi-depth_False,OBS,0.516261115160155
isax,OBST2024,0.09633535510023762
sfa_equi-width_True,OBST2024,0.16354197303459617
sfa_equi-width_False,OBST2024,0.0707114893361935
sfa_equi-depth_True,OBST2024,0.1635110962771327
sfa_equi-depth_False,OBST2024,0.06942754486736431
isax,PNW,0.2285526254126572
sfa_equi-width_True,PNW,0.2263040040186527
sfa_equi-width_False,PNW,0.21752668991727211
sfa_equi-depth_True,PNW,0.23609130923912947
sfa_equi-depth_False,PNW,0.22775146783503095
isax,Meier2019JGR,0.5586309221915896
sfa_equi-width_True,Meier2019JGR,0.49159733450851173
sfa_equi-width_False,Meier2019JGR,0.49362894115896605
sfa_equi-depth_True,Meier2019JGR,0.5992746272542212
sfa_equi-depth_False,Meier2019JGR,0.6013010449918446
isax,STEAD,0.2158274887829418
sfa_equi-width_True,STEAD,0.22187249912963056
sfa_equi-width_False,STEAD,0.22187249912963056
sfa_equi-depth_True,STEAD,0.22231338513824253
sfa_equi-depth_False,STEAD,0.22231338513824253
isax,TXED,0.18088981572359064
sfa_equi-width_True,TXED,0.2133681072967588
sfa_equi-width_False,TXED,0.19138340961882339
sfa_equi-depth_True,TXED,0.21425110008406978
sfa_equi-depth_False,TXED,0.19363444755930065
