Method,Dataset,Pruning_Power
isax,ArrowHead,0.7293650793650793
sfa_equi-width_True,ArrowHead,0.8925396825396825
sfa_equi-width_False,ArrowHead,0.8815873015873016
sfa_equi-depth_True,ArrowHead,0.9068253968253969
sfa_equi-depth_False,ArrowHead,0.9025396825396825
isax,Beef,0.8188888888888889
sfa_equi-width_True,Beef,0.8766666666666667
sfa_equi-width_False,Beef,0.8766666666666667
sfa_equi-depth_True,Beef,0.9222222222222223
sfa_equi-depth_False,Beef,0.9233333333333333
isax,BeetleFly,0.5775
sfa_equi-width_True,BeetleFly,0.7125
sfa_equi-width_False,BeetleFly,0.705
sfa_equi-depth_True,BeetleFly,0.715
sfa_equi-depth_False,BeetleFly,0.7025
isax,BirdChicken,0.8300000000000001
sfa_equi-width_True,BirdChicken,0.895
sfa_equi-width_False,BirdChicken,0.8975
sfa_equi-depth_True,BirdChicken,0.91
sfa_equi-depth_False,BirdChicken,0.91
isax,BME,0.8668888888888889
sfa_equi-width_True,BME,0.9002222222222223
sfa_equi-width_False,BME,0.9037777777777778
sfa_equi-depth_True,BME,0.9057777777777778
sfa_equi-depth_False,BME,0.9071111111111112
isax,Car,0.8272222222222222
sfa_equi-width_True,Car,0.9255555555555556
sfa_equi-width_False,Car,0.9255555555555556
sfa_equi-depth_True,Car,0.9391666666666667
sfa_equi-depth_False,Car,0.9391666666666667
isax,CBF,0.6006296296296296
sfa_equi-width_True,CBF,0.7002592592592592
sfa_equi-width_False,CBF,0.700925925925926
sfa_equi-depth_True,CBF,0.7001111111111111
sfa_equi-depth_False,CBF,0.7001851851851851
isax,Chinatown,0.7479591836734694
sfa_equi-width_True,Chinatown,0.8776967930029155
sfa_equi-width_False,Chinatown,0.8813411078717202
sfa_equi-depth_True,Chinatown,0.8727405247813411
sfa_equi-depth_False,Chinatown,0.8791545189504373
isax,ChlorineConcentration,0.8358661224125625
sfa_equi-width_True,ChlorineConcentration,0.9344558574232692
sfa_equi-width_False,ChlorineConcentration,0.9277536134903641
sfa_equi-depth_True,ChlorineConcentration,0.940362352783726
sfa_equi-depth_False,ChlorineConcentration,0.9356469709136332
isax,CinCECGTorso,0.6235507246376811
sfa_equi-width_True,CinCECGTorso,0.7155253623188406
sfa_equi-width_False,CinCECGTorso,0.7038043478260869
sfa_equi-depth_True,CinCECGTorso,0.7125724637681159
sfa_equi-depth_False,CinCECGTorso,0.6993659420289855
isax,Coffee,0.17857142857142855
sfa_equi-width_True,Coffee,0.7882653061224489
sfa_equi-width_False,Coffee,0.7946428571428571
sfa_equi-depth_True,Coffee,0.798469387755102
sfa_equi-depth_False,Coffee,0.7933673469387754
